id,ref_id,exchange,code,year,month,period,type,preliminary,cash_and_equiv,current_assets,long_term_assets,total_assets,current_liabilities,long_term_liabilities,total_liabilities,current_debt,current_lease,long_term_debt,long_term_lease,total_debt,net_debt,equity,equity_stock_holders,revenue,gross_profit,sel_gen_adm_expenses,total_expenses,operating_income,interest_income,interest_expense,interest_net,commission_net,ebitda,ebit,earnings_wo_tax,earnings,earnings_stock_holders,depr_depl_amort,cfo,cfi,cff,capex,fcf,ffo,amount,curr,link,link_press,gen,capital,num5,price5,num5_day,price5_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
3545660400,1809478352,MOEX,FIVE,2011,12,Y,МСФО,0,12398572204,66055331212,217668220772,283723551984,29407404640,86850226908,116257631548,119290314432,0,93714155264,0,213004469696,200605897492,70719082288,70719082288,497715653952,118477099024,102125453616,95870406288,22606692736,136673776,9723579148,-9586905372,0,36424463016,22632842384,13045937012,9731758964,9707251720,13791620632,29825090520,-28788636984,3577445748,26222525652,3602564868,0,1,RUB,/fa/fa_reports/2011/FIVE2011YМСФО.pdf,0,,198747866400,271280000,732.6300,271572872,1191.0000,35.78314553229136,1834.6935046888823,134.26888460631082,13.279876393394279
3346412940,1716995367.5,MOEX,FIVE,2012,12,Y,МСФО,0,12463701427.5,75353206010,217460370840,292813576850,149264709170,76267333622.5,225532042792.5,51363704502.5,15156520,71699506850,3452997.5,123063211352.5,123064219750,67281534057.5,67281534057.5,482663321317.5,113801966482.5,113275185740,107952588717.5,5849377765,339127135,10296594085,-9957466950,0,34340518500,5770356070,-4187110880,-3865432077.5,-3865432077.5,27506364182.5,18615078965,-24332295542.5,5733106477.5,23047505455,-4432426490,0,1,RUB,/fa/fa_reports/2012/FIVE2012YМСФО.pdf,https://www.x5.ru/ru/PublishingImages/Pages/Investors/ResultsCentre/2014.03.06_X5_Annual_Report_Press_Release_RUS.pdf,,147272210400,270980000,543.4800,271572872,1191.0000,-14.264639742785445,1781.1769182873275,126.72713299874529,-16.357024466750314
105306000000,56190000000,MOEX,FIVE,2013,12,Y,МСФО,0,7611000000,76682000000,225415000000,302097000000,139088000000,85203000000,224291000000,30684000000,0,79843000000,0,110527000000,102916000000,77806000000,77806000000,534560000000,130348000000,110757000000,105052000000,25296000000,64000000,10605000000,-10680000000,0,38350000000,25103000000,14423000000,10984000000,10984000000,13054000000,28387000000,-21059000000,-12093000000,21377000000,7010000000,0,1,RUB,/fa/fa_reports/2013/FIVE2013YМСФО.pdf,https://www.x5.ru/ru/PublishingImages/Pages/Investors/ResultsCentre/2014.03.06_X5_Annual_Report_Press_Release_RUS.pdf,,149378407200,271380000,550.4400,271572872,1191.0000,40.474611246223006,1969.7840666224483,141.3147615889159,25.830938167882675
3778000000,0,MOEX,FIVE,2014,12,Y,МСФО,0,25623000000,110509000000,240411000000,350920000000,141273000000,119089000000,260362000000,15834000000,0,115152000000,0,130986000000,105363000000,90558000000,90558000000,633873000000,154982000000,133512000000,126694000000,28288000000,109000000,11646000000,-11673000000,0,46404000000,27891000000,16218000000,12691000000,12691000000,17572000000,28567000000,-29737000000,19344000000,29091000000,-524000000,0,1,RUB,/fa/fa_reports/2014/FIVE2014YMSFO.pdf,https://www.x5.ru/ru/PublishingImages/Pages/Investors/ResultsCentre/X5_Annual_Report_Press_Release_RUS.pdf,,196261884000,271530000,722.8000,271572872,1191.0000,46.73885021912864,2334.4492321290463,170.89824328803448,-1.929805178065039
3777000000,0,MOEX,FIVE,2015,12,Y,МСФО,0,8958000000,108705000000,293410000000,402115000000,190880000000,106517000000,297397000000,42670000000,0,101545000000,0,144215000000,135257000000,104718000000,104718000000,808818000000,198390000000,170065000000,163941000000,34449000000,387000000,16570000000,-16228000000,0,59413000000,34158000000,17930000000,14174000000,14174000000,20784000000,35487000000,-59645000000,7498000000,54290000000,-18803000000,0,1,RUB,/fa/fa_reports/2015/FIVE2015YMSFO.pdf,https://www.x5.ru/ru/PublishingImages/Pages/Media/News/X5_FY_2015_Financial_Results_RUS.pdf,,377072461000,271490000,1388.9000,271572872,1191.0000,52.208184463516154,2979.181553648385,218.84047294559653,-69.25853622601201
14930000000,0,MOEX,FIVE,2016,12,Y,МСФО,0,18190000000,130076000000,343409000000,473485000000,227370000000,119075000000,346445000000,45168000000,0,110865000000,0,156033000000,137843000000,127040000000,127040000000,1033667000000,249985000000,211314000000,204354000000,45631000000,47000000,17044000000,-17318000000,0,79519000000,45971000000,28653000000,22291000000,22291000000,30636000000,74915000000,-77279000000,11641000000,71210000000,3705000000,0,1,RUB,/fa/fa_reports/2016/FIVE2016YMSFO.pdf,https://www.x5.ru/ru/PublishingImages/Pages/Media/News/X5-FY-2016-Financial-Results-RUS.pdf,,535767427800,271540000,1973.0700,271572872,1191.0000,82.091036311409,3806.6840981070927,292.8445164616631,13.644398615305295
3709000000,0,MOEX,FIVE,2017,12,Y,МСФО,0,27605000000,159273000000,405985000000,565258000000,264175000000,142641000000,406816000000,58674000000,0,135622000000,0,194296000000,166691000000,158442000000,158442000000,1295008000000,308938000000,259146000000,251180000000,57758000000,121000000,15533000000,-15896000000,0,99131000000,57349000000,41816000000,31394000000,31394000000,38435000000,58658000000,-87274000000,38017000000,81793000000,-23135000000,0,1,RUB,/fa/fa_reports/2017/FIVE20174MSFO.pdf,https://www.x5.ru/ru/PublishingImages/Pages/Media/News/X5_Q4_2017_Financial_Results_RUS.pdf,,590843921000,271550000,2175.8200,271572872,1191.0000,115.61038482784018,4768.948628245259,365.05615908672434,-85.19609648315227
3779000000,0,MOEX,FIVE,2018,3,Q,МСФО,0,12935000000,140030000000,412441000000,552471000000,246195000000,142185000000,388380000000,57427000000,0,134215000000,0,191642000000,178707000000,164091000000,164091000000,351518000000,83670000000,63860000000,74858000000,8812000000,62000000,4269000000,-4207000000,0,21353000000,11317000000,7048000000,5628000000,5628000000,10036000000,13704000000,-25656000000,-2702000000,18914000000,-5210000000,0,1,RUB,/fa/fa_reports/2018/FIVE2018Q1МСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q1_2018_Financial_results.pdf,,524678788704,271572872,1932.0000,271572872,1191.0000,20.723719414802225,1294.3781807484806,78.62714652883297,-19.18453769565025
141642000000,0,MOEX,FIVE,2018,6,6M,МСФО,0,13774000000,142700000000,420410000000,563110000000,244167000000,167817000000,411984000000,63392000000,0,160772000000,0,224164000000,210390000000,151126000000,151126000000,734077000000,175458000000,128578000000,147987000000,27471000000,0,8651000000,-8651000000,0,51697000000,27298000000,18647000000,14313000000,14313000000,22666000000,27632000000,-49453000000,8027000000,0,27632000000,0,1,RUB,/fa/fa_reports/2018/FIVE20186MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q2_2018_Financial_results.pdf,,469006349944,271572872,1727.0000,271572872,1191.0000,52.70408599574703,2703.0571742821203,190.3614290311,101.74801259236231
1305937000000,0,MOEX,FIVE,2018,6,Q,МСФО,0,13774000000,142700000000,420410000000,563110000000,244167000000,167817000000,411984000000,63392000000,0,160772000000,0,224164000000,210390000000,151126000000,151126000000,382559000000,91788000000,64718000000,73129000000,18659000000,-62000000,4382000000,-4444000000,0,30344000000,15981000000,11599000000,8685000000,8685000000,12630000000,13928000000,-23797000000,10729000000,-18914000000,32842000000,0,1,RUB,/fa/fa_reports/2018/FIVE20186MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q2_2018_Financial_results.pdf,X,469006349944,271572872,1727.0000,271572872,1191.0000,31.9803665809448,1408.6789935336399,111.73428250226702,120.93255028801256
