amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num5,price5,num5_day,price5_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,10879263000,5457567000,17409604000,-19998206000,2874927000,AGRO,0,RUB,36040947000,17129130000,0,19598237000,2132110000,2419846000,2364732000,2627411000,2465299000,4597409000,27132026000,26787296000,MOEX,-8004336000,0,,8345762000,2423000,720264000,882376000,162112000,https://cdn.financemarker.ru/reports/2011/MOEX/A/AGRO_2011_12_Y_МСФО.pdf,0,26468384000,14842960000,0,15779068000,12,26514523000,2541086000,Y,0,0,39715115000,2431696000,62509331000,31972090000,5804676000,35377305000,МСФО,2011,0,0,0,136666665,755.0000,Infinity,Infinity,Infinity,-Infinity
1,7717384000,2019867000,15230008000,-22724304000,4050335000,AGRO,0,RUB,47302807000,24413533000,0,28363547000,2599726000,4305258000,4083631000,5008350000,4814517000,8781000000,31446080000,31375004000,MOEX,-3667049000,0,,10682464000,12000,1059914000,1253747000,193833000,https://cdn.financemarker.ru/reports/2012/MOEX/A/AGRO_2012_12_Y_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/2013_Results_Presentation_for_Investors.pdf,37693326000,24126365000,0,25186506000,12,17257000000,5034458000,Y,0,0,34063917000,2489669000,84996133000,48539898000,5648006000,53550053000,МСФО,2012,0,0,0,136666665,755.0000,Infinity,Infinity,Infinity,-Infinity
1,4329598000,2672764000,247979000,-4396141000,4779714000,AGRO,0,RUB,38146253000,18144254000,0,22171272000,3270861000,3201757000,3201534000,3532720000,2890110000,6784000000,34565033000,34556583000,MOEX,450116000,0,,8858070000,13000,1380376000,2022986000,642610000,https://cdn.financemarker.ru/reports/2013/MOEX/A/AGRO_2013_12_Y_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/2013_Results_Presentation_for_Investors.pdf,34984030000,14368799000,0,16393978000,12,14576000000,2946382000,Y,0,0,36489827000,2623918000,73130283000,32513053000,5911688000,38565250000,МСФО,2013,0,0,0,136666665,755.0000,Infinity,Infinity,Infinity,Infinity
1,5358177000,10316313000,-4704929000,-6205855000,15676718000,AGRO,0,RUB,43909537000,12499623000,0,17453949000,3497032000,20176979000,20134178000,20891914000,20035441000,20740000000,51819301000,51512458000,MOEX,10318541000,0,,24081572000,14000,154478000,1010951000,856473000,https://cdn.financemarker.ru/reports/2014/MOEX/A/AGRO_2014_12_Y_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/Presentation_for_Investors_3M_2015.pdf,37596230000,9806306000,0,12232517000,12,1984000000,16836544000,Y,0,0,59112243000,2991315000,81505767000,22305929000,7245028000,29686466000,МСФО,2014,33600000000,120000000,280.0000,136666665,755.0000,167.78481666666667,492.602025,172.83333333333334,85.98784166666667
1,11679964000,4401703000,42337116000,-63144191000,15922036000,AGRO,0,RUB,67063480000,25856328000,4136000,32339889000,3510992000,23690336000,23482192000,25513728000,25978870000,24423000000,70571966000,70544690000,MOEX,4242072000,0,,31432562000,15000,2041743000,1576601000,-465142000,https://cdn.financemarker.ru/reports/2015/MOEX/A/AGRO_2015_12_Y_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/2016_Presentation_for_Investors_ROS_AGRO_PLC_12M.pdf,62425816000,24037539000,0,26577441000,12,15572000000,22237977000,Y,0,62601000,72439164000,4065560000,129489296000,49893867000,9194585000,58917330000,МСФО,2015,119400000000,120000000,995.0000,136666665,755.0000,195.68493333333333,603.6597,203.525,35.3506
1,16918132000,6751712000,15039776000,-24346375000,11808904000,AGRO,0,RUB,67332099000,11704276000,0,22606908000,5819850000,13675412000,13684192000,13943202000,13091642000,18205000000,93319715000,93079574000,MOEX,-5109228000,0,,25725145000,16000,3614107000,4465667000,851560000,https://cdn.financemarker.ru/reports/2016/MOEX/A/AGRO_2016_12_Y_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/2016_Presentation_for_Investors_ROS_AGRO_PLC_12M.pdf,85640872000,32798240000,0,37046347000,12,4342000000,14206082000,Y,0,0,84256585000,5356057000,152972971000,44502516000,11519063000,59653255000,МСФО,2016,109879998660,136666665,804.0000,136666665,755.0000,100.1282353674175,616.5116050794098,133.20731869765024,-37.38459557786092
1,17199305000,4860335000,-4479583000,-14871707000,17673401000,AGRO,0,RUB,60956432000,8851675000,11850000,19772687000,7155334000,5563163000,5630671000,5981011000,4051265000,13955369000,92727939000,92551923000,MOEX,474096000,0,,17954806000,1208000,2259804000,4189550000,1929746000,https://cdn.financemarker.ru/reports/2017/MOEX/A/AGRO_2017_12_Y_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/2017_4Q_12M_2Presentation_for_Investors.pdf,96453553000,37787777000,0,44909359000,12,6604000000,4049390000,Y,0,62600000,79057860000,4878534000,157409985000,46639452000,13905416000,64682046000,МСФО,2017,77694999052.5,136666665,568.5000,136666665,755.0000,41.20003220975649,578.4721533960019,102.11245734283484,3.4689951642560386
1,2641499000,1476435000,-4167469000,-3129294000,3914140000,AGRO,0,RUB,59809027000,7694756000,0,17967218000,1912444000,208554000,203933000,232689000,-27338000,12945000000,92886877000,92770813000,MOEX,1272641000,0,,2954517000,1340000,681935000,941962000,260027000,https://cdn.financemarker.ru/reports/2018/MOEX/A/AGRO_2018_3_Q_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/2ROSAGRO_1Q2018_Presentation_for_Investors.pdf,98046569000,39970992000,0,47001501000,3,8200000000,-60782000,Q,0,0,15267554000,1323689000,157855596000,47665748000,3015299000,64968719000,МСФО,2018,81999999000,136666665,600.0000,136666665,755.0000,1.4921927011243012,111.71381111846111,94.71951335023797,9.312007430634237
1,7975192000,20771992000,-1749149000,-7938535000,7306285000,AGRO,0,RUB,58091244000,6314378000,0,18639053000,3813700000,2337500000,2317189000,2732788000,1996680000,14289000000,92791590000,92659837000,MOEX,-668907000,0,,8079863000,140614000,1079010000,1815118000,736108000,https://cdn.financemarker.ru/reports/2018/MOEX/A/AGRO_2018_6_6M_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/Presentation_for_Inv_1H_2018_v03.pdf,101553951000,40814071000,0,48214552000,6,11331000000,2086015000,6M,0,0,32814570000,37884833000,159645195000,47128449000,5993848000,66853605000,МСФО,2018,92933332200,136666665,680.0000,136666665,755.0000,16.955041670183434,240.10661268422697,104.55365981163,-4.8944415231029454
1,4872000000,20772000000,2418000000,-4809000000,3392000000,AGRO,0,RUB,58091000000,6314000000,0,18639000000,1901000000,2129000000,2113000000,2500000000,2897000000,4057000000,92792000000,92660000000,MOEX,-1480000000,0,,5125000000,4977000000,397000000,873000000,393000000,https://cdn.financemarker.ru/reports/2018/MOEX/A/AGRO_2018_6_Q_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/Presentation_for_Inv_1H_2018_v03.pdf,101554000000,40814000000,0,48215000000,6,11331000000,2147000000,Q,0,0,17011000000,2988000000,159645000000,47128000000,2979000000,66854000000,МСФО,2018,92933332200,136666665,680.0000,136666665,755.0000,15.460975798304583,124.47073322525284,29.6853662156752,-10.829268424747175
1,12361940000,21513046000,-3585730000,-14401823000,12994207000,AGRO,0,RUB,64557323000,8000202000,0,23474326000,5778084000,8632615000,8612304000,9073763000,8102577000,15603000000,98152145000,98020392000,MOEX,632267000,0,,18960822000,140613000,1737182000,2708368000,971186000,https://cdn.financemarker.ru/reports/2018/MOEX/A/AGRO_2018_9_9M_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/_1118_Presentation_for_Investors_9M_2018_v4.pdf,107758629000,43422004000,0,50689481000,9,15102000000,8167932000,9M,0,0,52192289000,9016758000,172315952000,51422206000,10792890000,74163807000,МСФО,2018,92181665542.5,136666665,674.5000,136666665,755.0000,63.01685930508365,381.8948022182293,114.1682940752231,4.626343958857853
1,4387000000,21513000000,5335000000,-6463000000,5735000000,AGRO,0,RUB,64557000000,8000000000,0,23474000000,1964000000,7615000000,7615000000,7676000000,8334000000,4413000000,98152000000,98020000000,MOEX,1348000000,0,,10974000000,4976000000,658000000,893000000,280000000,https://cdn.financemarker.ru/reports/2018/MOEX/A/AGRO_2018_9_Q_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/_1118_Presentation_for_Investors_9M_2018_v4.pdf,107759000000,43422000000,0,50689000000,9,15102000000,7417000000,Q,0,0,24500000000,3046000000,172316000000,51422000000,3557000000,74164000000,МСФО,2018,92181665542.5,136666665,674.5000,136666665,755.0000,55.71951287462821,179.26829486912555,32.29024429622249,9.863414754431886
1,7241000000,4710000000,21691000000,-7625000000,-14978000000,AGRO,0,RUB,76731000000,32514000000,0,48789000000,3974000000,10465000000,10466000000,10798000000,12603000000,10242000000,102267000000,102099000000,MOEX,-22219000000,0,X,16079000000,4542365000000,1805000000,2188000000,219000000,https://cdn.financemarker.ru/reports/2018/MOEX/A/AGRO_2018_12_Q_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/Presentation_for_Investors_12M_2018_v1.pdf,147047000000,62588000000,0,72723000000,12,54342000000,10966000000,6M,0,0,53919000000,5052000000,223779000000,95102000000,5112000000,121512000000,МСФО,2018,108171665347.5,136666665,791.5000,136666665,755.0000,76.58048873878644,394.52927310401554,74.94146432855445,-162.57805076314696
1,2854000000,4710000000,16356000000,-1162000000,-20713000000,AGRO,0,RUB,76731000000,32514000000,0,48789000000,2010000000,2850000000,2851000000,3122000000,4269000000,5829000000,102267000000,102099000000,MOEX,-23567000000,0,,5105000000,4975000000,1147000000,1295000000,-61000000,https://cdn.financemarker.ru/reports/2018/MOEX/A/AGRO_2018_12_Q_МСФО.pdf,https://www.rusagrogroup.ru/fileadmin/files/presentations/Presentation_for_Investors_12M_2018_v1.pdf,147047000000,62588000000,0,72723000000,12,54342000000,3549000000,Q,0,0,29419000000,2006000000,223779000000,95102000000,1555000000,121512000000,МСФО,2018,108171665347.5,136666665,791.5000,136666665,755.0000,20.86097586415824,215.26097823489,42.65122003233195,-172.44146551757885
