amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,21420000000,12014000000,-23002000000,-17894000000,49182000000,ALRS,0,RUB,65414000000,20024000000,0,43310000000,9846000000,26658000000,26480000000,38313000000,48503000000,65217000000,109001000000,109718000000,MOEX,27762000000,0,,78218000000,14753000000,11682000000,1492000000,-10190000000,https://cdn.financemarker.ru/reports/2011/MOEX/A/ALRS_2011_12_Y_МСФО.pdf,http://www.alrosa.ru/wp-content/uploads/2013/09/2012-05-17_ALROSAsIR-ReleaseIFRS2011RUS.pdf,175550000000,75017000000,512000000,88653000000,12,95553000000,47263000000,Y,0,56992000000,137732000000,7827000000,240964000000,95041000000,30955000000,131963000000,МСФО,2011,225758291456.38998,7364965630,30.6530,7364965630,66.2300,3.595400349478617,18.700969823806226,8.855031140179266,3.7694676926822264
1,30050000000,6242000000,13564000000,-61122000000,42007000000,ALRS,0,RUB,73691000000,32344000000,0,57230000000,11943000000,33634000000,32634000000,44151000000,50188000000,61950000000,130565000000,131013000000,MOEX,11957000000,0,,81204000000,483000000,9054000000,3017000000,-6037000000,https://cdn.financemarker.ru/reports/2012/MOEX/A/ALRS_2012_12_Y_МСФО.pdf,http://www.alrosa.ru/wp-content/uploads/2013/09/2013-04-26ALROSAIR-ReleaseIFRS2012_RUS.pdf,231018000000,89903000000,454000000,116914000000,12,116459000000,49039000000,Y,0,56991000000,150880000000,10527000000,304709000000,122247000000,35165000000,174144000000,МСФО,2012,221022618556.30002,7364965630,30.0100,7364965630,66.2300,4.430977908039471,20.486178426334355,8.411444548723576,1.6234970535768813
1,38165000000,9270000000,-11162000000,-40407000000,55639000000,ALRS,0,RUB,129669000000,56295000000,0,93707000000,14304000000,31837000000,30917000000,41501000000,57788000000,69100000000,159461000000,159800000000,MOEX,15368000000,0,,85559000000,484000000,16916999999.999998,630000000,-16287000000,https://cdn.financemarker.ru/reports/2013/MOEX/A/ALRS_2013_12_Y_МСФО.pdf,http://www.alrosa.ru/wp-content/uploads/2014/04/2014-04-15-ALROSAs-IR-Release-IFRS-FY2013_RUS.pdf,225202000000,81712000000,584000000,101703000000,12,129321000000,56871000000,Y,0,56990000000,168505000000,12291000000,354871000000,138007000000,28688000000,195410000000,МСФО,2013,259084760932.13998,7364965630,35.1780,7364965630,66.2300,4.197847152750392,22.879264950486945,9.38225695426633,2.0866356711022425
1,15879226000,4560277000,3100258000,-22094772000,21564074000,ALRS,0,RUB,109531878000,543166062999.99994,0,72934602000,12732296000,35600710000,35600710000,43405020000,49226818000,61959114000,245787373000,245787373000,MOEX,5684848000,0,,76019741000,2246905000,7804955000,1983157000,-5821798000,https://cdn.financemarker.ru/reports/2013/MOEX/A/ALRS_2013_12_Y_РСБУ.pdf,0,310789031000,81738603000,0,101598934000,12,620344389000,53466453000,Y,0,97242000,138224744000,7422337000,420320909000,624904666000,22553288000,174533536000,РСБУ,2013,259084760932.13998,7364965630,35.1780,7364965630,66.2300,4.833791736241952,18.76787359834563,8.412682029040235,0.7718770576258616
1,36056000000,21693000000,-42383000000,-30888000000,78115000000,ALRS,0,RUB,104093000000,20802000000,0,53276000000,18883000000,-16832000000,-17952000000,-7797000000,75965000000,93857000000,137174000000,137051000000,MOEX,44824000000,0,,107014000000,485000000,84731000000,969000000,-83762000000,https://cdn.financemarker.ru/reports/2014/MOEX/A/ALRS_2014_12_Y_МСФО.pdf,http://www.alrosa.ru/wp-content/uploads/2015/03/2015-03-23-ALROSAs-IR-Release-IFRS-2014_RUS.pdf,284156000000,175870000000,488000000,197799000000,12,175467000000,74376000000,Y,0,56989000000,207159000000,12568000000,388249000000,196672000000,32638000000,251075000000,МСФО,2014,458027212529.7,7364965630,62.1900,7364965630,66.2300,-2.437485916685805,28.12762617060577,12.743711880702966,6.086111226020752
1,21403686000,14165526000,-30932280000,-8022075000,43731943000,ALRS,0,RUB,153581111000,21331607000,0,42248120000,13762680000,23469167000,23469167000,30482609000,36309845000,50072525000,250020189000,250020189000,MOEX,22328257000,0,,96122179000,2246909000,9253287000,3426051000,-5827236000,https://cdn.financemarker.ru/reports/2014/MOEX/A/ALRS_2014_12_Y_РСБУ.pdf,0,347410803000,175807500000,0,208723605000,12,182973581000,67869480000,Y,0,97241000,159174480000,10494273000,500991914000,197139107000,28252699000,250971725000,РСБУ,2014,458027212529.7,7364965630,62.1900,7364965630,66.2300,3.1865955903992456,21.61238599018418,6.79874523732163,3.03168515940515
1,34241000000,20503000000,-48302000000,-28960000000,75541000000,ALRS,0,RUB,136689000000,25692000000,0,55750000000,19268000000,32192000000,30674000000,41316000000,99797000000,118498000000,151485000000,151742000000,MOEX,41300000000,0,,130075000000,486000000,62393000000,3912000000,-58481000000,https://cdn.financemarker.ru/reports/2015/MOEX/A/ALRS_2015_12_Y_МСФО.pdf,http://www.alrosa.ru/wp-content/uploads/2016/03/2016-03-17-ALROSA-IR-Release-IFRS-2015_RUS.pdf,298376000000,197126000000,341000000,227830000000,12,202656000000,97169000000,Y,0,56988000000,224524000000,13011000000,435065000000,222818000000,32906000000,283580000000,МСФО,2015,413690119437.10004,7364965630,56.1700,7364965630,66.2300,4.16485310875782,30.485410425465897,16.08941656391681,5.607629699149051
1,24137803000,15747871000,-35518394000,-8960776000,46222738000,ALRS,0,RUB,116716491000,27054332000,0,47655229000,13440336000,21229498000,21229498000,26188176000,32493151000,45933487000,307749465000,307749465000,MOEX,22084935000,0,,122759443000,2246908000,11983067000,5678092000,-6304975000,https://cdn.financemarker.ru/reports/2015/MOEX/A/ALRS_2015_12_Y_РСБУ.pdf,0,481890209000,196054463000,0,243202006000,12,207360924000,84740193000,Y,0,97240000,185276834000,13528348000,598606700000,223108795000,38019250000,290857235000,РСБУ,2015,413690119437.10004,7364965630,56.1700,7364965630,66.2300,2.8824979051531567,25.156510336627328,6.236755106214936,2.9986473949098387
1,31752000000,30410000000,-73938000000,-53363000000,143138000000,ALRS,0,RUB,172856000000,666000000,0,36412000000,24902000000,133471000000,131392000000,169739000000,145615000000,176418000000,256970000000,257202000000,MOEX,111386000000,0,,186130000000,487000000,12283000000,36407000000,24124000000,https://cdn.financemarker.ru/reports/2016/MOEX/A/ALRS_2016_12_Y_МСФО.pdf,http://www.alrosa.ru/wp-content/uploads/2017/03/2017-03-16-ALROSAs-IR-Release-IFRS-2016_RUS.pdf,299858000000,141496000000,173000000,179332000000,12,111925000000,142965000000,Y,0,56987000000,314336000000,15782000000,472714000000,142162000000,43165000000,215744000000,МСФО,2016,711602979170.6,7364965630,96.6200,7364965630,66.2300,17.840137564905376,42.679900462753416,23.953675938607198,15.123763720809109
1,23262065000,25822451000,-59849830000,-21506270000,96911411000,ALRS,0,RUB,147989341000,2525314000,0,32510758000,17472989000,148657465000,148657465000,185752211000,190159148000,207632137000,438987772000,438987772000,MOEX,73649346000,0,,155148739000,2246907000,10902143000,6495206000,-4406937000,https://cdn.financemarker.ru/reports/2016/MOEX/A/ALRS_2016_12_Y_РСБУ.pdf,0,535407169000,140724008000,0,211897980000,12,117426871000,133648712000,Y,0,97239000,249566455000,14156959000,683396510000,143249322000,21500027000,244408738000,РСБУ,2016,711602979170.6,7364965630,96.6200,7364965630,66.2300,20.18440716063464,33.885623849136685,28.191867746706645,9.99995786809938
