amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num2,price2,num2_day,price2_day,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,980450000,63201000,1553525000,0,1052985000,BISV,0,RUB,2118387000,2309340000,0,4065702000,79903000,700180000,700180000,831140000,900088000,979991000,7651569000,7651569000,MOEX,72535000,0,,256694000,208357000,73805000,4857000,-68948000,https://cdn.financemarker.ru/reports/2011/MOEX/B/BISV_2011_12_Y_РСБУ.pdf,0,10087283000,248588000,0,488399000,12,2494727000,243489000,Y,0,55167000,5873535000,13205000,12205670000,2557928000,13205000,4554101000,РСБУ,2011,12237085505.130001,36165270,4.6550,36165270,8.6000,949023840,12.7170,949023840,8.7000,0.7107061912204856,5.961835083621661,0.9947237439520622,0.07362545856805096
1,1489358000,130651000,-1149382000,0,1749710000,BISV,0,RUB,1652520000,298373000,0,1901647000,770670000,987444000,987444000,1284509000,1293698000,2064368000,8553001000,8553001000,MOEX,260352000,0,,580479000,208356000,36334000,27145000,-9189000,https://cdn.financemarker.ru/reports/2012/MOEX/B/BISV_2012_12_Y_РСБУ.pdf,0,10990543000,1888585000,0,2188415000,12,2056307000,577790000,Y,0,55165000,6168284000,2689000,12643063000,2186958000,2689000,4090062000,РСБУ,2012,10191517726.59,36165270,5.6930,36165270,8.6000,949023840,10.5220,949023840,8.7000,1.002288789002144,6.261015207527009,2.095402780081481,0.26426601487708284
1,572709000,774445000,-1186339000,-525392999.99999994,2347189000,BISV,0,RUB,1996947000,0,0,886997000,926426000,849491000,849491000,1104883000,1095636000,2022062000,9239627000,9239627000,MOEX,1774480000,0,,684093000,208355000,10042000,19289000,9247000,https://cdn.financemarker.ru/reports/2013/MOEX/B/BISV_2013_12_Y_РСБУ.pdf,0,10962295000,1708911000,0,2832618000,12,934466000,682229000,Y,0,55164000,6298474000,1864000,12959242000,1708911000,1864000,3719615000,РСБУ,2013,10058485984.32,36165270,5.2160,36165270,8.6000,949023840,10.4000,949023840,8.7000,0.8622618656432368,6.393162425435254,2.0524607707042155,1.8011567342639425
1,815875000,922542000,-692317000,-628168000,1352752000,BISV,0,RUB,3110299000,0,0,899373000,968777000,795202000,795202000,976618000,925798000,1894575000,9837042000,9837042000,MOEX,536877000,0,,2283534000,208354000,1689000,52509000,50820000,https://cdn.financemarker.ru/reports/2014/MOEX/B/BISV_2014_12_Y_РСБУ.pdf,0,10157216000,1400656000,0,2531100000,12,478114000,743431000,Y,0,55163000,6542960000,861000,13267515000,1400656000,1540103000,3430473000,РСБУ,2014,7580306500.499999,36165270,3.8700,36165270,8.6000,949023840,7.8400,949023840,8.7000,0.8071567092332151,6.641323918003925,1.9230571884823209,0.5449481673625077
1,791242000,1702143000,-305430000,-782588000,1780859000,BISV,0,RUB,3487655000,518466000,0,1153993000,1017422000,1353286000,1353286000,1477101000,1348506000,2365928000,11231918000,11231918000,MOEX,989617000,0,,2412568000,208353000,654000,129249000,128595000,https://cdn.financemarker.ru/reports/2015/MOEX/B/BISV_2015_12_Y_РСБУ.pdf,0,10036513000,1138000,0,1138257000,12,-1182539000,980024000,Y,0,55162000,6599666000,540000,13524168000,519604000,1432544000,2292250000,РСБУ,2015,8408401541.999999,36165270,4.2000,36165270,8.6000,949023840,8.7000,949023840,8.7000,1.3736306930960696,6.698882410504924,2.401496297497645,1.0044944569068572
1,453173000,986678000,1470715000,-4348963000,2211496000,BISV,0,RUB,4546374000,9693000,0,1093535000,1038729000,834412000,834412000,1091622000,1006625000,2045354000,11545734000,11545734000,MOEX,1758323000,0,,1619579000,208352000,8565000,93562000,84997000,https://cdn.financemarker.ru/reports/2016/MOEX/B/BISV_2016_12_Y_РСБУ.pdf,0,11618349000,2512158000,0,3525454000,12,1535173000,1619579000,Y,0,55161000,6613658000,0,16164723000,2521851000,0,4618989000,РСБУ,2016,8408039889.299999,36165270,4.1900,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.8469561747388783,6.71308475994015,2.0761029321568527,1.7847568371924045
1,677892000,2245329000,1983724000,-2067162000,1345723000,BISV,0,RUB,4910475000,519488000,0,3014108000,1058546000,898411000,898411000,1389288000,1275558000,2334104000,12026652000,12026652000,MOEX,667831000,0,,1972293000,208351000,7908000,121638000,113730000,https://cdn.financemarker.ru/reports/2017/MOEX/B/BISV_2017_12_Y_РСБУ.pdf,0,14801563000,4409765000,0,4671278000,12,2683924000,1972293000,Y,0,55160000,6886848000,0,19712038000,4929253000,0,7685386000,РСБУ,2017,8389595601.599999,36165270,3.6800,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.9119173069219167,6.99038177553546,2.3691938697941963,0.6778708709031508
1,0,1932173000,0,0,0,BISV,0,RUB,4735888000,519614000,0,2793321000,0,190084000,190084000,241760000,205794000,205794000,12154074000,12154074000,MOEX,0,0,,440382000,208360000,126000,36092000,35966000,https://cdn.financemarker.ru/reports/2018/MOEX/B/BISV_2018_3_Q_РСБУ.pdf,0,14816381000,4409765000,0,4604874000,3,2997206000,440382000,Q,0,55174000,1656725000,0,19552269000,4929379000,0,7398195000,РСБУ,2018,8400083529.899999,36165270,3.9700,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.19294163736746947,1.6816314585531706,0.2088878144420415,0
1,0,1797001000000,0,0,0,BISV,0,RUB,4907945000000,0,0,3222460000000,0,605634000000,605634000000,722128000000,659730000000,659730000000,12101759000000,12101759000000,MOEX,0,0,,961791000000,141373000000,209000000,62607000000,62398000000,https://cdn.financemarker.ru/reports/2018/MOEX/B/BISV_2018_6_6M_РСБУ.pdf,0,15121193000000,4409765000000,0,4704919000000,6,2612764000000,961791000000,6M,0,55175000000,3363933000000,0,20029138000000,4409765000000,0,7927379000000,РСБУ,2018,8402976751.499999,36165270,4.0500,36165270,8.6000,949023840,8.7000,949023840,8.7000,614.7388291776793,3414.5048558240765,669.648084112501,0
1,0,2817000000,0,0,0,BISV,0,RUB,4908000000,0,0,3222000000,0,416000000,416000000,480000000,480000000,480000000,12102000000,12102000000,MOEX,0,0,,521000000,4318000000,0,27000000,26000000,https://www.bashtel.ru/A&I/,0,15121000000,4410000000,0,4705000000,6,1593000000,521000000,Q,0,0,1707000000,0,20029000000,4410000000,0,7927000000,РСБУ,2018,8402976751.499999,36165270,4.0500,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.4222539569078266,1.7326622702924517,0.48721610412441524,0
1,0,2178716000,0,0,0,BISV,0,RUB,4033529000,0,0,1792940000,0,1040062000,1040062000,1242212000,1145238000,1145238000,12537769000,12537769000,MOEX,0,0,,1394034000,140470000,209000,97183000,96974000,https://cdn.financemarker.ru/reports/2018/MOEX/B/BISV_2018_9_9M_РСБУ.pdf,0,15037918000,4409765000,0,4740738000,9,2231049000,1394034000,9M,0,55176000,4997908000,0,19071447000,4409765000,0,6533678000,РСБУ,2018,8400083529.899999,36165270,3.9700,36165270,8.6000,949023840,8.7000,949023840,8.7000,1.0556978243496824,5.07304430110885,1.1624549930317438,0
1,0,2254000000,0,0,0,BISV,0,RUB,4034000000,0,0,1793000000,0,434000000,434000000,520000000,520000000,520000000,12538000000,12538000000,MOEX,0,0,,432000000,3537000000,0,35000000,35000000,https://www.bashtel.ru/A&I/,0,15038000000,4410000000,0,4741000000,9,2156000000,432000000,Q,0,0,1634000000,0,19071000000,4410000000,0,6534000000,РСБУ,2018,8400083529.899999,36165270,3.9700,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.44052456081249214,1.6585648211235302,0.5278174461347832,0
1,0,595000000,0,0,0,BISV,0,RUB,2488000000,2009000000,0,3794000000,0,508000000,508000000,584000000,585000000,585000000,13046000000,13046000000,MOEX,0,0,,30000000,2469000000,2000000,43000000,41000000,https://cdn.financemarker.ru/reports/2018/MOEX/B/BISV_2018_12_Q_РСБУ.pdf,0,18141000000,3205000000,0,3789000000,12,4619000000,-16000000,Q,0,0,1344000000,0,20629000000,5214000000,46000000,7583000000,РСБУ,2018,8401891793.399999,36165270,4.0200,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.5156370435316728,1.3642050915483628,0.5937946269016311,0
1,1063045000,365350000,241218000,-1784603000,1893779000,BISV,0,RUB,4586184000,1968998000,37984000,3890700000,1476626000,1818150000,1818150000,2197276000,2222043000,3698669000,14867732000,14866912000,MOEX,830734000,0,,0,250865000,394502000,369735000,-24767000,https://cdn.financemarker.ru/reports/2018/MOEX/B/BISV_2018_12_Y_МСФО.pdf,0,18145097000,2628805000,83994000,3972849000,12,4232453000,1883061000,Y,0,74730000,8233386000,2206141000,22731281000,4597803000,-1883061000,7863549000,МСФО,2018,8401891793.399999,36165270,4.0200,36165270,8.6000,949023840,8.7000,949023840,8.7000,1.8454832494037616,8.357163022234381,3.7542731263036395,0.843222881341025
1,894659000,520747000,-153525000,-3365004000,1793825000,BISV,0,RUB,2488102000,2008627000,0,3813799000,1022687000,1548493000,1548493000,1825989000,1687860000,2710547000,13046199000,13046199000,MOEX,899166000,0,,1663890000,208350000,1841000,139970000,138129000,https://cdn.financemarker.ru/reports/2018/MOEX/B/BISV_2018_12_Q_РСБУ.pdf,0,18140617000,3204576000,0,3768721000,12,4692456000,1663890000,Y,0,55159000,6581321000,0,20628719000,5213203000,0,7582520000,РСБУ,2018,8401891793.399999,36165270,4.0200,36165270,8.6000,949023840,8.7000,949023840,8.7000,1.571772347341517,6.680261620025418,2.7512961445544195,0.9126836572523624
1,0,916339000,0,0,0,BISV,0,RUB,2751108000,2008627000,0,4037707000,0,157783000,157783000,231756000,213680000,213680000,13203982000,13203982000,MOEX,0,0,,341247000,208359000,0,18076000,18076000,https://cdn.financemarker.ru/reports/2019/MOEX/B/BISV_2019_3_Q_РСБУ.pdf,0,18325932000,3204576000,0,3835351000,3,4296864000,341247000,Q,0,55173000,1556633000,0,21077040000,5213203000,0,7873058000,РСБУ,2019,8416719554.099999,36165270,4.4300,36165270,8.6000,949023840,8.7000,949023840,8.7000,0.16015503866054712,1.5800347204406269,0.21689236901938552,0
