amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,num2,price2,num2_day,price2_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,1141302000,35753603000,-6926394000,-3504384000,29833917000,BSPB,2051634000,RUB,0,0,0,0,0,5885482000,5885482000,7287126000,0,0,40022803000,40022803000,MOEX,28692615000,0,,0,140742000,12157178000,25777105000,13619927000,https://cdn.financemarker.ru/reports/2011/MOEX/B/BSPB_2011_12_Y_МСФО.pdf,0,0,0,0,0,12,0,0,Y,0,51118000,16547909000,2944456000,330033458000,0,0,290010655000,МСФО,2011,25985735759.999996,282150000,72.0700,475554232,96.4100,65211000,86.6600,20100000,19.1500,16.943416215407026,47.63893758942426,0,82.60171694577112
1,912127000,47063653000,2442617000,4611217000,4888962000,BSPB,2349129000,RUB,0,0,0,0,0,1303500000,1303500000,1783013000,0,0,40318499000,40318499000,MOEX,3976835000,0,,0,140741000,15379021000,27361167000,11982146000,https://cdn.financemarker.ru/reports/2012/MOEX/B/BSPB_2012_12_Y_МСФО.pdf,https://www.bspb.ru/investors/results/2012/FY_2012_Webcast.pdf,0,0,0,0,12,0,0,Y,0,51117000,14735350000,3059023000,351366233000,0,0,311047734000,МСФО,2012,18781226145.6,300718935,49.7600,475554232,96.4100,65211000,58.5400,20100000,19.1500,3.562157329380555,40.26822785077695,0,10.867749860366029
1,486184000,42860521000,-1941342000,2460115000,-6244699000,BSPB,2677868000,RUB,0,0,0,0,0,6695263000,6695263000,8483465999.999999,0,0,47675955000,47675955000,MOEX,-6730883000,0,,0,36555000,17459532000,30831525000,13371993000,https://cdn.financemarker.ru/reports/2013/MOEX/B/BSPB_2013_12_Y_МСФО.pdf,https://www.bspb.ru/en/investors/results/2013/FY-2013_Webcast.pdf,0,0,0,0,12,0,0,Y,0,51116000,16608257000,3309775000,409422319000,0,0,361746364000,МСФО,2013,18311819640,439554000,41.6600,475554232,96.4100,0,0,20100000,19.1500,15.23194647301583,37.78433821555486,0,-15.312983160203297
1,644587000,60530706000,-10536605000,-1031514000,19868892000,BSPB,3292469000,RUB,0,0,0,0,0,4795674000,4795674000,6048626000,0,0,51294341000,51294341000,MOEX,19224305000,0,,0,140740000,20249404000,38760300000,18510896000,https://cdn.financemarker.ru/reports/2014/MOEX/B/BSPB_2014_12_Y_МСФО.pdf,https://www.bspb.ru/en/investors/results/2014/FY-2014-Webcast.pdf,0,0,0,0,12,0,0,Y,0,51115000,23372058000,4477139000,521600150000,0,0,470305809000,МСФО,2014,10725117600,439554000,24.4000,475554232,96.4100,0,0,20100000,19.1500,10.910318186161428,53.172210922890024,0,43.73593460644199
1,795972000,38947055000,-15613816000,-42023877000,32224195000,BSPB,4042310000,RUB,0,0,0,0,0,3618515000,3618515000,4747024000,0,0,56783484000,56783484000,MOEX,31428223000,0,,0,140739000,33315993000,50793475000,17477482000,https://cdn.financemarker.ru/reports/2015/MOEX/B/BSPB_2015_12_Y_МСФО.pdf,https://www.bspb.ru/investors/results/2016/FY%202015_Webcast.pdf,0,0,0,0,12,0,0,Y,0,51114000,22567258000,4473777000,562534576000,0,0,505751092000,МСФО,2015,19186532100,439554000,43.6500,475554232,96.4100,0,0,20100000,19.1500,8.23224222734863,51.34126409951906,0,71.50025480373287
1,1287725000,37102007000,-2316175000,15329267000,-11832310000,BSPB,4699519000,RUB,0,0,0,0,0,4277810000,4277810000,5133255000,0,0,60868966000,60868966000,MOEX,-13120035000,0,,0,140738000,29706921000,51851810000,22144889000,https://cdn.financemarker.ru/reports/2016/MOEX/B/BSPB_2016_12_Y_МСФО.pdf,https://www.bspb.ru/investors/results/2016/FY-2016_Webcast.pdf,0,0,0,0,12,0,0,Y,0,51113000,28310807000,5628561000,580287520000,0,0,519418554000,МСФО,2016,29581984200,439554000,67.3000,475554232,96.4100,0,0,20100000,19.1500,9.732160326148778,64.40802950263222,0,-29.84851690577267
1,928020000,42218995000,-7529023000,15110511000,-5383594000,BSPB,8003085000,RUB,0,0,0,0,0,7491056000,7429077000,9355319000,0,0,70910129000,70319737000,MOEX,-6311614000,0,,0,140737000,26621953000,47169918000,20547965000,https://cdn.financemarker.ru/reports/2017/MOEX/B/BSPB_2017_12_Y_МСФО.pdf,https://www.bspb.ru/investors/results/2017/FY_2017_Webcast.pdf,0,0,0,0,12,0,0,Y,0,51112000,28367814000,5970557000,606859371000,0,0,535949242000,МСФО,2017,27350581500,499554000,54.7500,475554232,96.4100,0,0,20100000,19.1500,14.87141930602097,56.78628136297577,0,-12.634497972191195
1,-171697000,36438666000,-970757000,5545391000,-10786421000,BSPB,1387794000,RUB,0,0,0,0,0,1847071000,1834075000,2270879000,0,0,70467225000,69863837000,MOEX,-10614724000,0,,0,124396000,5909012000,10962854000,5053842000,https://cdn.financemarker.ru/reports/2018/MOEX/B/BSPB_2018_3_Q_МСФО.pdf,https://www.bspb.ru/investors/results/2018/1Q2018_Webcast.pdf,0,0,0,0,3,0,0,Q,0,51109000,7158057000,1766603000,602696704000,0,0,532229479000,МСФО,2018,27225693000,499554000,54.5000,475554232,96.4100,0,0,20100000,19.1500,3.6714249110206305,14.32889537467421,0,-21.24840157420419
1,369107000,43953977000,-2630214000,11812817000,-8401205000,BSPB,2726392000,RUB,0,0,0,0,0,4389952000,4344838000,5513970000,0,0,72030546000,71441531000,MOEX,-8770312000,0,,0,8842000,11985549000,22295563000,10310014000,https://cdn.financemarker.ru/reports/2018/MOEX/B/BSPB_2018_6_6M_МСФО.pdf,https://www.bspb.ru/investors/results/2018/1H2018_Webcast.pdf,0,0,0,0,6,0,0,6M,0,51108000,14307833000,3276361000,602133397000,0,0,530102851000,МСФО,2018,25027655400,499554000,50.1000,475554232,96.4100,0,0,20100000,19.1500,8.697434111227215,28.641213962854867,0,-17.556284205511314
1,197000000,67929000000,-1659000000,6267000000,2385000000,BSPB,0,RUB,0,0,0,0,0,2543000000,2511000000,3243000000,0,0,72031000000,71442000000,MOEX,2188000000,0,,0,5068000000,5772000000,11333000000,5561000000,https://www.bspb.ru/investors/financial-statements/,0,0,15622000000,0,0,6,-52307000000,5010000000,Q,0,0,9025000000,1767000000,602133000000,15622000000,5782000000,530103000000,МСФО,2018,25027655400,499554000,50.1000,475554232,96.4100,0,0,20100000,19.1500,5.026483623392066,18.066114974557305,0,4.379906876934226
