amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,55268987860,60013377752,-17359695016,-61236550080,83068124740,CHMF,0,RUB,287574506304,38176779268,0,172928974792,20830223484,70002961940,65529761932,78222678696,90668236536,115419136000,227596069892,215106489184,MOEX,27799136880,0,,158095168312,477681932,14045484764,1599926924,-12445557840,https://cdn.financemarker.ru/reports/2011/MOEX/C/CHMF_2011_12_Y_МСФО.pdf,https://www.severstal.com/files_archive/eng/ir/conferences_presentations/financial/6195.pdf,289192403060,154277480724,0,176241864680,12,132440882240,94339460332,Y,0,0,509222529600,23139636732,576766909364,192454259992,63755707980,349170839472,МСФО,2011,367206373762,1007701355,364.4000,837718660,785.4000,65.02895089587331,505.3307977342156,114.53704555155629,27.586682048274113
1,39628188300,52750648312.5,-25518659922.5,-33675159495,53486595142.5,CHMF,0,RUB,174076726905,42234376360,0,102968446565,16980894422.5,25051007942.5,23283653815,35211468365,43516691290,64751342500,220479787972.5,219844711450,MOEX,13858406842.5,0,,98237748317.5,15889900,10284829447.5,1979606522.5,-8305222925,https://cdn.financemarker.ru/reports/2012/MOEX/C/CHMF_2012_12_Y_МСФО.pdf,https://severstal.com/upload/iblock/d3b/severstal-q4-2012-press-release-rus.pdf,305896495457.5,132234892190,0,156524987825,12,125652440000,42462151965,Y,0,2939600942.5,312457190707.5,20116430055,479973222362.5,174469268550,55775596352.5,259493434390,МСФО,2012,311798885252,837718660,372.2000,837718660,785.4000,27.794121017908328,372.9858311948071,77.29485517249908,16.543032290220204
1,35657061570,34077509460.000004,-37539872685,-36858222495,51905250765.00001,CHMF,0,RUB,160869477735.00003,20642237505.000004,0,83855045835.00002,19974863745,3032590050.0000005,2819594925.0000005,10918080765.000002,18992454570,67862385000.00001,229730686515.00003,229206636270.00003,MOEX,16052760000.000002,0,,92860381035.00002,17138295,9059611950,985238145.0000001,-8074373805.000001,https://cdn.financemarker.ru/reports/2013/MOEX/C/CHMF_2013_12_Y_МСФО.pdf,https://severstal.com/upload/iblock/394/severstal-q4-2013-press-release-rus.pdf,316689737445,135743684625.00002,0,163973482830.00003,12,122308412670.00002,39872161080,Y,0,3164433210.0000005,310316429880,18187777080,477559215180.00006,156385922130,52988219955.00001,247828528665.00003,МСФО,2013,265975674550,837718660,317.5000,837718660,785.4000,3.365801741840155,370.4303660610831,81.00856318516291,19.162471562946923
1,45219392000,110117056000,-119056448000,69773696000,118301824000,CHMF,0,RUB,209669376000,44929152000,0,100713280000,32564928000,-92644608000,-92586560000,-46786688000,-34828800000,127879744000,164101696000,163114880000,MOEX,71515136000,0,,163811456000,30301056000,14918336000,2960448000,-11957888000,https://cdn.financemarker.ru/reports/2014/MOEX/C/CHMF_2014_12_Y_МСФО.pdf,https://severstal.com/upload/iblock/22a/severstal-q4-2014-press-release-rus.pdf,228767168000,154059392000,0,173621568000,12,88871488000,92992896000,Y,0,5584043456000,481566208000,24322112000,438436544000,198988544000,70818560000,274334848000,МСФО,2014,416639375551,837718660,497.3500,837718660,785.4000,-110.52226054031075,574.8543407162496,152.65237615693079,85.368918486309
1,32046780500,120230176500,-124245149000,-22191848000,135268073500,CHMF,0,RUB,214399531500,37010746500,0,94680351500,26790816500,44018698500,44164697500,52705639000,60662584500,153006952000,165562866000,164467873500,MOEX,113295224000,0,,188776707000,359303539000,15329895000,7372949500,-7956945500,https://cdn.financemarker.ru/reports/2015/MOEX/C/CHMF_2015_12_Y_МСФО.pdf,https://severstal.com/upload/iblock/190/severstal-q4-2015-press-release-rus.pdf,213888535000,141984027500,0,168044849000,12,58764597500,124318148500,Y,0,7022259902000,466904802000,21169855000,428288066500,178994774000,64458558500,262725200500,МСФО,2015,512264960590,837718660,611.5000,837718660,785.4000,52.7202026274549,557.3527537276059,182.64718133412475,135.24256938480994
1,32165437500,70702695000,-81424507500,-40620352500,90492097500,CHMF,0,RUB,172039140000,41233027500,0,110036430000,21014752500,99253350000,99314617500,105196297500,110955442500,117082192500,186314467500,185395455000,MOEX,62554117500,0,,143549752500,301619902500,9618997500,3859852500,-5759145000,https://cdn.financemarker.ru/reports/2016/MOEX/C/CHMF_2016_12_Y_МСФО.pdf,https://severstal.com/upload/iblock/359/severstal-q4-2016-press-release-rus.pdf,225158062500,82098450000,0,100846305000,12,52628782500,92942797500,Y,0,5893627162500,362458530000,17093632500,397197202500,123331477500,50606955000,210882735000,МСФО,2016,778073091408,837718660,928.8000,837718660,785.4000,118.55366514099137,432.67333928075567,139.76314255671468,74.67198772915002
1,34078242000,59449522000,-85743394000,-33443960000,110365068000,CHMF,0,RUB,170218224000,33789932000,0,96295540000,23295448000,78132010000,78189672000,101715768000,108000926000,148594974000,195935476000,195070546000,MOEX,80323166000,0,,179501806000,50396588000,9110596000,2825438000,-6285158000,https://cdn.financemarker.ru/reports/2017/MOEX/C/CHMF_2017_12_Y_МСФО.pdf,https://www.severstal.com/upload/iblock/f19/severstal-q4-2017-presentation.pdf,245467134000,86896634000,0,123454342000,12,61237044000,124665244000,Y,0,5546738428000,452531376000,16491332000,415685358000,120686566000,54836562000,219749882000,МСФО,2017,748334078978,837718660,893.3000,837718660,785.4000,93.3364334990461,540.1949337024437,177.38052295504556,95.88322408862183
1,7769816000,43248167000,-31650574000,-7598423000,23595103000,CHMF,0,RUB,158995573000,1713930000,0,60844515000,6113017000,26337391000,26337391000,32507539000,33935814000,40334486000,221096970000,220240005000,MOEX,16510859000,0,,49075529000,63758196000,1885323000,457048000,-1428275000,https://cdn.financemarker.ru/reports/2018/MOEX/C/CHMF_2018_3_Q_МСФО.pdf,https://www.severstal.com/files/21745/Severstal%20-%20Q1%202018%20Presentation.pdf,244806335000,86382072000,0,121860423000,3,44847835000,33421635000,Q,0,0,124145663000,4570480000,403801908000,88096002000,15653894000,182704938000,МСФО,2018,731412162046,837718660,873.1000,837718660,785.4000,31.439422633847023,148.19493575563902,48.148009499991325,19.709312670676333
1,18597680000,86454080000,-45740240000,-5843190000,73071290000,CHMF,0,RUB,200867510000,11812040000,0,122455670000,12942980000,63960940000,63960940000,78663160000,81741830000,99271400000,202375430000,201495810000,MOEX,55730210000,0,,116423990000,8900434970000,3832630000,753960000,-3078670000,https://cdn.financemarker.ru/reports/2018/MOEX/C/CHMF_2018_6_6M_МСФО.pdf,https://www.severstal.com/files/22075/Severstal%20-%20Q2%202018%20Presentation.pdf,238754000000,84255030000,0,114790410000,6,9612990000,84883330000,6M,0,0,278462560000,9864310000,439621510000,96067070000,31540660000,237246080000,МСФО,2018,775141076098,837718660,925.3000,837718660,785.4000,76.35133733322832,332.4058222601846,118.5020756252463,66.52616524024903
1,10052800000,86454080000,-10932420000,2513200000,47122500000,CHMF,0,RUB,200867510000,11812040000,0,122455670000,6220170000,34996310000,34996310000,42912890000,44420810000,54913420000,202375430000,201495810000,MOEX,37572340000,0,X,62453020000,230800727280000,1759240000,251320000,-1507920000,https://cdn.financemarker.ru/reports/2018/MOEX/C/CHMF_2018_6_6M_МСФО.pdf,https://www.severstal.com/files/22075/Severstal%20-%20Q2%202018%20Presentation.pdf,238754000000,84255030000,0,114790410000,6,9612990000,48127780000,Q,0,0,141932970000,4837910000,439621510000,96067070000,14325240000,237246080000,МСФО,2018,775141076098,837718660,925.3000,837718660,785.4000,41.77573172358367,169.42796761862746,65.55114816231979,44.850785584745125
