amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,num2,price2,num2_day,price2_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,54889000,2417000,0,-54287000,53126000,DZRD,0,RUB,129017000,0,0,104106000,0,81712000,81712000,103856000,113734000,113734000,238638000,238638000,MOEX,-1763000,0,,146417000,203053000,9878000,0,-9878000,https://cdn.financemarker.ru/reports/2012/MOEX/D/DZRD_2012_12_Y_РСБУ.pdf,0,309654000,80000000,0,95927000,12,77583000,146417000,Y,0,54775000,714185000,0,438671000,80000000,0,200033000,РСБУ,2012,336332815.8,343407,791.5000,343407,1860.0000,114469,563.7000,114469,1700.0000,178.4587967047847,1559.7781932226192,248.3947619006019,-3.8503874411412697
1,114853000,17096000,48000000,-142016000,108696000,DZRD,0,RUB,169248000,0,0,62514000,24498000,201790000,201790000,252773000,264303999.99999997,288802000,440428000,440428000,MOEX,-6157000,0,,266319999.99999997,203052000,12075000,544000,-11531000,https://cdn.financemarker.ru/reports/2013/MOEX/D/DZRD_2013_12_Y_РСБУ.pdf,0,483833000,128000000,0,150139000,12,110904000,266319999.99999997,Y,0,54774000,895233000,0,653081000,128000000,0,212653000,РСБУ,2013,380140102.1,343407,869.9000,343407,1860.0000,114469,711.2000,114469,1700.0000,440.70883820073556,1955.1865570591165,630.7428212004997,-13.446872078903459
1,271789000,6280000,302000000,-268636000,-44180000,DZRD,0,RUB,251608000,0,0,80684000,40934000,309419000,309419000,387908000,418757000,459691000,749847000,749847000,MOEX,-315969000,0,,421908000,203051000,34002000,3153000,-30849000,https://cdn.financemarker.ru/reports/2014/MOEX/D/DZRD_2014_12_Y_РСБУ.pdf,0,1044045000,430000000,0,465122000,12,423720000,421908000,Y,0,54773000,1205032000,0,1295653000,430000000,0,545806000,РСБУ,2014,459020690,343407,1052.0000,343407,1860.0000,114469,854.0000,114469,1700.0000,675.7702958879697,2631.786771964462,1003.9639553066769,-690.0754789506329
1,204313000,13328000,-30000000,-211136000,248184000,DZRD,0,RUB,419212000,0,0,70026000,72355000,517176000,517176000,647038000,698695000,771050000,1267023000,1267023000,MOEX,43871000,0,,704643000,203050000,54834000,3177000,-51657000,https://cdn.financemarker.ru/reports/2015/MOEX/D/DZRD_2015_12_Y_РСБУ.pdf,0,1359481000,400000000,0,441644000,12,386672000,704643000,Y,0,54772000,1670742000,0,1778693000,400000000,0,511670000,РСБУ,2015,935211730,343407,1990.0000,343407,1860.0000,114469,2200.0000,114469,1700.0000,1129.5110466589208,3648.89620770689,1683.971206178092,95.81415055604575
1,135646000,11207000,55000000,-169937000,112816000,DZRD,0,RUB,415831000,0,0,107803000,99978000,346247000,346247000,434927000,494648000,594626000,1613270000,1613270000,MOEX,-22830000,0,,502248000,203049000,70703000,10982000,-59721000,https://cdn.financemarker.ru/reports/2016/MOEX/D/DZRD_2016_12_Y_РСБУ.pdf,0,1814998000,455000000,0,509756000,12,443793000,502248000,Y,0,54771000,1450602000,0,2230829000,455000000,0,617559000,РСБУ,2016,763508230,343407,1710.0000,343407,1860.0000,114469,1540.0000,114469,1700.0000,756.2025526561777,3168.111016956556,1298.6616463846108,-49.86066096497742
1,144932000,7883000,54000000,-156697000,99373000,DZRD,0,RUB,679666000,80355000,0,306216000,106421000,591130000,591130000,739484000,788013000,894434000,2204400000,2204400000,MOEX,-45559000,0,,786608000,203048000,56765000,8236000,-48529000,https://cdn.financemarker.ru/reports/2017/MOEX/D/DZRD_2017_12_Y_РСБУ.pdf,0,2324649000,429000000,0,493699000,12,501472000,786608000,Y,0,54770000,2047762000,0,3004315000,509355000,0,799915000,РСБУ,2017,1017629410,343407,2220.0000,343407,1860.0000,114469,2230.0000,114469,1700.0000,1291.0263914247525,4472.306912788616,1953.441543125213,-99.50073819112598
1,0,17034000,0,0,0,DZRD,0,RUB,1110176000,80000000,0,340211000,0,123280000,123280000,154241000,162617000,162617000,2327680000,2327680000,MOEX,0,0,,163311000,14883000,8376000,0,-8376000,https://cdn.financemarker.ru/reports/2018/MOEX/D/DZRD_2018_3_Q_РСБУ.pdf,0,2055785000,429000000,0,498070000,3,491966000,163311000,Q,0,54781000,459080000,0,3165961000,509000000,0,838281000,РСБУ,2018,1158426280,343407,2510.0000,343407,1860.0000,114469,2590.0000,114469,1700.0000,269.2432012160498,1002.6295328866331,355.15510749635274,0
1,0,48044000,0,0,0,DZRD,0,RUB,1060386000,0,0,296864000,0,289525000,289525000,362228000,380509000,380509000,2493925000,2493925000,MOEX,0,0,,383066000,203228000,18281000,0,-18281000,https://cdn.financemarker.ru/reports/2018/MOEX/D/DZRD_2018_6_6M_МСФО.pdf,0,2204715000,408000000,0,474312000,6,359956000,383066000,6M,0,0,1003663000,0,3265101000,408000000,0,771176000,МСФО,2018,1021063480,343407,2280.0000,343407,1860.0000,114469,2080.0000,114469,1700.0000,632.321851330928,2191.997396675082,831.0306720596843,0
1,0,68000000,0,0,0,DZRD,0,RUB,1060000000,0,0,297000000,0,289000000,289000000,362000000,381000000,381000000,2494000000,2494000000,MOEX,0,0,X,383000000,4638630000000,18000000,0,-18000000,http://www.alund.ru/god_o.html,0,2205000000,408000000,0,474000000,6,340000000,383000000,6M,0,54780000000,1004000000,0,3265000000,408000000,0,771000000,РСБУ,2018,1021063480,343407,2280.0000,343407,1860.0000,114469,2080.0000,114469,1700.0000,631.1752526885008,2192.7334038036497,832.1030147900304,0
1,0,68000000,0,0,0,DZRD,0,RUB,1060000000,0,0,297000000,0,166000000,166000000,208000000,218000000,218000000,2494000000,2494000000,MOEX,0,0,,220000000,2512000000,10000000,0,-10000000,http://www.alund.ru/god_o.html,0,2205000000,408000000,0,474000000,6,340000000,220000000,Q,0,0,545000000,0,3265000000,408000000,0,771000000,РСБУ,2018,1021063480,343407,2280.0000,343407,1860.0000,114469,2080.0000,114469,1700.0000,362.5435707484122,1190.2785907101486,476.11143628405944,0
