amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num5,price5,num5_day,price5_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,726000000,14484000000,14581000000,-1532000000,-3873000000,ETLN,0,RUB,55365000000,1950000000,0,17049000000,265000000,7440000000,7332000000,9025000000,7644000000,7909000000,33056000000,32684000000,MOEX,-4599000000,0,,10853000000,3602000000,60000000,1441000000,1381000000,https://cdn.financemarker.ru/reports/2011/MOEX/E/ETLN_2011_12_Y_МСФО.pdf,0,3419000000,8456000000,0,8679000000,12,-4078000000,7644000000,Y,0,0,22741000000,2328000000,58784000000,10406000000,3209000000,25728000000,МСФО,2011,44388530400,294960000,150.4900,383441416,50.5600,24.85760781122864,77.09858963927311,26.813805261730405,-15.591944670463791
1,844000000,10716000000,6572000000,-5743000000,-4124000000,ETLN,0,RUB,70198000000,3825000000,0,21371000000,417000000,5000000000,4979000000,6526000000,5909000000,6326000000,38063000000,37655000000,MOEX,-4968000000,0,,9400000000,5386000000,132000000,749000000,617000000,https://cdn.financemarker.ru/reports/2012/MOEX/E/ETLN_2012_12_Y_МСФО.pdf,0,3318000000,12811000000,0,14082000000,12,5920000000,5909000000,Y,0,0,26894000000,2324000000,73516000000,16636000000,3491000000,35453000000,МСФО,2012,48339725900,292030000,165.5300,383441416,50.5600,17.049618189911996,92.09327808786769,21.662157997466014,-17.011950826969834
1,431000000,8139000000,-3741000000,1821000000,-1045999999.9999999,ETLN,0,RUB,78289000000,3043000000,0,27008000000,343000000,6664000000,6629000000,8496999999.999999,8148000000,8490999999.999999,44686000000,44299000000,MOEX,-1477000000,0,,12368000000,14920000000,342000000,691000000,349000000,https://cdn.financemarker.ru/reports/2013/MOEX/E/ETLN_2013_12_Y_МСФО.pdf,0,5281000000,10176000000,0,11876000000,12,5080000000,8148000000,Y,0,0,39921000000,3157000000,83570000000,13219000000,4219999999.9999995,38884000000,МСФО,2013,50655523800,292030000,173.4600,383441416,50.5600,22.69972263123652,136.70170872855527,29.075779885628187,-5.057699551415951
1,653000000,14631000000,1074000000,3277000000,511000000,ETLN,0,RUB,88517000000,3880000000,0,27574000000,417000000,8369000000,8345000000,10395000000,9231000000,9648000000,51871000000,51520000000,MOEX,-142000000,0,,15796000000,4242000000,553000000,1717000000,1164000000,https://cdn.financemarker.ru/reports/2014/MOEX/E/ETLN_2014_12_Y_МСФО.pdf,0,7763000000,12411000000,0,16835000000,12,1660000000,9231000000,Y,0,0,51481000000,4178000000,96280000000,16291000000,6565000000,44409000000,МСФО,2014,32870467600,292130000,112.5200,383441416,50.5600,28.566049361585595,176.22633758942936,33.026392359565946,-0.4860849621743744
1,95000000,10042000000,484000000,152000000,-4618000000,ETLN,0,RUB,89287000000,5141000000,0,25228000000,213000000,2193000000,2188000000,2988000000,2583000000,2796000000,52164000000,51994000000,MOEX,-4713000000,0,,5564000000,141942000000,593000000,998000000,405000000,https://cdn.financemarker.ru/reports/2015/MOEX/E/ETLN_2015_6_6M_МСФО.pdf,0,6865000000,13375000000,0,18760000000,6,8474000000,2583000000,6M,0,0,18148000000,2021000000,96152000000,18516000000,2981000000,43988000000,МСФО,2015,30017865600,292230000,102.7200,383441416,50.5600,7.4872531909797075,62.10176915443315,9.567806180063648,-16.12770762755364
1,274000000,11532000000,259000000,2076000000,-1195000000,ETLN,0,RUB,98221000000,6276000000,0,35452000000,193000000,3236000000,3211000000,4443000000,3666000000,3859000000,54843000000,54696000000,MOEX,-1469000000,0,X,7435000000,3673554000000,-89000000,688000000,777000000,https://cdn.financemarker.ru/reports/2015/MOEX/E/ETLN_2015_12_Y_МСФО.pdf,0,8062000000,13138000000,0,15988000000,12,7882000000,3666000000,6M,0,0,24256000000,2327000000,106283000000,19414000000,3769000000,51440000000,МСФО,2015,38124325800,292230000,130.4600,383441416,50.5600,10.987920473599562,83.00311398555932,13.205351948807445,-5.026862402901824
1,369000000,11532000000,743000000,2228000000,-5813000000,ETLN,0,RUB,98221000000,6276000000,0,35452000000,406000000,5429000000,5399000000,7431000000,6249000000,6655000000,54843000000,54696000000,MOEX,-6182000000,0,,12999000000,4243000000,504000000,1686000000,1182000000,https://cdn.financemarker.ru/reports/2015/MOEX/E/ETLN_2015_12_Y_МСФО.pdf,0,8062000000,13138000000,0,15988000000,12,7882000000,6249000000,Y,0,0,42404000000,4348000000,106283000000,19414000000,6750000000,51440000000,МСФО,2015,38124325800,292230000,130.4600,383441416,50.5600,18.47517366457927,145.10488313999247,22.773158128871096,-21.154570030455464
1,218000000,15770000000,1248000000,270000000,2830000000,ETLN,0,RUB,106184000000,8720000000,0,44955000000,240000000,1308000000,1307000000,1425000000,686000000,926000000,55150000000,55067000000,MOEX,2612000000,0,,4057000000,140886000000,152000000,891000000,739000000,https://cdn.financemarker.ru/reports/2016/MOEX/E/ETLN_2016_6_6M_МСФО.pdf,0,8686000000,12950000000,0,14765000000,6,5900000000,686000000,6M,0,0,19742000000,1958000000,114870000000,21670000000,3371000000,59720000000,МСФО,2016,46005768900,292230000,157.4300,383441416,50.5600,4.472504534099853,67.5563768264723,3.168736953769291,8.938165143893508
1,493000000,10206000000,-4234000000,97000000,-1393000000,ETLN,0,RUB,103669000000,5639000000,0,41053000000,194000000,3594000000,3595000000,5131000000,4332000000,4526000000,58150000000,58122000000,MOEX,-1886000000,0,X,8152000000,3673555000000,167000000,966000000,799000000,https://cdn.financemarker.ru/reports/2016/MOEX/E/ETLN_2016_12_Y_МСФО.pdf,0,10472000000,12415000000,0,14938000000,12,7848000000,4332000000,6M,0,0,29280000000,2496000000,114141000000,18054000000,3820000000,55991000000,МСФО,2016,56362400100,292230000,192.8700,383441416,50.5600,12.301953940389419,100.19505184272661,15.487800704924204,-6.453820620743935
1,711000000,10206000000,-2986000000,367000000,1437000000,ETLN,0,RUB,103669000000,5639000000,0,41053000000,434000000,4902000000,4902000000,6556000000,5018000000,5452000000,58150000000,58122000000,MOEX,726000000,0,,12209000000,4244000000,319000000,1857000000,1538000000,https://cdn.financemarker.ru/reports/2016/MOEX/E/ETLN_2016_12_Y_МСФО.pdf,0,10472000000,12415000000,0,14938000000,12,7848000000,5018000000,Y,0,0,49022000000,4454000000,114141000000,18054000000,7191000000,55991000000,МСФО,2016,56362400100,292230000,192.8700,383441416,50.5600,16.774458474489272,167.75142866919893,18.656537658693495,2.484344523149574
