amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,4327863356,7457673504,2828445116,-18487414688,5558957868,FESH,0,RUB,14580361000,5741071488,665527864,10693048364,2632129532,938327948,938327948,1901388568,3310957648,5943087180,46402872416,46402872416,MOEX,1231094512,0,,11236941720,3560764076,1453076684,43507604,-1409569080,https://cdn.financemarker.ru/reports/2011/MOEX/F/FESH_2011_12_Y_МСФО.pdf,0,60556015152,12118655036,3935393208,18040455372,12,10402053020,2627041300,Y,0,1936812968,33130026020,4289282964,75136376152,17859726524,8609900420,28733503736,МСФО,2011,24625230000,2951250000,8.3440,2951250000,40.6000,0.3179425490893689,11.225760616687845,2.013752538754765,0.4171434178737823
1,1823000000,7057000000,6462000000,-11961000000,5275000000,FESH,0,RUB,14484000000,5930000000,707000000,11354000000,3104000000,-533000000,-614000000,646000000,2137000000,5241000000,46542000000,46270000000,MOEX,3452000000,0,,12574000000,110568000000,1662000000,171000000,-1491000000,https://cdn.financemarker.ru/reports/2012/MOEX/F/FESH_2012_12_Y_МСФО.pdf,0,66922000000,18080000000,3223000000,23510000000,12,16953000000,724000000,Y,0,60129000000,37219000000,4888000000,81406000000,24010000000,11850000000,34864000000,МСФО,2012,27594187500,2951250000,9.3500,2951250000,40.6000,-0.20804743752647184,12.611266412537061,1.7758576874205845,1.1696738670055062
1,1469000000,6263000000,-17734000000,12978000000,4490000000,FESH,0,RUB,13406000000,4910000000,646000000,9901000000,2731000000,550000000,484000000,1301000000,4118000000,6849000000,21007000000,20672000000,MOEX,3021000000,0,,10293000000,110567000000,3718000000,901000000,-2817000000,https://cdn.financemarker.ru/reports/2013/MOEX/F/FESH_2013_12_Y_МСФО.pdf,0,55305000000,34157999999.999996,1790000000,37803000000,12,32805000000,3061000000,Y,0,60128000000,36321000000,4547000000,68710999999.99999,39068000000,7232000000,47704000000,МСФО,2013,11586607500,2951250000,3.9260,2951250000,40.6000,0.163998305802626,12.306988564167726,2.3207115628970776,1.0236340533672172
1,2569000000,3723000000,-6817000000,-1568000000,4061000000,FESH,0,RUB,15515000000,1708000000,994000000,11240000000,2787000000,-6205000000,-6294000000,-5902000000,-1898000000,889000000,-47000000,-289000000,MOEX,1492000000,0,,11051000000,110566000000,4343000000,339000000,-4004000000,https://cdn.financemarker.ru/reports/2014/MOEX/F/FESH_2014_12_Y_МСФО.pdf,0,56840000000,58931000000,1146000000,61162000000,12,56916000000,-1797000000,Y,0,60127000000,42787000000,4912000000,72355000000,60639000000,12848000000,72402000000,МСФО,2014,8086425000.000001,2951250000,2.7400,2951250000,40.6000,-2.132655654383736,14.497924608216858,0.3012282930961457,0.5055484963998306
1,442000000,2225000000,-4308000000,-241000000,4631000000,FESH,0,RUB,10543000000,5523000000,379000000,12744000000,1420000000,535000000,498000000,1221000000,2627000000,4047000000,688000000,413000000,MOEX,4189000000,0,,6022000000,141024000000,2842000000,1436000000,-1406000000,https://cdn.financemarker.ru/reports/2015/MOEX/F/FESH_2015_6_6M_МСФО.pdf,0,56559000000,45022000000,1343000000,53670000000,6,48320000000,2197000000,6M,0,60145000000,22103000000,2491000000,67102000000,50545000000,3825000000,66414000000,МСФО,2015,9001312500,2951250000,3.0500,2951250000,40.6000,0.1687420584498094,7.489368911478187,1.3712833545108005,1.419398559932232
1,544000000,2636000000,-2712000000,190000000,2617000000,FESH,0,RUB,9970000000,8956000000,1061000000,16679000000,1429000000,-12060000000,-12114000000,-11662000000,-17196000000,-15767000000,-23304000000,-23758000000,MOEX,2073000000,0,X,5412000000,3673574000000,2986000000,8520000000,5534000000,https://cdn.financemarker.ru/reports/2015/MOEX/F/FESH_2015_12_Y_МСФО.pdf,0,48787000000,55795000000,525000000,65382000000,12,62115000000,1442000000,6M,0,0,19542000000,2378000000,58757000000,64751000000,3970000000,82061000000,МСФО,2015,7997887500,2951250000,2.7100,2951250000,40.6000,-4.104701397712834,6.621601016518424,-5.342481999152901,0.7024142312579416
1,986000000,2636000000,-7020000000,-51000000,7248000000,FESH,0,RUB,9970000000,8956000000,1061000000,16679000000,2849000000,-11525000000,-11616000000,-10441000000,-14569000000,-11720000000,-23304000000,-23758000000,MOEX,6262000000,0,,11434000000,110565000000,5828000000,9956000000,4128000000,https://cdn.financemarker.ru/reports/2015/MOEX/F/FESH_2015_12_Y_МСФО.pdf,0,48787000000,55795000000,525000000,65382000000,12,62115000000,3639000000,Y,0,60141000000,41645000000,4869000000,58757000000,64751000000,7795000000,82061000000,МСФО,2015,7997887500,2951250000,2.7100,2951250000,40.6000,-3.9359593392630243,14.110969927996612,-3.971198644642101,2.1218127911901736
1,366000000,1554000000,-2778000000,-178000000,2478000000,FESH,0,RUB,8348000000,56351000000,1115000000,65581000000,1376000000,3590000000,3529000000,3728000000,141000000,1517000000,-12280000000,-12794000000,MOEX,2112000000,0,,5395000000,140993000000,3494000000,7081000000,3587000000,https://cdn.financemarker.ru/reports/2016/MOEX/F/FESH_2016_6_6M_МСФО.pdf,0,46727000000,902000000,108000000,1774000000,6,55699000000,1314000000,6M,0,60144000000,18079000000,2533000000,55075000000,57253000000,4081000000,67355000000,МСФО,2016,5489325000,2951250000,1.8600,2951250000,40.6000,1.1957645065650149,6.12587886488776,0.514019483269801,0.7156289707750954
1,814000000,2582000000,-1558000000,480000000,2062000000,FESH,0,RUB,9053000000,53364000000,813000000,64125000000,1303000000,-2513000000,-2577000000,-1828000000,2765000000,4068000000,-12056000000,-12636000000,MOEX,1248000000,0,X,5421000000,3673575000000,4685000000,92000000,-4593000000,https://cdn.financemarker.ru/reports/2016/MOEX/F/FESH_2016_12_Y_МСФО.pdf,0,44644000000,607000000,226000000,1628000000,12,51389000000,1114000000,6M,0,0,18942000000,2364000000,53697000000,53971000000,4307000000,65753000000,МСФО,2016,9181338750,2951250000,3.1110,2951250000,40.6000,-0.8731893265565438,6.418297331639136,1.3783989834815755,0.42287166454891995
1,1180000000,2582000000,-4336000000,302000000,4540000000,FESH,0,RUB,9053000000,53364000000,813000000,64125000000,2679000000,1077000000,952000000,1900000000,2906000000,5585000000,-12056000000,-12636000000,MOEX,3360000000,0,,10816000000,110564000000,8179000000,7173000000,-1006000000,https://cdn.financemarker.ru/reports/2016/MOEX/F/FESH_2016_12_Y_МСФО.pdf,0,44644000000,607000000,226000000,1628000000,12,51389000000,2428000000,Y,0,60140000000,37021000000,4897000000,53697000000,53971000000,8388000000,65753000000,МСФО,2016,9181338750,2951250000,3.1110,2951250000,40.6000,0.32257518000847096,12.544176196526895,1.8924184667513766,1.1385006353240152
