amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num5,price5,num5_day,price5_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,1503000000,6102000000,-4791000000,-1765000000,10872000000,FIXP,0,RUB,20943000000,3014000000,0,18537000000,757000000,5563000000,5563000000,7443000000,7725000000,8482000000,10742000000,10742000000,MOEX,9369000000,0,,24216000000,118639000000,364000000,82000000,-282000000,https://cdn.financemarker.ru/reports/2017/MOEX/F/FIXP_2017_12_Y_МСФО.pdf,0,9217000000,500000000,0,881000000,12,-2588000000,8109000000,Y,0,51241000000,80652000000,16159000000,30160000000,3514000000,16107000000,19418000000,МСФО,2017,0,0,0,850000000,350.3000,Infinity,Infinity,Infinity,Infinity
1,4217000000,5882000000,-6247000000,-7766000000,13629000000,FIXP,0,RUB,23207000000,501000000,0,21458000000,1464000000,9128000000,9128000000,12269000000,12387000000,13851000000,13237000000,13237000000,MOEX,9412000000,0,,33886000000,13000000000,205000000,87000000,-118000000,https://cdn.financemarker.ru/reports/2018/MOEX/F/FIXP_2018_12_Y_МСФО.pdf,0,12071000000,0,0,583000000,12,-5381000000,12730000000,Y,0,51240000000,108724000000,21501000000,35278000000,501000000,21156000000,22041000000,МСФО,2018,0,0,0,850000000,350.3000,Infinity,Infinity,Infinity,Infinity
1,2264000000,11839000000,1299000000,-2346000000,7463000000,FIXP,0,RUB,30612000000,4905000000,4550000000,29521000000,4011000000,4109000000,4109000000,6260000000,6729000000,10740000000,16129000000,16129000000,MOEX,5199000000,0,,19888000000,12998000000,520000000,51000000,-469000000,https://cdn.financemarker.ru/reports/2019/MOEX/F/FIXP_2019_6_6M_МСФО.pdf,0,17566000000,0,2307000000,2528000000,6,-6934000000,7080000000,6M,0,59272000000,64088000000,12976000000,48178000000,4905000000,12808000000,32049000000,МСФО,2019,0,0,0,850000000,350.3000,Infinity,Infinity,Infinity,Infinity
1,1932000000,11881000000,-11527000000,-2020000000,13961000000,FIXP,0,RUB,34730000000,5006000000,5306000000,39365000000,4684000000,9064000000,9064000000,11275000000,11652000000,16336000000,11453000000,11453000000,MOEX,12029000000,0,X,26073000000,3673597000000,520000000,143000000,-377000000,https://cdn.financemarker.ru/reports/2019/MOEX/F/FIXP_2019_12_Y_МСФО.pdf,https://ir.fix-price.com/investors/key_figures/,18930000000,0,2496000000,2842000000,12,-6875000000,11375000000,6M,0,0,78792000000,14903000000,53660000000,5006000000,14698000000,42207000000,МСФО,2019,609365000000,850000000,716.9000,850000000,350.3000,10.663529411764706,92.6964705882353,19.218823529411765,14.151764705882353
1,4196000000,11881000000,-10228000000,-4366000000,21424000000,FIXP,0,RUB,34730000000,5006000000,5306000000,39365000000,8695000000,13173000000,13173000000,17535000000,18381000000,27076000000,11453000000,11453000000,MOEX,17228000000,0,,45961000000,118640000000,1040000000,194000000,-846000000,https://cdn.financemarker.ru/reports/2019/MOEX/F/FIXP_2019_12_Y_МСФО.pdf,https://ir.fix-price.com/investors/key_figures/,18930000000,0,2496000000,2842000000,12,-6875000000,18455000000,Y,0,59270000000,142880000000,27879000000,53660000000,5006000000,27506000000,42207000000,МСФО,2019,609365000000,850000000,716.9000,850000000,350.3000,15.49764705882353,168.09411764705882,31.854117647058825,20.26823529411765
1,2512000000,7789000000.000001,-15703000000.000002,-2501000000,12823000000,FIXP,0,RUB,34434000000,5797000000,5436000000,40926000000,4782000000,9014000000,9014000000,11982000000,12299000000,17081000000.000002,11834000000,11834000000,MOEX,10311000000,0,,27098000000,12999000000,459000000,142000000,-317000000,https://cdn.financemarker.ru/reports/2020/MOEX/F/FIXP_2020_6_6M_МСФО.pdf,0,21308000000,0,2740000000,2982000000,6,-1992000000.0000002,11199000000,6M,0,59271000000,82869000000,16020000000.000002,55742000000,5797000000,15899000000.000002,43908000000,МСФО,2020,609365000000,850000000,716.9000,850000000,350.3000,10.604705882352942,97.4929411764706,20.09529411764706,12.130588235294118
1,0,18521000000,-9525000000,-3491000000,18244000000,FIXP,0,RUB,48586000000,14695999999.999998,5910000000,27973000000,0,11793000000,11793000000,17479000000,17479000000,25346000000,14622999999.999998,14622999999.999998,MOEX,18244000000,0,,42880000000,233604999999.99997,0,0,0,https://cdn.financemarker.ru/reports/2020/MOEX/F/FIXP_2020_9_9M_МСФО.pdf,https://ir.fix-price.com/upload/iblock/93a/Fix%20Price%209M%202021%20Financial%20Results%20Presentation.pdf,22905000000,0,3734999999.9999995,28894999999.999996,9,-3824999999.9999995,0,9M,0,60197999999.99999,131963999999.99998,0,71491000000,14695999999.999998,42880000000,56867999999.99999,МСФО,2020,609365000000,850000000,716.9000,850000000,350.3000,13.874117647058824,155.25176470588232,29.818823529411766,21.463529411764707
1,-2512000000,18521000000,6178000000,-989999999.9999999,5421000000,FIXP,0,RUB,48586000000,14695999999.999998,5910000000,27973000000,-4782000000,2779000000,2779000000,5497000000,5180000000,8264999999.999999,14622999999.999998,14622999999.999998,MOEX,7932999999.999999,0,X,15781999999.999998,3673597999999.9995,-458999999.99999994,-142000000,317000000,https://cdn.financemarker.ru/reports/2020/MOEX/F/FIXP_2020_9_9M_МСФО.pdf,https://ir.fix-price.com/upload/iblock/93a/Fix%20Price%209M%202021%20Financial%20Results%20Presentation.pdf,22905000000,0,3734999999.9999995,28894999999.999996,9,-3824999999.9999995,-11199000000,Q,0,0,49095000000,-16019999999.999998,71491000000,14695999999.999998,26981000000,56867999999.99999,МСФО,2020,609365000000,850000000,716.9000,850000000,350.3000,3.2694117647058825,57.758823529411764,9.723529411764705,9.332941176470587
1,3655000000,26375000000,4624000000,-3524000000,17447000000,FIXP,0,RUB,56810000000,22019000000,0,81618000000,5083000000,8561000000,8561000000,14328000000,14760000000,19707000000,-3609000000,-3609000000,MOEX,13792000000,0,,34417000000,10339000000,666000000,234000000,-432000000,https://cdn.financemarker.ru/reports/2020/MOEX/F/FIXP_2020_12_6M_МСФО.pdf,https://ir.fix-price.com/investors/key_figures/,25297000000,3713000000,0,4098000000,12,-643000000,15724000000,6M,0,0,107190000000,18912000000,82107000000,25732000000,18693000000,85716000000,МСФО,2020,609365000000,850000000,716.9000,850000000,350.3000,10.071764705882353,126.10588235294118,23.18470588235294,16.225882352941177
1,6167000000,26375000000,-1554000000,-2534000000,12026000000,FIXP,0,RUB,56810000000,15680000000,6339000000,81618000000,9865000000,5782000000,5782000000,8831000000,9580000000,11578000000,-3609000000,-3609000000,MOEX,5859000000,0,X,18635000000,3673599000000,1125000000,376000000,-749000000,https://cdn.financemarker.ru/reports/2020/MOEX/F/FIXP_2020_12_Y_МСФО.pdf,https://ir.fix-price.com/investors/key_figures/,25297000000,0,3713000000,4098000000,12,-10695000000,26923000000,Q,0,0,58095000000,34932000000,82107000000,15680000000,-8288000000,85716000000,МСФО,2020,609365000000,850000000,716.9000,850000000,350.3000,6.802352941176471,68.34705882352941,13.621176470588235,6.892941176470588
