amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,1553118000000,511056000000,31814000000,-1605245000000,1637450000000,GAZP,0,RUB,2240293000000,366868000000,0,1309255000000,275184000000,1342442000000,1307018000000,1679936000000,1757271000000,2032455000000,7760991000000,7463571000000,MOEX,84332000000,0,,0,14931000000,267823000000,190488000000,-77335000000,https://cdn.financemarker.ru/reports/2011/MOEX/G/GAZP_2011_12_Y_МСФО.pdf,https://www.gazprom.ru/f/posts/29/173232/gazprom-ifrs-12m-2011-presentation.pdf,8660403000000,1173294000000,0,1830450000000,12,1029106000000,1656843000000,Y,0,0,4637090000000,0,10900696000000,1540162000000,2942181000000,3139705000000,МСФО,2011,4055982965157.0005,23673512900,171.3300,23673512900,167.1000,55.21014162625607,195.87671756142282,85.85354478591135,3.5622934524432157
1,1349114000000,431250000000,-253870000000,-1287216000000,1472779000000,GAZP,0,RUB,2420803000000,322633000000,0,1492066000000,345690000000,1252415000000,1224474000000,1557736000000,1496415000000,1842105000000,8479945000000,8170733000000,MOEX,123665000000,0,,0,477000000,247168000000,308489000000,61321000000,https://cdn.financemarker.ru/reports/2012/MOEX/G/GAZP_2012_12_Y_МСФО.pdf,https://www.gazprom.ru/f/posts/21/499896/gazprom-12m-2012-ifrs-presentation.pdf,9536033000000,1177959000000,0,1984825000000,12,1069342000000,1350677000000,Y,0,0,4766495000000,0,11956836000000,1500592000000,3421847000000,3476891000000,МСФО,2012,3416561381728,23673512900,144.3200,23673512900,167.1000,51.723375621199,201.34295320404266,77.81291301300703,5.223770571033419
1,1397195000000,689531000000,-33262000000,-1466512000000,1741804000000,GAZP,0,RUB,2862670000000,331926000000,0,1391465000000,419019000000,1165705000000,1139261000000,1486083000000,1630667000000,2049686000000,9634354000000,9319590000000,MOEX,344609000000,0,,0,478000000,284107000000,129523000000,-144584000000,https://cdn.financemarker.ru/reports/2013/MOEX/G/GAZP_2013_12_Y_МСФО.pdf,https://www.gazprom.ru/f/posts/23/320736/2013-04-29-ifrs-presentation.pdf,10573566000000,1470002000000,0,2410417000000,12,1112397000000,1587209000000,Y,0,0,5249965000000,0,13436236000000,1801928000000,3600908000000,3801882000000,МСФО,2013,3286120325649,23673512900,138.8100,23673512900,167.1000,48.12386758198442,221.76535532248786,86.58140465498892,14.55673272723289
1,28075379000,380231778000,38090611000,-998446320000,1207455491000,GAZP,0,RUB,2982474682000,655966239000,0,1242173002000,508084776000,628311221000,628311221000,854776768000,911042779000,1419127555000,8369830929000,8369830929000,MOEX,1179380112000,0,,2005998224000,1317862000,74147485000,17881474000,-56266011000,https://cdn.financemarker.ru/reports/2013/MOEX/G/GAZP_2013_12_Y_РСБУ.pdf,0,7865944459000,944249743000,0,1236415210000,12,1219984204000,962035500000,Y,0,93966000,3933335313000,978592795000,10848419141000,1600215982000,1043962724000,2478588212000,РСБУ,2013,3286120325649,23673512900,138.8100,23673512900,167.1000,26.54068382897242,166.14920352610616,59.945795159112194,49.818551094713115
1,1262140000000,1040276000000,-262587000000,-1441305000000,1915769000000,GAZP,0,RUB,3461155000000,464782000000,0,1855947000000,472151000000,157192000000,159004000000,306823000000,1355560000000,1827711000000,10120021000000,9816558000000,MOEX,653629000000,0,,0,479000000,1438541000000,389804000000,-1048737000000,https://cdn.financemarker.ru/reports/2014/MOEX/G/GAZP_2014_12_Y_МСФО.pdf,https://www.gazprom.ru/f/posts/38/513195/gazprom-ifrs-4q2014-presentation.pdf,11716315000000,2224042000000,0,3201502000000,12,1648548000000,1310424000000,Y,0,101925000000,5589811000000,0,15177470000000,2688824000000,3943669000000,5057449000000,МСФО,2014,3112593476092,23673512900,131.4800,23673512900,167.1000,6.716535930753226,236.12089272986606,77.20489171676756,27.610139769328445
1,45994369000,725100916000,-485623803000,-605945629000,1373065899000,GAZP,0,RUB,3318658564000,756735637000,0,1455390187000,532497386000,188980016000,188980016000,278081361000,310246572000,842743958000,9089213120000,9089213120000,MOEX,1327071530000,0,,1961022595000,1317858000,84333437000,52168226000,-32165211000,https://cdn.financemarker.ru/reports/2014/MOEX/G/GAZP_2014_12_Y_РСБУ.pdf,0,8931076560000,1705131817000,0,1705131817000,12,1736766538000,921245510000,Y,0,101889000,3990280172000,976374373000,12249735124000,2461867454000,1039777085000,3160522004000,РСБУ,2014,3112593476092,23673512900,131.4800,23673512900,167.1000,7.982761865477092,168.55462849368672,35.59860176053551,56.05722883653655
1,1641024000000,1360910000000,-138305000000,-1664156000000,2030927000000,GAZP,0,RUB,3993722000000,646372000000,0,2124701000000,515200000000,805199000000,787056000000,925241000000,1343982000000,1859182000000,10914622000000,10589586000000,MOEX,389903000000,0,,0,480000000,1409087000000,990346000000,-418741000000,https://cdn.financemarker.ru/reports/2015/MOEX/G/GAZP_2015_12_Y_МСФО.pdf,https://www.gazprom.ru/f/posts/26/228235/gazprom-ifrs-4q2015-presentation.pdf,13058318000000,2795843000000,0,4012717000000,12,2081305000000,1228301000000,Y,0,101920000000,6073318000000,0,17052040000000,3442215000000,4635502000000,6137418000000,МСФО,2015,3225516132625,23673512900,136.2500,23673512900,167.1000,33.24626992726542,256.54485777647307,78.5342677216274,16.470010245078583
1,37784249000,506973421000,-263784237000,-678541973000,679296570000,GAZP,0,RUB,3689941121000,793301130000,0,1571876215000,630242313000,403522806000,403522806000,434489311000,475569986000,1105812299000,9322338840000,9322338840000,MOEX,641512321000,0,,2068936359000,1317856000,117347453000,76266778000,-41080675000,https://cdn.financemarker.ru/reports/2015/MOEX/G/GAZP_2015_12_Y_РСБУ.pdf,0,9291306836000,1698237066000,0,2087032902000,12,1984564775000,811940021000,Y,0,93963000,4334293477000,1168530262000,12981247957000,2491538196000,1256996338000,3658909117000,РСБУ,2015,3225516132625,23673512900,136.2500,23673512900,167.1000,17.045328579012878,183.08619828872122,46.71095091257031,27.09831547644963
1,1369052000000,900199000000,-460479000000,-1445965000000,1571323000000,GAZP,0,RUB,3234346000000,447080000000,0,1921808000000,571564000000,997104000000,951637000000,1285138000000,809511000000,1381075000000,11441839000000,11094531000000,MOEX,202271000000,0,,0,679000000,543370000000,1018997000000,475627000000,https://cdn.financemarker.ru/reports/2016/MOEX/G/GAZP_2016_12_Y_МСФО.pdf,https://www.gazprom.ru/f/posts/75/108576/gazprom-ifrs-4q2016-presentation.pdf,13684592000000,2382543000000,0,3555291000000,12,1929424000000,725580000000,Y,0,101915000000,6111051000000,0,16918938000000,2829623000000,5244983000000,5477099000000,МСФО,2016,3635304640924,23673512900,153.5600,23673512900,167.1000,40.19838559743282,258.1387488123911,58.33840570403896,8.544190330113619
1,63458573000,451992484000,-145834971000,-825327625000,1004239932000,GAZP,0,RUB,3050365090000,682360662000,0,1508678462000,628985396000,411424597000,411424597000,631428738000,683256973000,1312242369000,10414000247000,10414000247000,MOEX,940781359000,0,,1704225759000,1317855000,119740422000,67912187000,-51828235000,https://cdn.financemarker.ru/reports/2016/MOEX/G/GAZP_2016_12_Y_РСБУ.pdf,0,10802580669000,1443879533000,0,1930267050000,12,1674247711000,332673919000,Y,0,93958000,3934488441000,1277777675000,13852945759000,2126240195000,1371551840000,3438945512000,РСБУ,2016,3635304640924,23673512900,153.5600,23673512900,167.1000,17.379110516377988,166.1979131538184,55.43082577322101,39.739829191129466
