amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,6822932664,909666388,-1901871628,-6889047476,7478509492,GCHE,0,RUB,13659326600,6882027004,12913804,11537888100,2102309324,4856685240,4760588504,5009879668,5485597156,7906082000,24490047064,23505345356,MOEX,655576828,0,,11893420260,481031148,475717488,0,-475717488,https://cdn.financemarker.ru/reports/2011/MOEX/G/GCHE_2011_12_Y_МСФО.pdf,https://cherkizovo.com/press/#/press/company-news/815/,40529410284,16975597908,198891904,18160801720,12,22947958524,5486563276,Y,0,1927699236,47432981764,6275947724,54188736884,23857624912,6406856984,29698689820,МСФО,2011,23679531378.999996,43069355,549.8000,42222042,2579.5000,110.53308098066479,1101.3162784536707,183.5662967323286,15.2214220064359
1,5619249232.5,1258357850,-683662947.5,-6106335782.5,7114091575,GCHE,0,RUB,17261198370,11199232077.5,17051085,17255881365,2478488267.5,7058049120,6882007362.5,6621657462.5,7200630415,9613389500,30201994045,29059051872.5,MOEX,1494842342.5,0,,13837933317.5,81894100,578972952.5,0,-578972952.5,https://cdn.financemarker.ru/reports/2012/MOEX/G/GCHE_2012_12_Y_МСФО.pdf,https://cherkizovo.com/press/#/press/company-news/847/,46979833880,16080273225,197615352.5,16783156840,12,26021147452.5,7093587492.5,Y,0,1829110835,47985022842.5,6702298705,64241032250,27279505302.5,6744345825,34039038205,МСФО,2012,23766815683.8,43963773,540.6000,42222042,2579.5000,156.53814249518575,1091.4673506866666,218.6661617964409,34.00168458016558
1,5442411960.000001,2117944575.0000002,200955555.00000003,-5100830280.000001,5866033770.000001,GCHE,0,RUB,18711103635,10408635900.000002,26414685.000000004,17549548290,3021964965.0000005,2114359020.0000002,2120576175.0000002,2184129315,3009629340.0000005,5940837000.000001,32183119305.000004,31331862495.000004,MOEX,423621810.00000006,0,,11791114065.000002,15559335.000000002,825500025.0000001,0,-825500025.0000001,https://cdn.financemarker.ru/reports/2013/MOEX/G/GCHE_2013_12_Y_МСФО.pdf,https://cherkizovo.com/press/#/press/company-news/899/,48623152140.00001,16998030720.000002,232765020.00000003,17601588180,12,25547901750.000004,2916602280.0000005,Y,0,1968996015.0000002,54438560505.00001,8684970795,67334255775.00001,27406666620.000004,8874511785,35151136470,МСФО,2013,25534159358.399998,43963773,580.8000,42222042,2579.5000,48.234626609504154,1238.259521197146,135.13028101568992,9.635701876633748
1,6300797000,1007554000,-3204791000,-9271375000,11376438000,GCHE,0,RUB,27384917000,13489555000,68354000,21831428000,3481944000,16623727000,16490173000,16613516000,17297673000,20779617000,50538923000,49481850000,MOEX,5075641000,0,,26126831000,470000,964119000,279962000,-684157000,https://cdn.financemarker.ru/reports/2014/MOEX/G/GCHE_2014_12_Y_МСФО.pdf,https://cherkizovo.com/press/#/press/company-news/4845/,60050698000,14025659000,259125000,15065264000,12,26507660000,16657165000,Y,0,59856000,68668409000,9903784000,87435615000,27515214000,9469666000,36896692000,МСФО,2014,29763474321,43963773,677.0000,42222042,2579.5000,375.0854823129034,1561.9316613248823,472.65317742405773,115.4505324190442
1,9688823000,5560824000,9647393000,-10086381000,4992258000,GCHE,0,RUB,40058459000,25011541000,81476000,37875091000,3826525000,6020809000,6007482000,5871749000,6950753000,12600000000,53149074000,52093682000,MOEX,-4696565000,0,,19148679000,471000,1364766000,285762000,-1079004000,https://cdn.financemarker.ru/reports/2015/MOEX/G/GCHE_2015_12_Y_МСФО.pdf,https://cherkizovo.com/press/#/press/company-news/6004/,67652866000,15841760000,276987000,16687160000,12,35292477000,7534026000,Y,0,59855000,77032622000,11947142000,107711325000,40853301000,11614653000,54562251000,МСФО,2015,45722323920,43963773,1040.0000,42222042,2579.5000,136.64618821501057,1752.184053902744,286.59960554340955,-106.82806955626852
1,9125273000,1002203000,-3316815000,-10610343000,9368537000,GCHE,0,RUB,32814474000,14007347000,115650000,27334644000,4660365000,1887518000,1919227000,1960379000,5354957000,10300000000,54040418000,53014138000,MOEX,243264000,0,,17854786000,5323000,3738315000,343737000,-3394578000,https://cdn.financemarker.ru/reports/2016/MOEX/G/GCHE_2016_12_Y_МСФО.pdf,https://cherkizovo.com/press/#/press/company-news/7993/,73523101000,24110655000,359049000,24962513000,12,36900000000,5056473000,Y,0,59854000,82417193000,13008713000,106337575000,38118002000,12798313000,52297157000,МСФО,2016,33852105210,43963773,770.0000,42222042,2579.5000,43.65473818636995,1874.661508237703,234.28380453151735,5.53328305102476
1,10254070000,704676000,2373674000,-15687410000,13016209000,GCHE,0,RUB,31742753000,19309054000,102567000,34135078000,5153486000,5648075000,5800371000,5955675000,9341620000,15300000000,52779857000,51714011000,MOEX,2762139000,0,,23558611000,915000,3663093000,277148000,-3385945000,https://cdn.financemarker.ru/reports/2017/MOEX/G/GCHE_2017_12_Y_МСФО.pdf,https://financemarker.ru/fa/fa_reports/2017/GCHE20174MSFO.pdf,86901509000,30347523000,255587000,31729327000,12,48700000000,9725622000,Y,0,59853000,90465069000,13936562000,118644262000,49656577000,13832989000,65864405000,МСФО,2017,49459244625,43963773,1125.0000,42222042,2579.5000,131.93524131789144,2057.7184992743914,348.01380673128307,62.827614909211725
1,2419184000,2087110000,2759469000,-2398592000,1021557000,GCHE,0,RUB,35746510000,18266725000,0,34356961000,1416637000,2864903000,2953880000,2938066000,3609361000,2700000000,52562049000,51597599000,MOEX,-1397627000,0,,7531593000,14939000,736787000,65492000,-671295000,https://cdn.financemarker.ru/reports/2018/MOEX/G/GCHE_2018_3_Q_МСФО.pdf,https://cherkizovo.com/press/#/press/company-news/9993/,86493711000,34189203000,0,35321211000,3,49700000000,3595047000,Q,0,0,21935160000,3562137000,122240221000,52455928000,3936546000,69678172000,МСФО,2018,57592542630,43963773,1310.0000,42222042,2579.5000,67.18895577956879,498.93715901044254,61.41420118787348,-31.790424356890387
1,4583449000,1361575000,126837000,-4262832000,4792894000,GCHE,0,RUB,38236899000,17708336000,95330000,32165099000,2839084000,8616331000,8708693000,8708020000,10219568000,7000000000,58313478000,57352413000,MOEX,209445000,0,,17922178000,141717000,1639160000,127612000,-1511548000,https://cdn.financemarker.ru/reports/2018/MOEX/G/GCHE_2018_6_6M_МСФО.pdf,https://cherkizovo.com/press/#/press/company-news/10316/,88247797000,34712259000,208502000,36006119000,6,50700000000,10475107000,6M,0,59860000,45539148000,7266644000,126484696000,52420595000,7447071000,68171218000,МСФО,2018,45722323920,43963773,1040.0000,42222042,2579.5000,198.08793480941682,1035.8334804430913,159.222003079672,4.764036062145985
1,2164265000,1361575000,-2632632000,-1864240000,3771337000,GCHE,0,RUB,38236899000,17708336000,95330000,32165099000,1422447000,5751428000,5754813000,5769954000,6610207000,4300000000,58313478000,57352413000,MOEX,1607072000,0,X,10390585000,3673644000,902373000,62120000,-840253000,https://cdn.financemarker.ru/reports/2018/MOEX/G/GCHE_2018_6_6M_МСФО.pdf,https://cherkizovo.com/press/#/press/company-news/10316/,88247797000,34712259000,208502000,36006119000,6,50700000000,6880060000,Q,0,0,23603988000,3704507000,126484696000,52420595000,3510525000,68171218000,МСФО,2018,45722323920,43963773,1040.0000,42222042,2579.5000,130.89897902984805,536.8963214326486,97.8078018917985,36.554460419036374
