amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num5,price5,num5_day,price5_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,1403662411.2,2692130897.4,-6507241990.2,-1200195032.3999999,6595068631.2,GLTR,0,RUB,8322754099.799999,4191467099.3999996,0,6202403957.4,1091256486.6,4448216904.599999,3759315344.3999996,5580440539.8,6079167402,7162967700,29101671660.6,25117777032.6,MOEX,5191406220,0,,7264142873.4,3938906164.2,578119911.6,79393049.39999999,-498726862.2,https://cdn.financemarker.ru/reports/2011/MOEX/G/GLTR_2011_6_6M_МСФО.pdf,https://globaltrans.com/fileadmin/user_upload/Files/Interim_Results/Interim_2011/GLTR_1H_2011_Results_Presentation.pdf,35791995195.6,7487046609,0,8810673677.4,6,8986522440,6070789662,6M,0,0,25296418375.2,1177854392.3999999,44114749295.4,11678513708.4,1193353211.3999999,15013077634.8,МСФО,2011,92838442874.50679,178740916,519.4023,178740916,277.1000,21.03220364161052,141.52561674910518,40.07458314692759,29.04430801954713
1,3982894108,3888858428,-3080731252,-2679211780,6620949176,GLTR,0,RUB,9142876620,5498221124,0,7573253660,1164303416,5086267556,4244648220,6440413552,6914263208,8005914400,31851527220,27632996444,MOEX,2638055068,0,X,8440861624,118306643252,619379532,145529876,-473849656,https://cdn.financemarker.ru/reports/2011/MOEX/G/GLTR_2011_12_Y_МСФО.pdf,https://globaltrans.com/fileadmin/user_upload/Files/FY_Results/FY_2011/GLTR_FY2011_Results_Presentation.pdf,38127700372,6710701724,0,7845796112,12,8321513600,6910141096,6M,0,0,26639535248,1649714308,47270576992,12208922848,1530720528,15419049772,МСФО,2011,79127960045.90239,178740916,442.6964,178740916,277.1000,23.747490585759333,149.03993917095065,44.79060854762544,14.759100082042771
1,5601595964,3888858428,-10584875128,-4063275292,14226374632,GLTR,0,RUB,9142876620,5498221124,0,7573253660,2422739124,10215946104,8579886292,12875771076,13924751968,16266240400,31851527220,27632996444,MOEX,8624778668,0,,16817862716,3410403600,1286066740,237085848,-1048980892,https://cdn.financemarker.ru/reports/2011/MOEX/G/GLTR_2011_12_Y_МСФО.pdf,https://globaltrans.com/fileadmin/user_upload/Files/FY_Results/FY_2011/GLTR_FY2011_Results_Presentation.pdf,38127700372,6710701724,0,7845796112,12,8321513600,13910968656,Y,0,0,55811335424,3008014620,47270576992,12208922848,2906894060,15419049772,МСФО,2011,79127960045.90239,178740916,442.6964,178740916,277.1000,48.0018033028319,312.2471153946643,91.00457110782625,48.25296222606356
1,20976280820.000004,2903401875.0000005,31576054400.000004,-38306050860,5711886400.000001,GLTR,0,RUB,13219848785.000002,8990746325,0,13111811460.000002,1551752895.0000002,5168589855.000001,4296710825,6649689255.000001,9114300855,10644997000.000002,31341579390.000004,27038162800.000004,MOEX,-15264394420.000002,0,,11046079495.000002,4602163280,2624902060.0000005,160290460.00000003,-2464611600,https://cdn.financemarker.ru/reports/2012/MOEX/G/GLTR_2012_6_6M_МСФО.pdf,https://globaltrans.com/fileadmin/user_upload/Files/Interim_Results/Interim_2012/GLTR_1H_2012_Results_Presentation.pdf,73959339960,39264521725,0,42725797895.00001,6,32119642500.000004,9107400720,6M,0,0,31343361115.000004,1983124715.0000002,87179188745.00002,48255268050.00001,1938678775.0000002,55837609355.00001,МСФО,2012,105583009793.0472,178740916,590.7042,178740916,277.1000,24.03876471685979,175.3563863072068,59.55545735258514,-85.39955350793885
1,2731687712.5,5445040925,-5095707585,-3995362567.5,11971236757.5,GLTR,0,RUB,14266532812.5,7270637647.5,0,41067966027.5,2226877812.5,4645626167.5,3831329907.5,6325738632.5,7806707870,10071752000,49071066950,44234792540,MOEX,9239549045,0,X,9873097692.5,112257987680,1329770727.5,-151198510,-1480969237.5,https://cdn.financemarker.ru/reports/2012/MOEX/G/GLTR_2012_12_Y_МСФО.pdf,https://globaltrans.com/fileadmin/user_upload/Files/FY_Results/FY_2012/GLTR_FY2012_Results_Presentation.pdf,75872500165,25581975062.5,0,29403923817.5,12,27407021750,7802857625,6M,0,0,35042057585,2063547975,90139032977.5,32852612710,2070240067.5,70471889845,МСФО,2012,89630222173.22281,178740916,501.4533,178740916,277.1000,21.43510279146158,196.0494461436015,56.348329332719764,51.69241185381416
1,22518157882.5,5445040925,24689298815,-40128628477.5,17359135157.5,GLTR,0,RUB,14266532812.5,7270637647.5,0,41067966027.5,3690612620,9521044735,7884323920,12598246100,16404029937.5,20112946500,49071066950,44234792540,MOEX,-5159022725,0,,20292624600,3236008692.5,3805783837.5,0,-3805783837.5,https://cdn.financemarker.ru/reports/2012/MOEX/G/GLTR_2012_12_Y_МСФО.pdf,https://globaltrans.com/fileadmin/user_upload/Files/FY_Results/FY_2012/GLTR_FY2012_Results_Presentation.pdf,75872500165,25581975062.5,0,29403923817.5,12,27407021750,16393670945,Y,0,0,64607569462.5,3934186452.5,90139032977.5,32852612710,3898953655,70471889845,МСФО,2012,89630222173.22281,178740916,501.4533,178740916,277.1000,44.110347515506746,361.45931725279956,112.52569892838638,-28.863132406684098
1,693540870,5663183790,-2274775965,-7064515920,9388971240,GLTR,0,RUB,13975725225,12434121975,0,16266393330,3280085160,4867952925,3596384715,6400362375,8123181990,11383894500,48981414240,43817880645,MOEX,6767293500,0,,10519513125,4664638605,2084070285,361250670,-1722819615,https://cdn.financemarker.ru/reports/2013/MOEX/G/GLTR_2013_6_6M_МСФО.pdf,https://globaltrans.com/fileadmin/user_upload/Files/Interim_Results/Interim_2013/GLTR_H1_2013_Results_Presentation.pdf,85414407870,29190052320,0,34142325525,6,35960892000,8123379000,6M,0,0,39834830970,2408874105,99390133095,41624174295,2396134125,50408718855,МСФО,2013,80330046328.27719,178740916,449.4217,178740916,277.1000,20.120657292592146,222.86352706170533,63.68935974346243,37.86090869087859
1,580392000,3406303000,-11206634000,-30201000,9054191000,GLTR,0,RUB,10450470000,9061736000,0,12880538000,2980753000,3191238000,2222646000,4505670000,6292301000,9435304000,51707598000,45980189000,MOEX,6852341000,0,X,8598982000,3673665000,1745153000,-41478000,-1786631000,https://cdn.financemarker.ru/reports/2013/MOEX/G/GLTR_2013_12_Y_МСФО.pdf,https://globaltrans.com/fileadmin/user_upload/Files/FY_Results/FY_2013/GLTR_FY2013_Results_Presentation.pdf,82965343000,24117625000,0,28827677000,12,29773000000,6285300000,6M,0,0,34381771000,2338099000,93415813000,33179361000,2313682000,41708215000,МСФО,2013,93015753863.1788,178740916,520.3943,178740916,277.1000,12.43501515903611,192.3553474460207,52.78760012620725,38.33672308135648
1,1275200000,3406303000,-13485567000,-7107626000,18460319000,GLTR,0,RUB,10450470000,9061736000,0,12880538000,6266832000,8068086000,5825602000,10917728000,14430327000,20840000000,51707598000,45980189000,MOEX,13632000000,0,,19137718000,105898000,3833032000,320433000,-3512599000,https://cdn.financemarker.ru/reports/2013/MOEX/G/GLTR_2013_12_Y_МСФО.pdf,https://globaltrans.com/fileadmin/user_upload/Files/FY_Results/FY_2013/GLTR_FY2013_Results_Presentation.pdf,82965343000,24117625000,0,28827677000,12,29773000000,14423523000,Y,0,0,74289393000,4751375000,93415813000,33179361000,4714195000,41708215000,МСФО,2013,93015753863.1788,178740916,520.3943,178740916,277.1000,32.59243675354109,415.62611774911124,116.59333781191991,76.26681291036911
1,494795848.20000005,4215621200.7000003,-7091677298.700001,-297360137.1,8161956269.700001,GLTR,0,RUB,10223560320.000002,19489307630.100002,0,22441292696.7,3005278093.8,3579775567.5000005,2650274478.3,4664329456.5,6251088555.900001,9183530580,49490596899.600006,44960485660.200005,MOEX,6111024420.000001,0,,8286963765.900001,4793891331.3,1684270384.5000002,97511285.10000001,-1586759099.4,https://cdn.financemarker.ru/reports/2014/MOEX/G/GLTR_2014_6_6M_МСФО.pdf,https://globaltrans.com/fileadmin/user_upload/Files/Interim_Results/Interim_2014/GLTR_H1_2014_Results_Presentation.pdf,80687716442.70001,14491183007.7,0,18979387166.4,6,29764869437.100002,6253535684.700001,6M,0,0,33966759526.200005,2078903891.4,90911276762.70001,33980490637.800003,2033428081.2000003,41420679863.100006,МСФО,2014,68827836020.4864,178740916,385.0704,178740916,277.1000,14.827463893605648,190.03348693927475,51.37900591266971,34.18928668800154
