amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,3180563652,9517312528,7490360564,-2452270192,-6061823328,IRKT,0,RUB,61687277264,7576538468,0,26746259304,1604371076,2366092288,2347317356,3279719768,4529041744,6133412820,25941030488,25447149944,MOEX,-9242386980,0,,16689207736,178023712,1585918184,336596208,-1249321976,https://cdn.financemarker.ru/reports/2011/MOEX/I/IRKT_2011_12_Y_МСФО.pdf,0,22086759156,27257465600,327868924,31086746628,12,25316691540,4529041744,Y,0,1928697560,52364605712,5493970196,83774036420,34834004068,12160165992,57833005932,МСФО,2011,6821153153.099999,1166009086,5.8500,2085163865,36.6400,2.0131209818033957,44.90926043435651,5.2601758370860585,-7.926513687561436
1,4227759000,12557624000,-9598177000,-4894116000,17868635000,IRKT,0,RUB,60251116000,15088245000,133913000,40675786000,1977139000,999156000,982740000,-93866000,403132000,2380271000,24078961000,23570795000,MOEX,13640876000,0,,11431194000,110099000,1824045000,1327047000,-496998000,https://financemarker.ru/fa/fa_reports/2013/IRKT20134MSFO.pdf,0,20417286000,13163801000,218987000,15913655000,12,15694422000,403132000,Y,0,59889000,47596578000,4825867000,80668402000,28252242000,11028062000,56589441000,МСФО,2012,6800164989.552,1166009086,5.8320,2085163865,36.6400,0.8428236210159343,40.82007470737668,2.041382891934,11.69877333185721
1,4025333000,12957163000,-3365958000,-3018630000,6212818000,IRKT,0,RUB,52676994000,6625567000,140408000,25395863000,1968939000,1166210000,1146050000,1740079000,4406203000,6375142000,26900523000,26372797000,MOEX,2187485000,0,,15870304000,110098000,3115850000,449726000,-2666124000,https://cdn.financemarker.ru/reports/2013/MOEX/I/IRKT_2013_12_Y_МСФО.pdf,0,23941213000,20932287000,154449000,24321821000,12,14600691000,4406203000,Y,0,59888000,60694549000,4345723000,76618207000,27557854000,11464101000,49717684000,МСФО,2013,6676568026.436,1166009086,5.7260,2085163865,36.6400,0.9828825639185457,52.05323845992741,5.467489127267401,1.876044557683661
1,4222583000,24280225000,10631848000,-3439910000,2198043000,IRKT,0,RUB,107734724000,13964233000,410293000,63263302000,2226729000,72271000,47950000,1405120000,2800480000,5027209000,43704395000,43152781000,MOEX,-2024540000,0,,13216758000,110097000,2216009000,820649000,-1395360000,https://cdn.financemarker.ru/reports/2014/MOEX/I/IRKT_2014_12_Y_МСФО.pdf,0,42463334000,34405949000,1627499000,43230361000,12,24089957000,2800480000,Y,0,59887000,65584997000,3127104000,150198058000,48370182000,10416278000,106493663000,МСФО,2014,6494670609.02,1166009086,5.5700,2085163865,36.6400,0.04112317869193688,56.24741503943992,4.3114664031014245,-1.7362986483623335
1,5026100000,23969589000,12399050000,-2505595000,-11521176000,IRKT,0,RUB,135202510000,12895866000,812204000,68776999000,4084667000,-2270255000,-2289701000,-1886768000,421829000,4506496000,53161735000,52600392000,MOEX,-16547276000,0,,13589528000,110096000,4622925000,2314328000,-2308597000,https://cdn.financemarker.ru/reports/2015/MOEX/I/IRKT_2015_12_Y_МСФО.pdf,0,58576411000,57380257000,4763249000,71840187000,12,46306534000,421829000,Y,0,59886000,84484784000,4103991000,193778921000,70276123000,13167699000,140617186000,МСФО,2015,11928272949.78,1166009086,10.2300,2085163865,36.6400,-1.9637076824631194,72.4563684917975,3.8648892655369926,-14.191378265126144
1,7049122000,58649278000,54260663000,-6630837000,-11463790000,IRKT,0,RUB,176715144000,34812814000,1771303000,78368470000,4614817000,1221309000,1205824000,3072813000,8113502000,12728319000,48245043000,47681237000,MOEX,-18512912000,0,,30000531000,110095000,9349424000,4308735000,-5040689000,https://cdn.financemarker.ru/reports/2016/MOEX/I/IRKT_2016_12_Y_МСФО.pdf,0,59441942000,89185660000,9761515000,109543573000,12,65349196000,8113502000,Y,0,59885000,108859851000,11592144000,236157086000,123998474000,21887029000,187912043000,МСФО,2016,10785584045.5,1166009086,9.2500,2085163865,36.6400,1.0341463153915766,93.36106579876171,10.91614049395152,-15.877159296853026
1,5552816000,49965123000,-22717290000,-5330528000,19807048000,IRKT,0,RUB,152707009000,38934509000,1644290000,82915212000,2184397000,730685000,724480000,708591000,4385206000,6569603000,46835067000,46250180000,MOEX,14254232000,0,,11554736000,140839000,4916476000,1239861000,-3676615000,https://cdn.financemarker.ru/reports/2017/MOEX/I/IRKT_2017_6_6M_МСФО.pdf,0,63381724000,67068956000,8919429000,86338454000,6,56038342000,4385206000,6M,0,59893000,36002820000,3732920000,216088733000,106003465000,7169530000,169253666000,МСФО,2017,13737073292.86,1229818558,11.1700,2085163865,36.6400,0.5890950297401513,29.27490381877942,5.341928658715199,11.590516265408315
1,10605614000,25654059000,29745941000,-16352973000,-20296151000,IRKT,0,RUB,126906656000,50770258000,0,86464001000,3714205000,-1770999000,-1789828000,-2790299000,-3019285000,694920000,31653462000,31366571000,MOEX,-30901765000,0,X,10666063000,3673811000,2746565000,2975551000,228986000,https://cdn.financemarker.ru/reports/2017/MOEX/I/IRKT_2017_12_Y_МСФО.pdf,0,112011817000,88699056000,0,120801010000,12,113815255000,-3019285000,6M,0,0,46878146000,6068827000,238918473000,139469314000,13685348000,207265011000,МСФО,2017,17746281791.94,1229818558,14.4300,2085163865,36.6400,-1.4553594010735362,38.117936743641174,0.5650589637630107,-25.12709277233073
1,16158430000,25654059000,7028651000,-21683501000,-489103000,IRKT,0,RUB,126906656000,50770258000,0,86464001000,5898602000,-1040314000,-1065348000,-2081708000,1365921000,7264523000,31653462000,31366571000,MOEX,-16647533000,0,,22220799000,110094000,7663041000,4215412000,-3447629000,https://cdn.financemarker.ru/reports/2017/MOEX/I/IRKT_2017_12_Y_МСФО.pdf,0,112011817000,88699056000,0,120801010000,12,113815255000,1365921000,Y,0,0,82880966000,9801747000,238918473000,139469314000,20854878000,207265011000,МСФО,2017,17746281791.94,1229818558,14.4300,2085163865,36.6400,-0.866264371333385,67.39284056242059,5.906987622478209,-13.536576506922414
1,16158430000,25654059000,7028651000,-21683501000,-489103000,IRKT,0,RUB,126906656000,48188457000,2581801000,86464001000,5898602000,-12480433000,-12425883000,-15436895000,823850000,6722452000,31653462000,31366571000,MOEX,-16647533000,0,,15251946000,110093000,16954089000,693344000,-16260745000,https://cdn.financemarker.ru/reports/2018/MOEX/I/IRKT_2018_12_Y_МСФО.pdf,0,112011817000,79079998000,9619058000,120801010000,12,101614396000,823850000,Y,0,59884000,59087653000,4483733000,238918473000,127268455000,14428096000,207265011000,МСФО,2018,47488537708.92,1332450553,35.6400,2085163865,36.6400,-9.325586583324418,44.34509998661091,5.04517933882384,-12.493921791332696
