amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,265650796000,88657612000,-193964692000,-290254652000,499612856000,LKOH,0,RUB,757727916000,57709568000,0,357722032000,144048492000,316436504000,333536828000,422484276000,438038808000,582087300000,2172675064000,2178214152000,MOEX,233962060000,0,,0,3542214572000,22349576000,6795044000,-15554532000,https://cdn.financemarker.ru/reports/2011/MOEX/L/LKOH_2011_12_Y_МСФО.pdf,0,2179019252000,231353536000,3735664000,406350072000,12,200405492000,423643620000,Y,0,1912305724000,4304064600000,123083688000,2936747168000,289063104000,291607220000,764072104000,МСФО,2011,1445532251872.5,850563255,1699.5000,692865762,4618.0000,392.1364178846405,5060.252220747533,684.3550983165856,275.06720825836754
1,355903202500,89044555000,-173566600000,-403847920000,580500827500,LKOH,0,RUB,741722197500,20106835000,0,380532547500,147653840000,333840687500,336254730000,419340572500,427927230000,575581070000,2266999810000,2237022902500,MOEX,224597625000,0,,0,3361080540000,16439935000,7853277500,-8586657500,https://cdn.financemarker.ru/reports/2012/MOEX/L/LKOH_2012_12_Y_МСФО.pdf,0,2282278560000,179708657500,2505715000,376468400000,12,110770937500,429944025000,Y,0,1814504350000,4252717832500,114743412500,3024000757500,199815492500,285987642500,757000947500,МСФО,2012,1706144833204.5,850563255,2005.9000,692865762,4618.0000,395.3318321986529,4999.884261988252,676.705778925284,264.0575215067338
1,492010515000.00006,56316240000.00001,33848955000.000004,-613129905000,541089855000.00006,LKOH,0,RUB,769578525000.0001,44013510000.00001,0,430825815000.00006,189343620000.00003,250890165000.00003,257633640000.00003,344015910000.00006,352206765000.00006,541550385000.00006,2593935225000.0005,2584823310000.0005,MOEX,49079340000.00001,0,,0,3618153945000.0005,16052760000.000002,7861905000.000001,-8190855000.000001,https://cdn.financemarker.ru/reports/2013/MOEX/L/LKOH_2013_12_Y_МСФО.pdf,0,2830417380000.0005,310397220000,1546065000.0000002,575234865000,12,298094490000,337075065000.00006,Y,0,1953272205000.0002,4653063540000,126612855000.00002,3599995905000.0005,354410730000.00006,331778970000.00006,1006060680000.0001,МСФО,2013,1723581379932,850563255,2026.4000,692865762,4618.0000,302.89768395884914,5470.567312480481,636.6961913961355,57.70216349165002
1,1320423000,12393373000,-155237731000,-64583864000,227155900000,LKOH,0,RUB,322966926000,213144333000,0,357947366000,445930000,209870651000,209870651000,217208078000,197024169000,197470099000,864177905000,864177905000,MOEX,225835477000,0,,240411234000,1736529000,16774002999.999998,36957912000,20183909000,https://cdn.financemarker.ru/reports/2013/MOEX/L/LKOH_2013_12_Y_РСБУ.pdf,0,973309277000,73145713000,0,74150912000,12,273896672999.99997,215773801000,Y,0,96042000,260008506000,1037026000,1296276203000,286290046000,24637433000,432098278000,РСБУ,2013,1723581379932,850563255,2026.4000,692865762,4618.0000,246.7431431657602,305.68979375907793,232.1639194253695,265.51285359723187
1,575981000000,169023000000,30143000000,-578374000000,651416000000,LKOH,0,RUB,1236227000000,121271000000,0,779446000000,293052000000,394076000000,395525000000,484855000000,503583000000,796635000000,3049542000000,3037378000000,MOEX,75435000000,0,,0,391000000,29727000000,10999000000,-18728000000,https://cdn.financemarker.ru/reports/2014/MOEX/L/LKOH_2014_12_Y_МСФО.pdf,https://lukoil.ru/FileSystem/9/116611.pdf,3502726000000,629719000000,5128000000,909965000000,12,581967000000,412334000000,Y,0,59378000000,5504856000000,146550000000,4738953000000,750990000000,368505000000,1689411000000,МСФО,2014,1886038961637,850563255,2217.4000,692865762,4618.0000,465.0153855988053,6472.012478366468,936.5970082965787,88.6882892677982
1,958943000,72481947000,-192105141000,-133649171000,400979327000,LKOH,0,RUB,592337872000,193383794000,0,392950362000,678475000,371881105000,371881105000,398502652000,374275320000,374953795000,1134098113000,1134098113000,MOEX,400020384000,0,,225080248000,1736528000,19173951000,43401283000,24227332000,https://cdn.financemarker.ru/reports/2014/MOEX/L/LKOH_2014_12_Y_РСБУ.pdf,0,1163158677000,228021462000,0,228448074000,12,348923309000,202901835000,Y,0,96041000,242880237000,1494273000,1755496549000,421405256000,22178413000,621398436000,РСБУ,2014,1886038961637,850563255,2217.4000,692865762,4618.0000,437.21745891785554,285.55223326688383,440.82999447231,470.3005704143662
1,600639000000,281031000000,-253063000000,-525722000000,848972000000,LKOH,0,RUB,1213647000000,60506000000,0,695168000000,350976000000,292745000000,291135000000,389104000000,419565000000,769000000000,3231374000000,3222468000000,MOEX,248333000000,0,,0,392000000,48224000000,17763000000,-30461000000,https://cdn.financemarker.ru/reports/2015/MOEX/L/LKOH_2015_12_Y_МСФО.pdf,https://lukoil.ru/FileSystem/9/116611.pdf,3806960000000,794842000000,4365000000,1094065000000,12,574317000000,465729000000,Y,0,59377000000,5749050000000,168669000000,5020607000000,855348000000,446719000000,1789233000000,МСФО,2015,2001035113713,850563255,2352.6000,692865762,4618.0000,342.2849485779867,6759.109291642278,904.1067733404495,291.9630004472742
1,1594391000,127225906000,-358814599000,-57868114000,490799389000,LKOH,0,RUB,863678809000,254371687000,0,412331982000,723999000,302294681000,302294681000,325097817000,301470535000,302194534000,1301245847000,1301245847000,MOEX,489204998000,0,,237301680000,1736527000,42937992000,66565274000,23627282000,https://cdn.financemarker.ru/reports/2015/MOEX/L/LKOH_2015_12_Y_РСБУ.pdf,0,1159502563000,309182175000,0,309603543000,12,436327956000,212970686000,Y,0,96040000,259197748000,1607869000,2023181372000,563553862000,24330994000,721935525000,РСБУ,2015,2001035113713,850563255,2352.6000,692865762,4618.0000,355.4052908152022,304.7365924595461,355.2875488372702,575.1541641661912
1,497130000000,278301000000,-193134000000,-500343000000,752247000000,LKOH,0,RUB,1255641000000,58429000000,0,830686000000,311588000000,207642000000,206794000000,272515000000,304789000000,731000000000,3227664000000,3220880000000,MOEX,255117000000,0,,0,393000000,47030000000,14756000000,-32274000000,https://cdn.financemarker.ru/reports/2016/MOEX/L/LKOH_2016_12_Y_МСФО.pdf,https://lukoil.ru/FileSystem/9/121386.pdf,3759032000000,636603000000,3558000000,956323000000,12,416731000000,419143000000,Y,0,59376000000,5227045000000,196156000000,5014673000000,695032000000,456433000000,1787009000000,МСФО,2016,2916156119767.5,850563255,3428.5000,692865762,4618.0000,243.12595069722357,6145.39244350498,859.4304958541854,299.9388916700851
1,1443668000,132426399000,-665124897000,-139773230000,823223257000,LKOH,0,RUB,794864626000,265853313000,0,462363354000,0,182566224000,182566224000,182734237000,166651983000,166651983000,1324839090000,1324839090000,MOEX,821779589000,0,,298498889000,1736526000,51353028000,67435282000,16082254000,https://cdn.financemarker.ru/reports/2016/MOEX/L/LKOH_2016_12_Y_РСБУ.pdf,0,1151914302000,159056475000,0,159576484000,12,292483389000,270792832000,Y,0,96039000,316540706000,3478855000,1946778928000,424909788000,27706057000,621939838000,РСБУ,2016,2916156119767.5,850563255,3428.5000,692865762,4618.0000,214.6415600800907,372.1542214987879,195.93132200379384,966.159288176633
