amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num5,price5,num5_day,price5_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,2646366000,2582933000,5767958000,-5155194000,1816575000,MDMG,0,RUB,5309347000,0,200000,1467198000,134128000,1538231000,1399445000,1519051000,1574635000,1694000000,8623417000,8282560000,MOEX,-829791000,0,,2047957000,198727000,68719000,13135000,-55584000,https://cdn.financemarker.ru/reports/2012/MOEX/M/MDMG_2012_12_Y_МСФО.pdf,http://www.mcclinics.ru/download_files/mdmg_ifrs_2012.pdf,7604162000,2694901000,809000,2822894000,12,-2054000000,1560338000,Y,0,62670000,4061092000,484401000,12913509000,2694901000,487619000,4290092000,МСФО,2012,28453597537.5,75125010,378.7500,75125010,457.4000,18.628217154313855,54.05778980927923,22.549081857027375,-11.04546941158477
1,2431958000,3273342000,-556951000,-468113000,1609267000,MDMG,0,RUB,3545985000,617865000,1797000,1976786000,427921000,763547000,636146000,835417000,1104793000,1586000000,9209158000,8810214000,MOEX,-822691000,0,,2283471000,198726000,334521000,65145000,-269376000,https://cdn.financemarker.ru/reports/2013/MOEX/M/MDMG_2013_12_Y_МСФО.pdf,http://www.mcclinics.ru/download_files/mdmg_ifrs_fy2013_v12.pdf,10102663000,2379389000,1093000,2462704000,12,-275000000,1158124000,Y,0,62669000,5672753000,1124643000,13648648000,2997254000,1125347000,4439490000,МСФО,2013,27784233698.399998,75125010,369.8400,75125010,457.4000,8.467832483483196,75.51084518990413,21.11147805504452,-10.950960272750713
1,3134429000,890551000,85985000,-4894115000,2106519000,MDMG,0,RUB,1441303000,869081000,450000,2555854000,546816000,1319667000,1195693000,1394798000,1739834000,2083000000,10136594000,9754278000,MOEX,-1027910000,0,,2970778000,198725000,386698000,41662000,-345036000,https://cdn.financemarker.ru/reports/2014/MOEX/M/MDMG_2014_12_Y_МСФО.pdf,http://www.mcclinics.ru/download_files/03_23_2015_presentation_mdmg_fy_2014_v10.pdf,14632938000,3251060000,0,3381793000,12,3230000000,1535876000,Y,0,62668000,7200931000,1432956000,16074241000,4120141000,1434902000,5937647000,МСФО,2014,23175558000,74900000,309.4200,75125010,457.4000,15.963858477970627,96.14060080106809,27.81041388518024,-13.723765020026702
1,342746000,1531332000,-322541000,-320322000,1291984000,MDMG,0,RUB,2113620000,1032416000,0,2994741000,434129000,768176000,687305000,783308000,817189000,1253000000,10551975000,10141122000,MOEX,949238000,0,,1684170000,198724000,239810000,205929000,-33881000,https://cdn.financemarker.ru/reports/2015/MOEX/M/MDMG_2015_6_6M_МСФО.pdf,http://www.mcclinics.ru/download_files/07_09_2015_mdmg_6m2015_ifrs_final.pdf,14374167000,2594773000,0,2941741000,6,2096000000,818465000,6M,0,62675000,4517741000,865656000,16487787000,3627189000,865705000,5936482000,МСФО,2015,0,0,0,75125010,457.4000,Infinity,Infinity,Infinity,Infinity
1,444956000,1774312000,-839372000,-700121000,1526234000,MDMG,0,RUB,2412514000,1161339000,1196000,2941793000,446551000,1002293000,916225000,1021633000,1216923000,830000000,11509414000,11086682000,MOEX,1081278000,0,X,1904421000,3674100000,219673000,24383000,-195290000,https://cdn.financemarker.ru/reports/2015/MOEX/M/MDMG_2015_12_Y_МСФО.pdf,http://www.mcclinics.ru/download_files/md_medical_group_fy_2016_audited_ifrs_results.pdf,14795296000,2292567000,7359000,2756603000,12,1680000000,956579000,6M,0,0,4989060000,927131000,17207810000,3453906000,947842000,5698396000,МСФО,2015,28745082576.3,75125010,382.6300,75125010,457.4000,12.196005032145752,66.41010763259798,11.048251441164533,14.39304966481868
1,787702000,1774312000,-1161913000,-1020443000,2818218000,MDMG,0,RUB,2412514000,1161339000,1196000,2941793000,880680000,1770469000,1603530000,1804941000,2034112000,2083000000,11509414000,11086682000,MOEX,2030516000,0,,3588591000,15634000,459483000,230312000,-229171000,https://cdn.financemarker.ru/reports/2015/MOEX/M/MDMG_2015_12_Y_МСФО.pdf,http://www.mcclinics.ru/download_files/md_medical_group_fy_2016_audited_ifrs_results.pdf,14795296000,2292567000,7359000,2756603000,12,1680000000,1775044000,Y,0,62667000,9506801000,1792787000,17207810000,3453906000,1813547000,5698396000,МСФО,2015,28745082576.3,75125010,382.6300,75125010,457.4000,21.344822449940438,126.54641909531858,27.72711777342858,27.028495570250172
1,7778000,1275067000,-1244078000,-988308000,1787889000,MDMG,0,RUB,2043308000,1127337000,1213000,3181070000,456935000,986727000,896869000,932067000,1145280000,1657000000,11895285000,11496796000,MOEX,1780111000,0,,2221808000,198723000,237320000,24107000,-213213000,https://cdn.financemarker.ru/reports/2016/MOEX/M/MDMG_2016_6_6M_МСФО.pdf,http://www.mcclinics.ru/download_files/press/h1-2016.pdf,15477262000,1975955000,6744000,2444215000,6,1828225000,1200375000,6M,0,62674000,5814297000,1016891000,17520570000,3103292000,1021433000,5625285000,МСФО,2016,0,0,0,75125010,457.4000,Infinity,Infinity,Infinity,Infinity
1,166978000,1642944000,-492818000,-1166284000,2072941000,MDMG,0,RUB,2502996000,1083647000,1226000,3259291000,489453000,1290700000,1168979000,1307047000,1487591000,2013000000,12770137000,12347287000,MOEX,1905963000,0,X,2557441000,3674101000,205759000,25215000,-180544000,https://cdn.financemarker.ru/reports/2016/MOEX/M/MDMG_2016_12_Y_МСФО.pdf,(1 736 896,16212774000,2199768000,6120000,2686342000,12,1640000000,1523343000,6M,0,0,6364785000,1050453000,18715770000,3283415000,1034098000,5945633000,МСФО,2016,42789703195.8,75125010,569.5800,75125010,457.4000,15.560450507760331,84.7225843963282,26.79533753140266,25.370552363320815
1,174756000,1642944000,-1736896000,-2154592000,3860830000,MDMG,0,RUB,2502996000,1083647000,1226000,3259291000,946388000,2277427000,2065848000,2239114000,2632871000,3670000000,12770137000,12347287000,MOEX,3686074000,0,,4779249000,15633000,443079000,49322000,-393757000,https://cdn.financemarker.ru/reports/2016/MOEX/M/MDMG_2016_12_Y_МСФО.pdf,(1 736 896,16212774000,2199768000,6120000,2686342000,12,1640000000,2723718000,Y,0,62666000,12179082000,2067344000,18715770000,3283415000,2055531000,5945633000,МСФО,2016,42789703195.8,75125010,569.5800,75125010,457.4000,27.498804991839602,162.117542480194,48.85190697478776,49.06587034064954
1,853701000,1977581000,-908558000,-723108000,1994295000,MDMG,0,RUB,2860876000,1141141000,0,3428338000,501505999.99999994,1225127000,1226930000,1213868000,1422204000,1888000000,13522364000,13112649000,MOEX,1140594000,0,,2478433000,198722000,235901000,27565000,-208336000,https://cdn.financemarker.ru/reports/2017/MOEX/M/MDMG_2017_6_6M_МСФО.pdf,http://www.mcclinics.ru/download_files/mdmg_6m17_audited__ifrs_results_final_-_3.pdf,16565075000,1998543000,0,2475249000,6,1162103000,1441495000,6M,0,52512000,6617523000,1090841000,19425951000,3139684000,1036938000,5903587000,МСФО,2017,44159983378.200005,75125010,587.8200,75125010,457.4000,16.331844747840965,88.08681689360175,25.13144424207065,15.18261361961882
