amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,48913400000,17205341000,34952966000,-50366324000,28576356000,MGNT,0,RUB,49274081000,6000191000,187237000,46668471000,7979930000,12303835000,12303835000,16490312000,19910093000,27890023000,78695691000,78584242000,MOEX,-765000000,0,,81663453000,110763000,3419781000,0,-3419781000,https://cdn.financemarker.ru/reports/2011/MOEX/M/MGNT_2011_12_Y_МСФО.pdf,https://www.magnit.com/upload/iblock/745/745c17f2e117af3759300060f3b1e04a.pdf,126107716000,45849986000,12702000,50017635000,12,34644836000,0,Y,0,58017000,335699949000,63305653000,175381797000,51850177000,0,96686106000,МСФО,2011,246300797078.59998,88975073,2768.2000,101911355,4869.0000,138.28406749382492,3772.966266630655,313.4588380725464,-8.597913710056748
1,47772886000,12452609000,6817682000,-48240716000,36670302000,MGNT,0,RUB,57827001000,25109636000,12262000,76886727000,11269665000,25117282000,25117282000,32313110000,36368528000,47638193000,99235714000,99235714000,MOEX,-267000000,0,,119051788000,110762000,4055418000,0,-4055418000,https://cdn.financemarker.ru/reports/2012/MOEX/M/MGNT_2012_12_Y_МСФО.pdf,https://www.magnit.com/upload/iblock/bab/babf59de39751697e3106ebc66cc8412.pdf,162701254000,44405814000,0,44405814000,12,57062841000,0,Y,0,58016000,448661127000,84046700000,220528255000,69515450000,0,121292541000,МСФО,2012,456929923495.50006,94561355,4832.1000,101911355,4869.0000,265.6188883926209,4744.656281627944,503.78077809904477,-2.823563600585038
1,50492991000,5931130000,1086400000,-52232324000,44624441000,MGNT,0,RUB,67259896999.99999,36319761000,0,96114591000,14184354000,35620375000,35620375000,45754047000,50723487000,64907841000,126162135000,126162135000,MOEX,134848000,0,,165262994000,372000,4969440000,0,-4969440000,https://cdn.financemarker.ru/reports/2013/MOEX/M/MGNT_2013_12_Y_МСФО.pdf,https://www.magnit.com/upload/iblock/ccb/ccb7b0034deda3fb433898576cf1b72e.pdf,200920653000,37441500000,0,45903824000,12,67830130999.99999,0,Y,0,58015000,579694880000,115904877000,268180549999.99997,73761261000,0,142018415000,МСФО,2013,868999940178.9999,94561355,9189.8000,101911355,4869.0000,376.69061531531565,6130.357163346485,686.4098023976073,1.4260370951748735
1,1680000,205000,1007869000,2393980000,-3401952000,MGNT,0,RUB,32017454000,10209100000,0,10347697000,0,13073967000,13073967000,13585509000,11387949000,11387949000,50882560000,50882560000,MOEX,-3403632000,0,,256450000,1891535000,2532672000,4730232000,2197560000,https://cdn.financemarker.ru/reports/2013/MOEX/M/MGNT_2013_12_Y_РСБУ.pdf,0,49699621000,20476800000,0,20486818000,12,30685695000,-11560000,Y,0,96214000,315098000,0,81717075000,30685900000,268009999.99999997,30834515000,РСБУ,2013,868999940178.9999,94561355,9189.8000,101911355,4869.0000,138.25909114775268,3.332206904184061,120.4292070476359,-35.99390046811406
1,56172885000,17691541000,6143376000,-55094455000,60711490000,MGNT,0,RUB,105748717000,51256674000,0,146081870000,17609665000,47685844000,47685844000,62026534000,68672493000,86282158000,143651620000,143651620000,MOEX,402420000,0,,220520563000,110760000,6645959000,0,-6645959000,https://cdn.financemarker.ru/reports/2014/MOEX/M/MGNT_2014_12_Y_МСФО.pdf,https://www.magnit.com/upload/iblock/784/784e940416f5eda8247ed8793ff0e6b4.pdf,239012616000,44410135000,0,55027843000,12,77975268000,0,Y,0,58014000,763527252000,151719281000,344761333000,95666809000,0,201109713000,МСФО,2014,931807592170,94561355,9854.0000,101911355,4869.0000,504.28469431302034,8074.411074164494,912.4462947892403,4.255649678454798
1,10701000,274000,-25835315000,29103827000,-3268501000,MGNT,0,RUB,36005988000,5000000000,0,19965127000,0,37098811000,37098811000,37842400000,34023490000,34023490000,57756988000,57756988000,MOEX,-3279202000,0,,274127000,1891534000,1893450000,5712360000,3818910000,https://cdn.financemarker.ru/reports/2014/MOEX/M/MGNT_2014_12_Y_РСБУ.pdf,0,56725989000,15000000000,0,15009862000,12,19999726000,-83204000,Y,0,96213000,331967000,0,92731977000,20000000000,357331000,34974989000,РСБУ,2014,931807592170,94561355,9854.0000,101911355,4869.0000,392.3252897549956,3.5105990179603497,359.80332557628856,-34.67803522908486
1,24058891710,11868010560,-15371803530,-23881915710,34911447165,MGNT,0,RUB,103150738125,58246507035,0,149412817575,9667922355,24344929170,24344929170,31535464050,37362288240,47030210595,155638833255,155638833255,MOEX,638828055000,0,,122429729295,7855411590,5826824190,0,-5826824190,https://cdn.financemarker.ru/reports/2015/MOEX/M/MGNT_2015_6_6M_МСФО.pdf,https://www.magnit.com/upload/iblock/851/851f7637fa868e63079de217fca56e8d.pdf,252769179690,39272910075,0,50868266985,6,85651406550,0,6M,0,3208906710,438233335785,86145501420,355919917815,97519417110,0,200281084560,МСФО,2015,1073460501960,94561355,11352.0000,101911355,4869.0000,257.4511455551795,4634.380881968114,497.35127626925396,6755.699037942085
1,23190465000,8390900000,-7014198000,-23255025000,26700138000,MGNT,0,RUB,131816249000,44817119000,0,166642595000,8355609000,26927258000,26927258000,29570870000,33540084000,41895698000,165140596000,165140596000,MOEX,-825213225000,0,X,109220426000,3674129000,4194877000,225664000,-3969213000,https://cdn.financemarker.ru/reports/2015/MOEX/M/MGNT_2015_12_Y_МСФО.pdf,https://www.magnit.com/upload/iblock/b0d/Magnit_FY2015_Audited_rus.pdf,272376724000,59411188000,0,72409782000,12,95837000000,0,6M,0,0,372169897000,74741131000,404192973000,104228307000,0,239052377000,МСФО,2015,1052089635730,94561355,11126.0000,101911355,4869.0000,284.75964626352913,3935.750465927651,443.05306327304635,-8726.749156671876
1,54946853000,8390900000,-27304117000,-54777815000,72781291000,MGNT,0,RUB,131816249000,44817119000,0,166642595000,21116725000,59061200000,59061200000,71195915000,82856210000,103972940000,165140596000,165140596000,MOEX,18004000000,0,,270820806000,373000,11885958000,225664000,-11660294000,https://cdn.financemarker.ru/reports/2015/MOEX/M/MGNT_2015_12_Y_МСФО.pdf,https://www.magnit.com/upload/iblock/b0d/Magnit_FY2015_Audited_rus.pdf,272376724000,59411188000,0,72409782000,12,95837000000,0,Y,0,58013000,950613336000,188448364000,404192973000,104228307000,0,239052377000,МСФО,2015,1052089635730,94561355,11126.0000,101911355,4869.0000,624.5807285650676,10052.87345977646,1099.5288720217684,190.3949028649177
1,881000,145000,-280081000,3806633000,-3526677000,MGNT,0,RUB,37880276000,26418050000,0,26555802000,0,37536826000,37536826000,38725692000,32704508000,32704508000,74384835000,74384835000,MOEX,-3527558000,0,,290615000,1891533000,3245050000,9266234000,6021184000,https://cdn.financemarker.ru/reports/2015/MOEX/M/MGNT_2015_12_Y_РСБУ.pdf,0,93069281000,30000000000,0,30008920000,12,56417905000,-7734000,Y,0,96212000,344604000,0,130949557000,56418050000,298349000,56564722000,РСБУ,2015,1052089635730,94561355,11126.0000,101911355,4869.0000,396.9573617044722,3.6442371199101364,345.8549002391093,-37.30443583427924
