amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,588585000,165830133000,-4767543000,-22712564000,27988227000,MOEX,9950977000,RUB,0,0,0,0,1050744000,6696764000,6699931000,8578295000,0,0,29296698000,28910651000,MOEX,27399642000,0,,0,15253000,64505000,7716338000,7651833000,https://cdn.financemarker.ru/reports/2011/MOEX/M/MOEX_2011_12_Y_МСФО.pdf,0,0,2638858000,0,0,12,-163191275000,0,Y,0,51168000,17679796000,7689580000,313201679000,2638858000,0,283904981000,МСФО,2011,0,0,0,2276401458,84.8800,Infinity,Infinity,NaN,Infinity
1,1810253000,193356484000,1885771000,-28757737000,58272411000,MOEX,11406816000,RUB,0,0,0,0,1535533000,8200329000,8207741000,10654180000,0,0,45075402000,44747262000,MOEX,56462158000,0,,0,4121000,42600000,10343418000,10300818000,https://cdn.financemarker.ru/reports/2012/MOEX/M/MOEX_2012_12_Y_МСФО.pdf,0,0,2823444000,0,0,12,-190533040000,0,Y,0,51167000,21814527000,9422402000,329104095000,2823444000,0,284028693000,МСФО,2012,0,0,0,2276401458,84.8800,Infinity,Infinity,NaN,Infinity
1,1044625999.9999999,255041610000,1582123000,-18253932000,64453830000,MOEX,12792116000,RUB,0,0,0,0,1569490000,11581694000,11586770000,14623899000,0,0,81794151000,81451541000,MOEX,63409204000,0,,0,15215000,5280000,11238543000,11233263000,https://cdn.financemarker.ru/reports/2013/MOEX/M/MOEX_2013_12_Y_МСФО.pdf,https://www.moex.com/n5176/?nt=106,0,47008536000,0,0,12,-208033074000,0,Y,0,51166000,24084288000,9856993000,466464621000,47008536000,0,384670470000,МСФО,2013,154030957548.28,2378489153,64.7600,2276401458,84.8800,4.871483220928526,10.125876743907943,0,26.659446363260333
1,329345000,1195325000,-8758473000,6205042000,2062803000,MOEX,0,RUB,0,0,0,0,0,6467295000,6467295000,6852027000,0,0,69611168000,69611168000,MOEX,1733458000,0,,0,2431273000,0,0,0,https://cdn.financemarker.ru/reports/2013/MOEX/M/MOEX_2013_12_Y_РСБУ.pdf,0,0,0,0,0,12,0,0,Y,0,98867000,5749974000,0,5343809000,0,0,997893000,РСБУ,2013,154030957548.28,2378489153,64.7600,2276401458,84.8800,2.719076936652315,2.4174901082679017,0,0.7288063507935619
1,1110508000,1163783135000,-5223329000,-1760907000,607507510000,MOEX,15585951000,RUB,0,0,0,0,1588018000,15993165000,16041416000,20028141000,0,0,91847457000,91443440000,MOEX,606397002000,0,,0,4120000,530566000,13989692000,13459126000,https://cdn.financemarker.ru/reports/2014/MOEX/M/MOEX_2014_12_Y_МСФО.pdf,https://www.moex.com/n8925/?nt=106,0,139609800000,0,0,12,-1024173335000,0,Y,0,51165000,29573826000,10373258000,1477504872000,139609800000,0,1385657415000,МСФО,2014,138449953314.68,2278636493,60.7600,2276401458,84.8800,7.039918850277099,12.978737982495746,0,266.1227465911563
1,329345000,849519000,-8758473000,6205042000,2062803000,MOEX,0,RUB,0,0,0,0,0,6467295000,6467295000,6852027000,0,0,65163411000,65163411000,MOEX,1733458000,0,,0,2431272000,0,0,0,https://cdn.financemarker.ru/reports/2014/MOEX/M/MOEX_2014_12_Y_РСБУ.pdf,0,0,0,0,0,12,0,0,Y,0,98866000,5749974000,0,68842558000,0,0,3679147000,РСБУ,2014,138449953314.68,2278636493,60.7600,2276401458,84.8800,2.8382302398243913,2.523427504853886,0,0.7607435434854154
1,2208100000,992696100000,-8489900000,-78503800000,-260984500000,MOEX,17784000000,RUB,0,0,0,0,1799700000,27852100000,27908800000,34719300000,0,0,113609600000,113355800000,MOEX,-263192600000,0,,0,4119000,122900000,27050000000,26927100000,https://cdn.financemarker.ru/reports/2015/MOEX/M/MOEX_2015_12_Y_МСФО.pdf,https://www.moex.com/n12294,0,518509300000,0,0,12,-474186800000,0,Y,0,51164000,44832200000,11271900000,1766317600000,518509300000,0,1652708000000,МСФО,2015,211206816536.16998,2278636493,92.6900,2276401458,84.8800,12.24802643411364,19.675011849290172,0,-115.50442591810102
1,771351000,3590691000,-10918323000,10538608000,2953826000,MOEX,0,RUB,0,0,0,0,0,5415002000,5415002000,5645339000,0,0,61760090000,61760090000,MOEX,2182475000,0,,0,2431271000,0,0,0,https://cdn.financemarker.ru/reports/2015/MOEX/M/MOEX_2015_12_Y_РСБУ.pdf,0,0,0,0,0,12,0,0,Y,0,98865000,6649034000,0,63461484000,0,0,1701394000,РСБУ,2015,211206816536.16998,2278636493,92.6900,2276401458,84.8800,2.376422047410789,2.9179880250430097,0,0.9577986689428484
1,3548300000,380516600000,-15719800000,-70423400000,-439289400000,MOEX,19797600000,RUB,0,0,0,0,2294300000,25182600000,25178100000,31307800000,0,0,123383600000,123192400000,MOEX,-442837700000,0,,0,4118000,118500000,22730600000,22612100000,https://cdn.financemarker.ru/reports/2016/MOEX/M/MOEX_2016_12_Y_МСФО.pdf,https://www.moex.com/n15253,0,1733263800000,0,0,12,1352747200000,0,Y,0,51163000,42484300000,12259400000,2441937900000,1733263800000,0,2318554300000,МСФО,2016,283188943350.04,2278636493,124.2800,2276401458,84.8800,11.049634321818088,18.644614939904766,0,-194.34328439854403
1,1366564000,4522753000,-16025361000,30302772000,-13063225000,MOEX,0,RUB,0,0,0,0,0,31620888000,31620888000,31641650000,0,0,52555456000,52555456000,MOEX,-14429789000,0,,0,2431270000,0,0,0,https://cdn.financemarker.ru/reports/2016/MOEX/M/MOEX_2016_12_Y_РСБУ.pdf,0,0,0,0,0,12,0,0,Y,0,98864000,7749039000,0,54752572000,0,0,2197116000,РСБУ,2016,283188943350.04,2278636493,124.2800,2276401458,84.8800,13.877109445556483,3.400735055286416,0,-6.332641930526652
