amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,65949025808,25672030476,1552619248,-60181063980,58131923460,NLMK,0,RUB,177243215856,42066893652,0,94677698944,18958720228,42361206008,43719957176,54172409456,53221393132,72180113360,325426604844,326774760896,MOEX,-7817102348,0,,108192751624,8856100,0,951016324,951016324,https://cdn.financemarker.ru/reports/2011/MOEX/N/NLMK_2011_12_Y_МСФО.pdf,0,378506880048,98980121140,0,135645792116,12,115374984316,53641526516,Y,0,0,377706417424,49235214216,555750095904,141047014792,54551225108,230323491060,МСФО,2011,376973993396,5993227240,62.9000,5993227240,104.2600,7.294893956999368,63.02220861960842,12.043613644124063,-1.3043227021039836
1,44411842695,29067730202.5,-3638053720,-44090927830,55756956277.5,NLMK,0,RUB,167130884925,55497584217.5,0,100903126255,23459451112.5,18653306397.5,18206311287.5,27956109467.5,29174773125,52634224237.5,338891536675,339896083930,MOEX,11345113582.5,0,,88446819742.5,3359155417.5,2092027565,873363907.5,-1218663657.5,https://cdn.financemarker.ru/reports/2012/MOEX/N/NLMK_2012_12_Y_МСФО.pdf,0,396884782475,86036291355,0,124221004470,12,112466145370,34614772062.5,Y,0,0,371475060040,48643811985,564015667400,141533875572.5,53832047680,225124130725,МСФО,2012,364987538916,5993227240,60.9000,5993227240,104.2600,3.037814279089474,61.982475411694885,8.78228408998221,1.8929890571778152
1,24878488500.000004,31908150000.000004,-7375059000.000001,-33411451500.000004,43862193000.00001,NLMK,0,RUB,165968433000.00003,37391746500,0,76319689500,28654834500.000004,5401359000.000001,4782933000,13789584000.000002,16463947500.000002,45118782000.00001,341134308000.00006,342058657500.00006,MOEX,18983704500,0,,70806487500,93257325.00000001,4009900500.0000005,1335537000.0000002,-2674363500.0000005,https://cdn.financemarker.ru/reports/2013/MOEX/N/NLMK_2013_12_Y_МСФО.pdf,0,375253002000.00006,100454751000.00002,0,122843088000.00002,12,105938347500.00002,20026476000,Y,0,0,355871268000.00006,46135237500.00001,541221435000.00006,137846497500,50780011500.00001,199162777500.00003,МСФО,2013,328189123662.39996,5993227240,54.7600,5993227240,104.2600,0.7980563406769806,59.37890451155329,7.528294889082165,3.167526232494398
1,10174613000,25323079000,-2927873000,-65196000,7170384000,NLMK,0,RUB,189238455000,22336976000,0,65950508000,13791577000,-12828714000,-12828714000,-10373830000,-9536566000,4255010999.9999995,304066597000,304066597000,MOEX,-3004229000,0,,25762495000,2028014000,6350685000,5513421000,-837264000,https://cdn.financemarker.ru/reports/2013/MOEX/N/NLMK_2013_12_Y_РСБУ.pdf,0,279865931000,90451782000,0,99087281000,12,87465679000,-640661000,Y,0,96226000,225491728000,17907898000,469104386000,112788758000,26403156000,165037789000,РСБУ,2013,328189123662.39996,5993227240,54.7600,5993227240,104.2600,-2.1405352218882325,37.62442486662662,0.7099699093004855,-0.5012706643174104
1,32657804800,31880542080,-66581056000,-54890188800,104817273600,NLMK,0,RUB,224129132800,46688006400,0,94484729600,46061088000,44905932800,44842080000,65942528000,71764742400,117825830400,363188921600,362335616000,MOEX,72159468800,0,,174532921600,16021248,7940966400,2118752000,-5822214400,https://cdn.financemarker.ru/reports/2014/MOEX/N/NLMK_2014_12_Y_МСФО.pdf,0,376632838400,114017881600,0,143088320000,12,128825345920,92174419200,Y,0,6233368384,603449593600,74730995200,600761971200,160705888000,88390212032,237573049600,МСФО,2014,389859431962,5993227240,65.0500,5993227240,104.2600,7.4821257736925055,100.68858887453098,19.65983028536058,12.040168995828031
1,7453816000,17873488000,-37508295000,-21764058000,42367044000,NLMK,0,RUB,224832210000,23556046000,0,81051531000,14543613000,19933311000,19933311000,23305516000,25853968000,40397581000,0,0,MOEX,34913228000,0,,62765062000,2028013000,6437897000,3889445000,-2548452000,https://cdn.financemarker.ru/reports/2014/MOEX/N/NLMK_2014_12_Y_РСБУ.pdf,0,277525735000,96384209000,0,106580443000,12,102066767000,33465579000,Y,0,96225000,262742251000,19432872000,502357945000,119940255000,29299483000,187631974000,РСБУ,2014,389859431962,5993227240,65.0500,5993227240,104.2600,3.325972835964084,43.83986130984748,6.740538841974562,5.825447059137374
1,43412802650,25038828500,-27579211100,-102148200350,120529474450,NLMK,0,RUB,271601939700,40865120100,0,95914043050,40879720000,70678115900,70619716300,96439639450,99607817750,142203026000,375049531150,374202736950,MOEX,72780501500,0,,183418543700,20220861.5,6956852350,3788674050,-3168178300,https://cdn.financemarker.ru/reports/2015/MOEX/N/NLMK_2015_12_Y_МСФО.pdf,https://nlmk.com/upload/iblock/006/0065c620f5ba91a8ec8f0cf7d4ea0328.pdf,379509800600,154488841850,0,180148166100,12,79642454500,101345205850,Y,0,7838540311,584601895850,77576568650,651111740300,195353961950,82073337850,276062209150,МСФО,2015,376314738399.6,5993227240,62.7900,5993227240,104.2600,11.783253574746817,97.54375604987072,23.727287537323548,12.143791414122987
1,11472846000,14628783000,-6481735000,-37050023000,37631991000,NLMK,0,RUB,279380034000,27893440000,0,88815664000,15561192000,49928501000,49928501000,58165758000,61089529000,76650721000,328233790000,328233790000,MOEX,26159145000,0,,89815085000,2028012000,6783187000,3859416000,-2923771000,https://cdn.financemarker.ru/reports/2015/MOEX/N/NLMK_2015_12_Y_РСБУ.pdf,0,286048143000,137275933000,0,148378723000,12,150540590000,54783527000,Y,0,96224000,318585039000,25365784000,565428177000,165169373000,35031558000,237194387000,РСБУ,2015,376314738399.6,5993227240,62.7900,5993227240,104.2600,8.33082060809695,53.1575103432921,12.789556933269228,4.364784439576831
1,34248532500,37373175000,-68619600000,-18992925000,104093482500,NLMK,0,RUB,251380552500,28673190000,0,105931507500,27937980000,57530182500,57285112500,71805510000,75849165000,118858950000,386597925000,385495110000,MOEX,67394250000,0,,156967335000,17093632500,6433087500,2389432500,-4043655000,https://cdn.financemarker.ru/reports/2016/MOEX/N/NLMK_2016_12_Y_МСФО.pdf,https://nlmk.com/upload/iblock/4fa/4fa7c3e400df0d3d2b21c9b1dff393d8.pdf,375937380000,110342767500,0,134788500000,12,42274575000,91104772500,Y,0,6578414010000,467838630000,62554117500,627317932500,139015957500,65862562500,240720007500,МСФО,2016,685804993073.2001,5993227240,114.4300,5993227240,104.2600,9.558308104466267,78.0612199847106,19.83221146809044,11.245068358195608
1,13591803000,27801961000,-68087166000,19514218000,66994815000,NLMK,0,RUB,279869069000,20796621000,0,115761393000,14865415000,36419484000,36419484000,47316613000,51918281000,66783696000,315095233000,315095233000,MOEX,53403012000,0,,97212038000,2028011000,6658656000,2056988000,-4601668000,https://cdn.financemarker.ru/reports/2016/MOEX/N/NLMK_2016_12_Y_РСБУ.pdf,0,257961091000,95619746000,0,106973534000,12,88614406000,56863902000,Y,0,96223000,335238197000,26474726000,537830160000,116416367000,40348136000,222734927000,РСБУ,2016,685804993073.2001,5993227240,114.4300,5993227240,104.2600,6.076773421326171,55.93617321274806,11.143194363509567,8.910560180928497
