amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,25317000000,23831000000,-11735000000,-46643000000,71907000000,NVTK,0,RUB,58316000000,20298000000,0,50114000000,9475000000,119291000000,119655000000,135025000000,133783000000,148349000000,241682000000,241013000000,MOEX,46590000000,0,,0,15381000000,2150000000,3392000000,1242000000,https://www.novatek.ru/common/upload/doc/NOVATEK_FS_2011.pdf,https://www.novatek.ru/ru/press/releases/index.php?id_4=526,325116000000,75180000000,0,91636000000,12,71647000000,141608000000,Y,0,58743000000,176064000000,8218000000,383432000000,95478000000,97665000000,141750000000,МСФО,2011,1179817422420,3036306000,388.5700,3036306000,1073.2000,39.4080833749958,57.986250397687186,48.85838252139277,15.34430324216334
1,37378000000,18420000000,2603000000,-84124000000,75825000000,NVTK,0,RUB,58243000000,34682000000,0,55130000000,11499000000,69441000000,69458000000,86215000000,87720000000,95166000000,291301000000,290050000000,MOEX,38447000000,0,,0,252000000,3236000000,1731000000,-1505000000,https://cdn.financemarker.ru/reports/2012/MOEX/N/NVTK_2012_12_Y_МСФО.pdf,https://www.novatek.ru/ru/press/releases/index.php?id_4=705,404890000000,97805000000,0,116702000000,12,114067000000,85334000000,Y,0,58742000000,210973000000,10936000000,463133000000,132487000000,125775000000,171832000000,МСФО,2012,1049408079720,3036306000,345.6200,3036306000,1073.2000,22.875823451259524,69.48344468574643,31.342690756465256,12.662425987367545
1,51127000000,7889000000,-7132000000,-100492000000,88525000000,NVTK,0,RUB,82426000000,24026000000,0,59873000000,13503000000,109945000000,110006000000,137129999999.99998,140136000000,121791000000,373057000000,370198000000,MOEX,37398000000,0,,0,253000000,5347000000,2341000000,-3006000000,https://cdn.financemarker.ru/reports/2013/MOEX/N/NVTK_2013_12_Y_МСФО.pdf,https://www.novatek.ru/ru/press/releases/index.php?id_4=847,515569000000,141595000000,0,165065000000,12,157732000000,143926000000,Y,0,58741000000,298158000000,11029000000,597995000000,165621000000,192761000000,224938000000,МСФО,2013,1218226693320,3036306000,401.2200,3036306000,1073.2000,36.230208681206705,98.19761249360242,40.11156978249228,12.316940387431305
1,0,5764445000,105835000,-43841373000,38267017000,NVTK,0,RUB,102276020000,18400511000,0,39822507000,54864000,72258978000,72258978000,90025323000,92737985000,92792849000,223602169000,223602169000,MOEX,38267017000,0,,154154776000,1446169000,8131555000,5418893000,-2712662000,https://cdn.financemarker.ru/reports/2013/MOEX/N/NVTK_2013_12_Y_РСБУ.pdf,0,303845732000,142660944000,0,142697076000,12,155297010000,63127105000,Y,0,94995000,245077487000,85802228000,406121752000,161061455000,91027671000,182519583000,РСБУ,2013,1218226693320,3036306000,401.2200,3036306000,1073.2000,23.7983187465295,80.71567457298441,30.561099243620372,12.60314902384674
1,56233000000,41318000000,-36251000000,-47495000000,110253000000,NVTK,0,RUB,126591000000,40980000000,0,81208000000,17172000000,36915000000,37296000000,52843000000,53502000000,159631000000,387124000000,384755000000,MOEX,54020000000,0,,0,254000000,5722000000,5063000000,-659000000,https://cdn.financemarker.ru/reports/2014/MOEX/N/NVTK_2014_12_Y_МСФО.pdf,https://www.novatek.ru/ru/press/releases/index.php?id_4=948,572548000000,204699000000,0,230807000000,12,204361000000,127763000000,Y,0,58740000000,357643000000,11831000000,699139000000,245679000000,236512000000,312015000000,МСФО,2014,1323829416000,3036306000,436.0000,3036306000,1073.2000,12.283346935387936,117.7888526386998,52.57408179544486,17.791355680224587
1,110000,32500351000,-29652600000,-5450472000,48694759000,NVTK,0,RUB,152600644000,42118671000,0,31009307000,87764000,41750337000,41750337000,52466506000,52864178000,52951942000,236235031000,236235031000,MOEX,48694649000,0,,195629558000,1446168000,8712909000,8315237000,-397672000,https://cdn.financemarker.ru/reports/2014/MOEX/N/NVTK_2014_12_Y_РСБУ.pdf,0,350193101000,205494938000,0,205549407000,12,215113258000,83361616000,Y,0,94994000,318920540000,106286489000,502793745000,247613609000,112267942000,236558714000,РСБУ,2014,1323829416000,3036306000,436.0000,3036306000,1073.2000,13.750371998079245,105.035704569961,17.439593374317344,16.037464274022447
1,42224000000,29187000000,12714000000,-159074000000,132864000000,NVTK,0,RUB,128472000000,106655000000,0,169675000000,19980000000,74119000000,74396000000,92941000000,89111000000,214189000000,428171000000,426079000000,MOEX,90640000000,0,,0,255000000,8792000000,12622000000,3830000000,https://cdn.financemarker.ru/reports/2015/MOEX/N/NVTK_2015_12_Y_МСФО.pdf,https://www.novatek.ru/ru/press/releases/index.php?id_4=1146,751552000000,252050000000,0,282178000000,12,329518000000,140730000000,Y,0,58739000000,475325000000,15163000000,880024000000,358705000000,335042000000,451853000000,МСФО,2015,1807816592400,3036306000,595.4000,3036306000,1073.2000,24.50214174724155,156.5471332599547,70.54262646781977,29.852063658932927
1,0,20559659000,-58729106000,-17495446000,63415638000,NVTK,0,RUB,181831513000,100239087000,0,132072397000,118640000,84103116000,84103116000,97305711000,93212313000,93330953000,284509817000,284509817000,MOEX,63415638000,0,,204429976000,1446167000,12181592000,16274990000,4093398000,https://cdn.financemarker.ru/reports/2015/MOEX/N/NVTK_2015_12_Y_РСБУ.pdf,0,419532292000,184713709000,0,184781591000,12,264393137000,84467174000,Y,0,94993000,412703472000,112281835000,601363805000,284952796000,119962802000,316853988000,РСБУ,2015,1807816592400,3036306000,595.4000,3036306000,1073.2000,27.699156804353713,135.92288524279172,30.738322487917884,20.885786215223366
1,28170000000,48301000000,-156712000000,11877000000,173791000000,NVTK,0,RUB,132760000000,55469000000,0,108791000000,34631000000,265073000000,257795000000,308164000000,301002000000,242407000000,657720000000,648350000000,MOEX,145621000000,0,,0,256000000,11570000000,18732000000,7162000000,https://cdn.financemarker.ru/reports/2016/MOEX/N/NVTK_2016_12_Y_МСФО.pdf,https://www.novatek.ru/ru/press/releases/index.php?id_4=1555,831074000000,161296000000,0,197323000000,12,168464000000,225266000000,Y,0,58738000000,537472000000,18126000000,963834000000,216765000000,385499000000,306114000000,МСФО,2016,2378945751000,3036306000,783.5000,3036306000,1073.2000,84.90415656392999,177.01509663387023,79.83615617134768,47.95992235301712
1,0,43078409000,-128939052000,111586995000,48106577000,NVTK,0,RUB,169012004000,43640126000,0,82666445000,118149000,147987024000,147987024000,158996496000,154253172000,154371321000,390589733000,390589733000,MOEX,48106577000,0,,202865938000,1446166000,9673351000,14416675000,4743324000,https://cdn.financemarker.ru/reports/2016/MOEX/N/NVTK_2016_12_Y_РСБУ.pdf,0,424790815000,120462741000,0,120546641000,12,121024458000,81414979000,Y,0,94992000,429335368000,112928784000,593802819000,164102867000,121450959000,203213086000,РСБУ,2016,2378945751000,3036306000,783.5000,3036306000,1073.2000,48.73916660573737,141.40055975912836,50.841819302797546,15.843784190394512
