amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num5,price5,num5_day,price5_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,2565000000,2684000000,5270000000,-2863000000,-3599000000,OZON,0,RUB,11612000000,163000000,29000000,14260000000,487000000,-5661000000,-5661000000,-5588000000,-5717000000,-5230000000,3236000000,3236000000,MOEX,-6164000000,0,,9558000000,525000000,66000000,195000000,129000000,https://cdn.financemarker.ru/reports/2018/MOEX/O/OZON_2018_12_Y_МСФО.pdf,0,6468000000,246000000,40000000,584000000,12,-2275000000,-5874000000,Y,0,59105000000,37220000000,5077000000,18080000000,409000000,43094000000,14844000000,МСФО,2018,479350635000,179230000,2674.5000,216410000,1486.5000,-31.585114099202144,207.66612732243485,-29.180382748423813,-34.39156391229147
1,3146000000,0,14346000000,-2949000000,-11590000000,OZON,0,RUB,14218000000,0,0,20156000000,1713000000,-13033000000,-13033000000,-13056000000,-12566000000,-10569000000,3605000000,3605000000,MOEX,-15207000000,0,,7275000000,141502000000,490000000,0,-490000000,/fa/fa_reports/2019/OZON20199MМСФО.pdf,0,16337000000,0,0,6794000000,9,0,-12428000000,9M,0,0,39159000000,1688000000,30555000000,0,51587000000,26950000000,МСФО,2019,479350635000,179230000,2674.5000,216410000,1486.5000,-72.71662110137812,218.4846286893935,-58.96892261340177,-84.84628689393517
1,1622000000,3003000000,4989000000,-1590000000,-2722000000,OZON,0,RUB,18867000000,3950000000,1819000000,29506000000,877000000,-6330000000,-6330000000,-6523000000,-6212000000,-5263000000,817000000,817000000,MOEX,-4740000000,0,X,3984000000,4801349000000,490000000,179000000,-311000000,https://cdn.financemarker.ru/reports/2019/MOEX/O/OZON_2019_12_Y_МСФО.pdf,0,19568000000,7790000000,166000000,8112000000,12,8737000000,-6184000000,Q,0,0,20945000000,7855000000,38435000000,11740000000,27129000000,37618000000,МСФО,2019,479350635000,179230000,2674.5000,216410000,1486.5000,-35.31774814484182,116.86101657088658,-29.364503710316352,-26.44646543547397
1,4768000000,3003000000,19335000000,-4539000000,-14312000000,OZON,0,RUB,18867000000,3950000000,1819000000,29506000000,2590000000,-19363000000,-19363000000,-19579000000,-18778000000,-15832000000,817000000,817000000,MOEX,-19947000000,0,,11259000000,524000000,980000000,179000000,-801000000,https://cdn.financemarker.ru/reports/2019/MOEX/O/OZON_2019_12_Y_МСФО.pdf,0,19568000000,7790000000,166000000,8112000000,12,8737000000,-18612000000,Y,0,59104000000,60104000000,9543000000,38435000000,11740000000,78716000000,37618000000,МСФО,2019,479350635000,179230000,2674.5000,216410000,1486.5000,-108.03436924621994,335.3456452602801,-88.33342632371813,-111.29275232940914
1,4781000000,5126000000,10721000000,-4614000000,-4073999999.9999995,OZON,0,RUB,21161000000,13236000000,0,42680000000,3402000000,-12857000000,-12857000000,-12951000000,-11699000000,-8139999999.999999,-5579000000,-5579000000,MOEX,-10353000000,0,,19873000000,139920000000,1252000000,0,-1252000000,https://financemarker.ru/fa/fa_reports/2019/OZON20199MМСФО.pdf,0,27892000000,11763000000,0,11952000000,9,19873000000,-11807000000,9M,0,0,66598999999.99999,2420000000,49053000000,24999000000,78406000000,54632000000,МСФО,2020,473734185000,177130000,2674.5000,216410000,1486.5000,-72.5851069835714,375.9893863264269,-45.95494834302489,-58.44859707559419
1,1807000000,103702000000,91846000000,-1966000000,10644000000,OZON,0,RUB,124808000000,7125000000,3223000000,60211000000,1561000000,-9407000000,-9407000000,-9083000000,-8531000000,-3576000000,79257000000,79257000000,MOEX,7787000000,0,X,11618000000,4801350000000,863000000,311000000,-552000000,https://cdn.financemarker.ru/reports/2020/MOEX/O/OZON_2020_12_Q_МСФО.pdf,https://drive.google.com/file/d/1WjrWayom3c0cERy0bCGnwcYLPsz8WcRo/view,29800000000,2323000000,12267000000,15140000000,12,-94254000000,-5516000000,Q,0,0,37751000000,11324000000,154608000000,9448000000,-29592000000,75351000000,МСФО,2020,670071150000,203700000,3289.5000,216410000,1486.5000,-46.180657830142366,185.32646048109964,-17.555228276877763,38.22778595974472
1,6588000000,103702000000,102567000000,-6580000000,6570000000,OZON,0,RUB,124808000000,7125000000,3223000000,60211000000,4963000000,-22264000000,-22264000000,-22034000000,-20230000000,-11716000000,79257000000,79257000000,MOEX,-2566000000,0,,31491000000,197891000000,2115000000,311000000,-1804000000,https://cdn.financemarker.ru/reports/2020/MOEX/O/OZON_2020_12_Q_МСФО.pdf,https://drive.google.com/file/d/1WjrWayom3c0cERy0bCGnwcYLPsz8WcRo/view,29800000000,2323000000,12267000000,15140000000,12,-94254000000,-17323000000,Y,0,59103000000,104350000000,13744000000,154608000000,9448000000,48814000000,75351000000,МСФО,2020,670071150000,203700000,3289.5000,216410000,1486.5000,-109.29798723613156,512.2729504172803,-57.515954835542466,-12.596956308296514
1,1954999999.9999998,140584000000,47697000000,-1597000000,-12118000000,OZON,0,RUB,162747000000,1534000000,3747000000,51359000000,1739000000,-6734000000,-6734000000,-6678000000,-5976000000,-4236999999.9999995,73273000000,73273000000,MOEX,-14073000000,0,,11587000000,36983000000,914000000,212000000,-702000000,https://cdn.financemarker.ru/reports/2021/MOEX/O/OZON_2021_3_Q_МСФО.pdf,https://cdn1.ozone.ru/s3/corp-ozon-com/for_investors/Quarterly%20results/OZON%20Earnings%20presentation%201Q%202021.pdf,33651999999.999996,50140000000,13711000000,71767000000,3,-88910000000,-7344000000,Q,0,59106000000,33406999999.999996,5603000000,196399000000,51674000000,40751000000,123125999999.99998,МСФО,2021,863516500000,203900000,4235.0000,216410000,1486.5000,-33.02599313388916,163.8401177047572,-20.77979401667484,-69.01912702305052
1,5882000000,122849000000,46781000000,-5392000000,-19791000000,OZON,0,RUB,147759000000,1508000000,4914000000,58015000000,3871000000,-21967000000,-21967000000,-21937000000,-20170000000,-13985000000,59112000000,59112000000,MOEX,-27351000000,0,,23474000000,199308000000,2124000000,357000000,-1767000000,https://cdn.financemarker.ru/reports/2021/MOEX/O/OZON_2021_6_6M_МСФО.pdf,https://cdn1.ozone.ru/s3/corp-ozon-com/for_investors/Quarterly%20results/OZON%20Earnings%20presentation%202Q%202021.pdf,44882000000,48683000000,20178000000,75514000000,6,-72658000000,-19678000000,6M,0,57314000000,70425000000,13416000000,192641000000,50191000000,43027000000,133529000000,МСФО,2021,883319962392,205041774,4308.0000,216410000,1486.5000,-107.13426621055278,343.46659525097556,-68.20561355463107,-133.39233009172074
1,3927000000,122849000000,-916000000,-3795000000,-7673000000,OZON,0,RUB,147759000000,1508000000,4914000000,58015000000,2132000000,-15233000000,-15233000000,-15259000000,-14194000000,-9748000000,59112000000,59112000000,MOEX,-13278000000,0,X,11887000000,4801351000000,1210000000,145000000,-1065000000,https://cdn.financemarker.ru/reports/2021/MOEX/O/OZON_2021_6_6M_МСФО.pdf,https://cdn1.ozone.ru/s3/corp-ozon-com/for_investors/Quarterly%20results/OZON%20Earnings%20presentation%202Q%202021.pdf,44882000000,48683000000,20178000000,75514000000,6,-72658000000,-12334000000,Q,0,0,37018000000,7813000000,192641000000,50191000000,2276000000,133529000000,МСФО,2021,883319962392,205041774,4308.0000,216410000,1486.5000,-74.29217813927029,180.53882034789652,-47.54153170758267,-64.7575357009933
