amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num5,price5,num5_day,price5_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,77816000,9943160000,-871152000,-1497618000,3499154000,QIWI,0,RUB,15606716000,26105000,0,16083499000,137101000,807778000,910138000,1455870000,1437880000,1850946000,2498843000,2548154000,MOEX,3421338000,0,,3457150000,188000,7520000,25510000,17990000,https://cdn.financemarker.ru/reports/2012/MOEX/Q/QIWI_2012_12_Y_МСФО.pdf,https://investor.qiwi.com/news-releases/news-release-details/qiwi-announces-fourth-quarter-and-full-year-2013-results,3102058000,38762000,0,126432000,12,-9878293000,1485666000,Y,0,0,8911438000,1838797000,18708774000,64867000,7425772000,16209931000,МСФО,2012,0,0,0,62430000,409.0000,Infinity,Infinity,Infinity,Infinity
1,375208000,11636913000,-1846445000,-1200580000,4725766000,QIWI,0,RUB,16342210000,635000,0,17753486000,113100000,1835374000,1873226000,2444883000,2451365000,2978000000,2703860000,2798626000,MOEX,4350558000,0,,5269551000,189000,28686000,22204000,-6482000,https://cdn.financemarker.ru/reports/2013/MOEX/Q/QIWI_2013_12_Y_МСФО.pdf,https://investor.qiwi.com/news-releases/news-release-details/qiwi-announces-fourth-quarter-and-full-year-2013-results,4322371000,109351000,0,207235000,12,-11526927000,2543254000,Y,0,0,11666050000,2607718000,20664581000,109986000,9122796000,17960721000,МСФО,2013,93032415000,52119000,1785.0000,62430000,409.0000,35.94132657955832,223.83487787563078,57.13847157466567,83.47355091233523
1,512562000,17079965000,179280000,-1602400000,4755176000,QIWI,0,RUB,25161587000,1061000,0,21626632000,353400000,4967917000,5024140000,5862423000,5902244000,4818000000,8334370000,8573755000,MOEX,4242614000,0,,7445628000,190000,41513000,1692000,-39821000,https://cdn.financemarker.ru/reports/2014/MOEX/Q/QIWI_2014_12_Y_МСФО.pdf,https://investor.qiwi.com/news-releases/news-release-details/qiwi-announces-fourth-quarter-and-full-year-2014-results,4888535000,41981000,0,89120000,12,-17036923000,4010051000,Y,0,0,14718727000,3082177000,30050122000,43042000,10708676000,21715752000,МСФО,2014,61864310000,54506000,1135.0000,62430000,409.0000,92.17590723956995,270.03865629471983,88.393938282024,77.83755916779803
1,309719000,19363204000,-1892854000,3556360000,-1006808000,QIWI,0,RUB,27015156000,0,0,18001327000,688666000,5273762000,5187414000,6150768000,6243882000,5640000000,22435583000,22422849000,MOEX,-1316527000,0,,9021863000,191000,109312000,16198000,-93114000,https://cdn.financemarker.ru/reports/2015/MOEX/Q/QIWI_2015_12_Y_МСФО.pdf,https://investor.qiwi.com/news-releases/news-release-details/qiwi-announces-fourth-quarter-and-full-year-2015-financial,14562339000,0,0,1140585000,12,-19363204000,4864158000,Y,0,0,17716967000,3469039000,41577495000,0,12852809000,19141912000,МСФО,2015,79753080000,60419000,1320.0000,62430000,409.0000,85.85732964795842,293.23502540591534,93.34811896919842,-21.78995018123438
1,686000000,18997000000,-4637000000,180000000,5543000000,QIWI,0,RUB,27230000000,0,0,18852000000,796000000,2489000000,2474000000,3107000000,3135000000,6035000000,19969000000,19948000000,MOEX,4857000000,0,,9234000000,192000000,64000000,36000000,-28000000,https://cdn.financemarker.ru/reports/2016/MOEX/Q/QIWI_2016_12_Y_МСФО.pdf,https://investor.qiwi.com/news-releases/news-release-details/qiwi-announces-fourth-quarter-and-full-year-2016-financial,12444000000,0,0,853000000,12,-18997000000,4137000000,Y,0,0,17880000000,3423000000,39674000000,0,13743000000,19705000000,МСФО,2016,47265660000,60597000,780.0000,62430000,409.0000,40.82710365199598,295.0641120847567,99.5923890621648,80.15248279617803
1,1179000000,18406000000,-2160000000,-1653000000,3560000000,QIWI,0,RUB,31123000000,0,0,23066000000,796000000,3142000000,3114000000,3840000000,3834000000,5185000000,21157000000,21120000000,MOEX,2381000000,0,,11134000000,1215000000,0,6000000,6000000,https://cdn.financemarker.ru/reports/2017/MOEX/Q/QIWI_2017_12_Y_МСФО.pdf,https://investor.qiwi.com/index.php/news-releases/news-release-details/qiwi-announces-fourth-quarter-and-full-year-2017-financial,13936000000,0,0,836000000,12,-18406000000,3991000000,Y,0,0,20897000000,6243000000,45059000000,0,16906000000,23902000000,МСФО,2017,55449030000,60933000,910.0000,62430000,409.0000,51.10531239229974,342.9504537770994,85.09346331216254,39.07570610342508
1,374000000,17626000000,-4000000,-512000000,-157000000,QIWI,0,RUB,28733000000,0,0,20303000000,194000000,938000000,931000000,1160000000,1153000000,1450000000,21849000000,21808000000,MOEX,-531000000,0,,3299000000,1320000000,0,7000000,7000000,https://cdn.financemarker.ru/reports/2018/MOEX/Q/QIWI_2018_3_Q_МСФО.pdf,https://investor.qiwi.com/news-releases/news-release-details/qiwi-announces-first-quarter-2018-financial-results,14128000000,0,0,709000000,3,-17626000000,1186000000,Q,0,0,6394000000,1905000000,42861000000,0,5208000000,21012000000,МСФО,2018,66666442000,60994000,1093.0000,62430000,409.0000,15.263796438994,104.82998327704364,23.772830114437486,-8.70577433845952
1,579000000,20486000000,-25000000,-847000000,2396000000,QIWI,0,RUB,34110000000,0,0,23429000000,402000000,1878000000,1860000000,2320000000,2308000000,2842000000,23219000000,23189000000,MOEX,1817000000,0,,6871000000,141572000000,0,12000000,12000000,https://cdn.financemarker.ru/reports/2018/MOEX/Q/QIWI_2018_6_Q_МСФО.pdf,https://investor.qiwi.com/news-releases/news-release-details/qiwi-announces-second-quarter-2018-financial-results,13464000000,0,0,926000000,6,-20486000000,2280000000,6M,0,0,13386000000,4041000000,47574000000,0,11106000000,24355000000,МСФО,2018,59408156000,60994000,974.0000,62430000,409.0000,30.494802767485325,219.46420959438635,46.59474702429747,29.78981539167787
1,205000000,20486000000,-21000000,-335000000,2553000000,QIWI,0,RUB,34110000000,0,0,23429000000,208000000,940000000,929000000,1160000000,1155000000,1392000000,23219000000,23189000000,MOEX,2348000000,0,X,3572000000,5150038000000,0,5000000,5000000,https://cdn.financemarker.ru/reports/2018/MOEX/Q/QIWI_2018_6_Q_МСФО.pdf,https://investor.qiwi.com/news-releases/news-release-details/qiwi-announces-second-quarter-2018-financial-results,13464000000,0,0,926000000,6,-20486000000,1094000000,Q,0,0,6992000000,2136000000,47574000000,0,5898000000,24355000000,МСФО,2018,59408156000,60994000,974.0000,62430000,409.0000,15.231006328491327,114.6342263173427,22.821916909859986,38.49558973013739
1,811000000,28881000000,-27000000,-868000000,10535000000,QIWI,0,RUB,45157000000,0,0,33511000000,623000000,2731000000,2702000000,3443000000,3429000000,4475000000,24537000000,24498000000,MOEX,9724000000,0,,10933000000,141573000000,0,14000000,14000000,https://cdn.financemarker.ru/reports/2018/MOEX/Q/QIWI_2018_9_9M_МСФО.pdf,https://investor.qiwi.com/index.php/news-releases/news-release-details/qiwi-announces-third-quarter-2018-financial-results,13789000000,0,0,898000000,9,-28881000000,3333000000,9M,0,0,21329000000,6593000000,58946000000,0,17996000000,34409000000,МСФО,2018,52576828000,60994000,862.0000,62430000,409.0000,44.2994392891104,349.69013345574973,73.36787224972949,159.42551726399319
