amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,391000000000,170000000000,-56000000000,-394000000000,487000000000,ROSN,0,RUB,838000000000,152000000000,1000000000,443000000000,193000000000,335000000000,331000000000,425000000000,424000000000,662000000000,2104000000000,2068000000000,MOEX,99000000000,0,,0,15451000000,19000000000,20000000000,1000000000,https://cdn.financemarker.ru/reports/2011/MOEX/R/ROSN_2011_12_Y_МСФО.pdf,https://www.rosneft.ru/upload/site1/document_cons_report/xSW8k2rnwy.pdf,2625000000000,596000000000,5000000000,916000000000,12,578000000000,469000000000,Y,0,59346000000,2718000000000,52000000000,3463000000000,748000000000,189000000000,1359000000000,МСФО,2011,2249993150549.1,10598177817,212.3000,10598177817,334.9500,31.231783964698128,256.4591807131405,62.463567929396255,9.341228436571344
1,473000000000,303000000000,73000000000,-452000000000,521000000000,ROSN,0,RUB,949000000000,143000000000,3000000000,453000000000,206000000000,365000000000,363000000000,469000000000,460000000000,609000000000,2322000000000,2283000000000,MOEX,45000000000,0,,0,176000000,15000000000,24000000000,9000000000,https://cdn.financemarker.ru/reports/2012/MOEX/R/ROSN_2012_12_Y_МСФО.pdf,https://www.rosneft.ru/upload/site1/document_cons_report/n4WZ7pJIZp.pdf,3022000000000,837000000000,800000000,1196000000000,12,677000000000,412000000000,Y,0,59345000000,3089000000000,68000000000,3971000000000,980000000000,247000000000,1649000000000,МСФО,2012,2856208921681.5,10598177817,269.5000,10598177817,334.9500,34.25117093409492,291.46519838958466,57.46270826133281,4.246012925714247
1,560000000000,276000000000,965000000000,-2220000000000,1216000000000,ROSN,0,RUB,1455000000000,684000000000,4000000000,1387000000000,392000000000,555000000000,548999999999.99994,636000000000,671000000000,947000000000,3169000000000,3130000000000,MOEX,656000000000,0,,0,177000000,56000000000,21000000000,-35000000000,https://cdn.financemarker.ru/reports/2013/MOEX/R/ROSN_2013_12_Y_МСФО.pdf,https://www.rosneft.ru/upload/site1/document_cons_report/1XmOS5FxMM.pdf,6076000000000,1676000000000,800000000,2975000000000,12,2084000000000,555000000000,Y,0,59344000000,4694000000000,111000000000,7531000000000,2360000000000,389000000000,4361999999999.9995,МСФО,2013,2649968381362.6797,10598177817,250.0400,10598177817,334.9500,51.801357693713804,442.9063260733928,89.35498312558649,61.897432872634354
1,221358627000,199904615000,1177415748000,-2020686716000,796577574000,ROSN,0,RUB,1630191063000,622881018000,0,1315046467000,78636374000,136278783999.99998,136278783999.99998,154779646000,164581995000,243218369000,1383728897000,1383728897000,MOEX,575218947000,0,,1575130657000,1736513000,67752186999.99999,57949838000,-9802349000,https://cdn.financemarker.ru/reports/2013/MOEX/R/ROSN_2013_12_Y_РСБУ.pdf,0,3349956053000,1729241793000,0,2281371752000,12,2152218195999.9998,208404755000,Y,0,94977000,3544443140000,1307050333000,4980147116000,2352122811000,1366725902000,3596418219000,РСБУ,2013,2649968381362.6797,10598177817,250.0400,10598177817,334.9500,12.858699519213774,334.4389197088709,22.949074189891938,54.27526853506085
1,533000000000,217000000000,-774000000000,-979000000000,1626000000000,ROSN,0,RUB,2131000000000,1212000000000,4000000000,2031000000000,464000000000,350000000000,348000000000,478000000000,667000000000,1057000000000,2881000000000,2872000000000,MOEX,596000000000,0,,0,178000000,219000000000,30000000000,-189000000000,https://cdn.financemarker.ru/reports/2014/MOEX/R/ROSN_2014_12_Y_МСФО.pdf,https://www.rosneft.ru/upload/site1/document_cons_report/174094/rugcqGZr8G.pdf,6605000000000,2172000000000,18000000000,3824000000000,12,3167000000000,593000000000,Y,0,59343000000,5503000000000,114000000000,8736000000000,3384000000000,469000000000,5855000000000,МСФО,2014,2071413854332.65,10598177817,195.4500,10598177817,334.9500,32.83583329219017,519.2402028934556,99.73412583288798,56.23608230501536
1,173273415000,127975011000,453380426000,-1602198351000,1037919686000,ROSN,0,RUB,2805222124000,864389446000,0,2218044496000,100025990000,501324290000,501324290000,505933181000,570717849000,670743839000,1355387573000,1355387573000,MOEX,864646271000,0,,1848436820000,1736512000,130954202000,66169534000,-64784668000,https://cdn.financemarker.ru/reports/2014/MOEX/R/ROSN_2014_12_Y_РСБУ.pdf,0,4982504825000,3230812633000,0,4214294880000,12,3967227068000,155445050000,Y,0,94976000,4299680200000,1610827753000,7787726949000,4095202079000,1692991770000,6432339376000,РСБУ,2014,2071413854332.65,10598177817,195.4500,10598177817,334.9500,47.30287589587817,405.6999490141693,63.28860022749324,81.58442761859163
1,595000000000,561000000000,-1091000000000,-813000000000,2195000000000,ROSN,0,RUB,2404000000000,1036000000000,4000000000,1817000000000,450000000000,356000000000,355000000000,460000000000,674000000000,1245000000000,2929000000000,2886000000000,MOEX,1600000000000,0,,0,180000000,269000000000,55000000000,-214000000000,https://cdn.financemarker.ru/reports/2015/MOEX/R/ROSN_2015_12_Y_МСФО.pdf,https://www.rosneft.ru/upload/site1/document_cons_report/Rosneft_Q4_2015_IFRS_RUS.pdf,7238000000000,2252000000000,31000000000,4896000000000,12,2727000000000,708000000000,Y,0,59342000000,5150000000000,130000000000,9642000000000,3288000000000,575000000000,8530000000000,МСФО,2015,2714723247824.55,10598177817,256.1500,10598177817,334.9500,33.49632419174573,485.9325903872971,117.47302427809416,150.9693484698399
1,125986501000,402389690000,-382457584000,-668129419000,1274525571000,ROSN,0,RUB,4236515301000,494337961000,0,2038824180000,114883206000,239413255000,239413255000,173284786000,360531291000,475414497000,1434431053000,1434431053000,MOEX,1148539070000,0,,1201154615000,1736511000,327398599000,140152094000,-187246505000,https://cdn.financemarker.ru/reports/2015/MOEX/R/ROSN_2015_12_Y_РСБУ.pdf,0,5213358963000,4081526948000,0,5976619031000,12,4173475219000,116800058000,Y,0,94975000,3831094945000,1084354557000,9449874264000,4575864909000,1084354557000,8015443211000,РСБУ,2015,2714723247824.55,10598177817,256.1500,10598177817,334.9500,22.590039451496022,361.4861923579669,44.858135540754155,108.3713719312849
1,709000000000,792000000000,645000000000,-973000000000,679000000000,ROSN,0,RUB,2300000000000,1577000000000,1000000000,2773000000000,489000000000,192000000000,174000000000,306000000000,408000000000,1278000000000,3782000000000,3302000000000,MOEX,302000000000,0,,0,181000000,193000000000,91000000000,-102000000000,https://cdn.financemarker.ru/reports/2016/MOEX/R/ROSN_2016_12_Y_МСФО.pdf,https://www.rosneft.ru/upload/site1/document_cons_report/FY2016_Results_27022017_RUS.pdf,8817000000000,1892000000000,22000000000,4562000000000,12,2677000000000,655000000000,Y,0,59341000000,4988000000000,129000000000,11117000000000,3469000000000,559000000000,7335000000000,МСФО,2016,4240330944581.7,10598177817,400.1000,10598177817,334.9500,16.417916646095087,470.64694385472586,120.58676709028461,28.49546452368228
1,166146373000,584223460000,565263079000,-103172017000,-128566732000,ROSN,0,RUB,3184684934000,525561253000,0,2402176360000,124222899000,99236214000,99236214000,84379463000,276611496000,400834395000,1533087259000,1533087259000,MOEX,-294713105000,0,,1055872980000,1736510000,358112121000,165880088000,-192232033000,https://cdn.financemarker.ru/reports/2016/MOEX/R/ROSN_2016_12_Y_РСБУ.pdf,0,6768716536000,4338773620000,0,6018137851000,12,4280111413000,34481011000,Y,0,94974000,3930139846000,1021391969000,9953401470000,4864334873000,1021391969000,8420314211000,РСБУ,2016,4240330944581.7,10598177817,400.1000,10598177817,334.9500,9.363516607621003,370.8316574662355,37.82106716090778,-27.807903404608446
1,922000000000,335000000000,381000000000,-1162000000000,337000000000,ROSN,0,RUB,2292000000000,2224000000000,5000000000,3836000000000,586000000000,297000000000,222000000000,395000000000,513000000000,1403000000000,4183000000000,3619000000000,MOEX,245000000000,0,,0,1000000000,225000000000,107000000000,-118000000000,https://cdn.financemarker.ru/reports/2017/MOEX/R/ROSN_2017_12_Y_МСФО.pdf,https://www.rosneft.ru/upload/site1/document_cons_report/FY2017_Results_RUS.pdf,9936000000000,1751000000000,32000000000,4209000000000,12,3640000000000,621000000000,Y,0,59340000000,6011000000000,172000000000,12228000000000,3975000000000,607000000000,8045000000000,МСФО,2017,3071881840257.45,10598177817,289.8500,10598177817,334.9500,20.946997100190284,567.1729710326297,132.38124743949086,23.117181484444234
1,212862768000,116638660000,1046775317000,-1004902809000,-479141734000,ROSN,0,RUB,3599388917000,860270860000,0,2742989810000,141504417000,138968980000,138968980000,83106878000,299337929000,440842346000,1684375058000,1684375058000,MOEX,-692004502000,0,,1419197570000,1580878000,396184404000,179953353000,-216231051000,https://cdn.financemarker.ru/reports/2017/MOEX/R/ROSN_2017_12_Y_РСБУ.pdf,0,7483529455000,5083998328000,0,6655553504000,12,5827630528000,359957079000,Y,0,94973000,4897934388000,1059240491000,11082918372000,5944269188000,1059240491000,9398543314000,РСБУ,2017,3071881840257.45,10598177817,289.8500,10598177817,334.9500,13.112535230073881,462.14872712773996,41.59605109595983,-65.29466800321
1,223000000000,315000000000,-67000000000,-221000000000,271000000000,ROSN,0,RUB,2190000000000,2822000000000,5000000000,2786000000000,152000000000,95000000000,81000000000,125000000000,155000000000,385000000000,4286000000000,3709000000000,MOEX,142000000000,0,,0,1197000000,60000000000,30000000000,-30000000000,https://cdn.financemarker.ru/reports/2018/MOEX/R/ROSN_2018_3_Q_МСФО.pdf,https://www.rosneft.ru/upload/site1/document_cons_report/Q12018_Results_RUS.pdf,10048000000000,5135000000000,31000000000,5166000000000,3,7642000000000,200000000000,Q,0,59357000000,1722000000000,35000000000,12238000000000,7957000000000,158000000000,7952000000000,МСФО,2018,3343195192372.65,10598177817,315.4500,10598177817,334.9500,7.642823266285644,162.48076129066519,36.326999475555226,13.39852967669829
