amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num2,price2,num2_day,price2_day,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,109400000000,761900000000,9500000000,144300000000,-244300000000,SBER,140700000000,RUB,0,0,0,0,42400000000,315900000000,316200000000,395700000000,0,0,1268000000000,1264500000000,MOEX,-353700000000,0,,0,15506000000,289600000000,850600000000,561000000000,https://cdn.financemarker.ru/reports/2011/MOEX/S/SBER_2011_12_Y_МСФО.pdf,https://www.sberbank.com/common/img/uploaded/files/info/noarchive-ru/presentation_russian_4q12_v2.pdf,0,572200000000,0,0,12,-189700000000,439000000000,Y,0,0,724000000000,341800000000,10835100000000,572200000000,0,9567100000000,МСФО,2011,1765514108880,1000000000,58.8500,1000000000,121.6000,21586948000,79.0600,21586948000,127.3000,13.999235310587336,32.05391007231256,0,-15.659486177592475
1,144400000000,1616800000000,160200000000,-409100000000,919000000000,SBER,170300000000,RUB,0,0,0,0,62600000000,347900000000,348800000000,447900000000,0,0,1623800000000,1611000000000,MOEX,774600000000,0,,0,625000000,452500000000,1157300000000,704800000000,https://cdn.financemarker.ru/reports/2012/MOEX/S/SBER_2012_12_Y_МСФО.pdf,https://www.sberbank.com/common/img/uploaded/files/info/noarchive-ru/presentation_russian_4q12_v2.pdf,0,1076400000000,0,0,12,-540400000000,515300000000,Y,0,0,897900000000,451400000000,15097400000000,1076400000000,0,13473600000000,МСФО,2012,2071908121799.9998,1000000000,67.5600,1000000000,121.6000,21586948000,92.8500,21586948000,127.3000,15.44254673097047,39.753046759571056,0,34.29414190885816
1,137399999999.99998,1909000000000,-58900000000,-356700000000,415300000000,SBER,221300000000,RUB,0,0,0,0,68900000000,362000000000,363800000000,455700000000,0,0,1881400000000,1871700000000,MOEX,277900000000,0,,0,626000000,616400000000,1478600000000,862200000000,https://cdn.financemarker.ru/reports/2013/MOEX/S/SBER_2013_12_Y_МСФО.pdf,https://www.sberbank.com/common/img/uploaded/files/info/noarchive-ru/presentation_ye2013_ru.pdf,0,1278100000000,0,0,12,-630900000000,515000000000,Y,0,0,1124800000000,504200000000,18210300000000,1278100000000,0,16328900000000,МСФО,2013,2260945225920,1000000000,79.8000,1000000000,121.6000,21586948000,101.0400,21586948000,127.3000,16.106647077772525,49.798671338863485,0,12.30356575841942
1,127000000000,2915300000000,-40900000000,-61600000000,831900000000,SBER,259200000000,RUB,0,0,0,0,73700000000,290300000000,292200000000,374200000000,0,0,2020100000000,2015600000000,MOEX,704900000000,0,,0,627000000,818200000000,1837900000000,1019700000000,https://cdn.financemarker.ru/reports/2014/MOEX/S/SBER_2014_12_Y_МСФО.pdf,https://www.sberbank.com/common/img/uploaded/files/info/noarchive-ru/sberbank_groups_ifrs_results_ye14_rus.pdf,0,2072100000000,0,0,12,-843200000000,449200000000,Y,0,0,1357700000000,565100000000,25200800000000,2072100000000,0,23180700000000,МСФО,2014,1201442366680,1000000000,37.6900,1000000000,121.6000,21586948000,53.9100,21586948000,127.3000,12.936674755704047,60.10993605687674,0,31.208288964051274
1,74300000000,3472100000000,-511600000000,-90800000000,294600000000,SBER,319000000000,RUB,0,0,0,0,80800000000,222900000000,223300000000,331200000000,0,0,2375000000000,2372800000000,MOEX,220300000000,0,,0,628000000,1291600000000,2279600000000,988000000000,https://cdn.financemarker.ru/reports/2015/MOEX/S/SBER_2015_12_Y_МСФО.pdf,https://www.sberbank.com/common/img/uploaded/files/info/prezentatsiya_msfo_ue16_ru.pdf,0,2185000000000,0,0,12,-1287100000000,414500000000,Y,0,0,1394500000000,623400000000,27334700000000,2185000000000,0,24959700000000,МСФО,2015,2260497398640,1000000000,76.3300,1000000000,121.6000,21586948000,101.1800,21586948000,127.3000,9.886240496059937,61.73919557436445,0,9.753420426699526
1,112100000000,3928200000000,-244100000000,241100000000,387500000000,SBER,349100000000,RUB,0,0,0,0,83000000000,541900000000,540500000000,677500000000,0,0,2821600000000,2818100000000,MOEX,275400000000,0,,0,629000000,1036200000000,2399000000000,1362800000000,https://cdn.financemarker.ru/reports/2016/MOEX/S/SBER_2016_12_Y_МСФО.pdf,https://www.sberbank.com/common/img/uploaded/files/info/prezentatsiya_msfo_ue16_ru.pdf,0,1900900000000,0,0,12,15080800000000,767600000000,Y,0,0,1833300000000,677600000000,25368500000000,1900900000000,0,22546900000000,МСФО,2016,3839907013800,1000000000,130.1900,1000000000,121.6000,21586948000,171.8500,21586948000,127.3000,23.929749163100745,81.16634438614726,0,12.192882367285744
1,116300000000,4074300000000,-162300000000,-105600000000,64800000000,SBER,377100000000,RUB,0,0,0,0,57400000000,748700000000,750400000000,903100000000,0,0,3436000000000,3432000000000,MOEX,-51500000000,0,,0,955000000,782600000000,2131400000000,1348800000000,https://cdn.financemarker.ru/reports/2017/MOEX/S/SBER_2017_12_Y_МСФО.pdf,https://www.sberbank.com/portalserver/content/atom/747d8d5f-3e81-4999-8e8f-2e86904dec8e/content?id=4d18277d-bb2d-4c43-bc6b-620ecbe99e47,0,1650900000000,0,0,12,-2423400000000,983500000000,Y,0,0,1847300000000,623400000000,27112200000000,1650900000000,0,23676200000000,МСФО,2017,5049050255840,1000000000,190.2600,1000000000,121.6000,21586948000,225.0800,21586948000,127.3000,33.222726682684176,81.78617137649584,0,-2.280077857353725
1,14400000000,3829200000000,-16000000000,-13500000000,-184300000000,SBER,101500000000,RUB,0,0,0,0,16800000000,212100000000,212000000000,281100000000,0,0,3583500000000,3579100000000,MOEX,-198700000000,0,,0,1253000000,216500000000,575100000000,358600000000,https://cdn.financemarker.ru/reports/2018/MOEX/S/SBER_2018_3_Q_МСФО.pdf,https://www.sberbank.com/common/img/uploaded/files/info/ifrs_presentation_rus_1q18.pdf,0,1697700000000,0,0,3,-2131500000000,292100000000,Q,0,0,496800000000,157400000000,27267000000000,1697700000000,0,23683500000000,МСФО,2018,5693397402400,1000000000,214.6300,1000000000,121.6000,21586948000,253.8000,21586948000,127.3000,9.385951568135722,21.995003486084087,0,-8.797115927304565
1,46100000000,3303400000000,-21900000000,-74700000000,30800000000,SBER,205200000000,RUB,0,0,0,0,31100000000,427400000000,427400000000,541200000000,0,0,3489400000000,3484700000000,MOEX,-15300000000,0,,0,140670000000,373800000000,1056300000000,682500000000,https://cdn.financemarker.ru/reports/2018/MOEX/S/SBER_2018_6_6M_МСФО.pdf,https://www.sberbank.com/common/img/uploaded/files/info/ru_ifrs_6m18.pdf,0,1645500000000,0,0,6,-1657900000000,0,6M,0,0,963200000000,296500000000,28786300000000,1645500000000,0,25296900000000,МСФО,2018,4833694034920,1000000000,186.2400,1000000000,121.6000,21586948000,215.2900,21586948000,127.3000,18.92243254821324,42.644096935982674,0,-0.6773823537380969
1,31700000000,3303400000000,-5900000000,-61200000000,215100000000,SBER,103700000000,RUB,0,0,0,0,14300000000,215300000000,215400000000,260100000000,0,0,3489400000000,3484700000000,MOEX,183400000000,0,X,0,3674877000000,157300000000,481200000000,323900000000,https://cdn.financemarker.ru/reports/2018/MOEX/S/SBER_2018_6_6M_МСФО.pdf,https://www.sberbank.com/common/img/uploaded/files/info/ru_ifrs_6m18.pdf,0,1645500000000,0,0,6,-1657900000000,-292100000000,Q,0,0,466400000000,139100000000,28786300000000,1645500000000,0,25296900000000,МСФО,2018,4833694034920,1000000000,186.2400,1000000000,121.6000,21586948000,215.2900,21586948000,127.3000,9.53648098007752,20.649093449898587,0,8.119733573566469
1,79900000000,3339800000000,-306600000000,-102400000000,433600000000,SBER,318100000000,RUB,0,0,0,0,49300000000,655500000000,655600000000,814600000000,0,0,3660700000000,3656300000000,MOEX,353700000000,0,,0,140669000000,572200000000,1614000000000,1041800000000,https://cdn.financemarker.ru/reports/2018/MOEX/S/SBER_2018_9_9M_МСФО.pdf,https://www.sberbank.com/common/img/uploaded/files/info/ifrs2018/rusberbank-ifrs9m2018rus.pdf,0,1598600000000,0,0,9,-1741200000000,0,9M,0,0,1482300000000,451600000000,29247900000000,1598600000000,0,25587200000000,МСФО,2018,4546176751160,1000000000,171.1500,1000000000,121.6000,21586948000,202.6700,21586948000,127.3000,29.025612490895185,65.62639627097916,0,15.659486177592475
1,33800000000,3339800000000,-284700000000,-27700000000,402800000000,SBER,112900000000,RUB,0,0,0,0,18200000000,228100000000,228200000000,273400000000,0,0,3660700000000,3656300000000,MOEX,369000000000,0,X,0,3674878000000,198400000000,557700000000,359300000000,https://cdn.financemarker.ru/reports/2018/MOEX/S/SBER_2018_9_9M_МСФО.pdf,https://www.sberbank.com/common/img/uploaded/files/info/ifrs2018/rusberbank-ifrs9m2018rus.pdf,0,1598600000000,0,0,9,-1741200000000,0,Q,0,0,519100000000,155100000000,29247900000000,1598600000000,0,25587200000000,МСФО,2018,4546176751160,1000000000,171.1500,1000000000,121.6000,21586948000,202.6700,21586948000,127.3000,10.103179942681942,22.982299334996476,0,16.336868531330573
