amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,num2,price2,num2_day,price2_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,176789000000,33783999999.999996,-22639000000,-243040000000,257513000000,SNGS,0,RUB,666139000000,0,0,120769000000,48455000000,279081000000,279070000000,344400000000,295804000000,344259000000,2062666000000,2062494000000,MOEX,80724000000,0,,0,109749000000,5027000000,53623000000,48596000000,https://financemarker.ru/fa/fa_reports/2014/SNGS20144MSFO.pdf,0,1718847000000,0,0,201551000000,12,-33783999999.999996,217369000000,Y,0,0,837734000000,0,2384986000000,0,620365000000,322320000000,МСФО,2013,1209080826648.035,35725994705,28.2580,35725994705,21.3000,7701998235,25.9070,7701998235,25.2700,6.426039545174523,19.290184585721267,7.927122040284646,1.858801075875831
1,159152000000,28649000000,-28328000000,-168489000000,181181000000,SNGS,0,RUB,957500000000,0,0,177853000000,74611000000,884833000000,884824000000,1069539000000,1007377000000,1081988000000,2909048000000,2908879000000,MOEX,22029000000,0,,0,109748000000,7135000000,69297000000,62162000000,https://cdn.financemarker.ru/reports/2014/MOEX/S/SNGS_2014_12_Y_МСФО.pdf,0,2348593000000,0,0,219192000000,12,-28649000000,162800000000,Y,0,0,890574000000,0,3306093000000,0,727774000000,397045000000,МСФО,2014,1077074682035.0499,35725994705,23.8100,35725994705,21.3000,7701998235,29.4000,7701998235,25.2700,20.374508239938017,20.506911319397485,24.914529241424344,0.5072534673761048
1,170849000000,106450000000,-60980000000,-62086000000,199004000000,SNGS,0,RUB,821273000000,0,0,221120000000,70623000000,761573000000,761558000000,919522000000,827089000000,897712000000,3582625000000,3582439000000,MOEX,28155000000,0,,0,109747000000,15852000000,108285000000,92433000000,https://cdn.financemarker.ru/reports/2015/MOEX/S/SNGS_2015_12_Y_МСФО.pdf,0,3230486000000,0,0,248014000000,12,-106450000000,243991000000,Y,0,0,1002605000000,0,4051759000000,0,758614000000,469134000000,МСФО,2015,1560520221180.4,35725994705,34.1600,35725994705,21.3000,7701998235,44.1600,7701998235,25.2700,17.536108589042247,23.086606866340713,20.67127535090734,0.6483145569010954
1,180788000000,113749000000,-56196000000,-200979000000,262432000000,SNGS,0,RUB,814939000000,0,0,212399000000,77120000000,-62033000000,-62100000000,-72197000000,-180199000000,-103079000000,3445412000000,3445167000000,MOEX,81644000000,0,,0,1836000000,8835000000,116837000000,108002000000,https://cdn.financemarker.ru/reports/2016/MOEX/S/SNGS_2016_12_Y_МСФО.pdf,0,3106646000000,0,0,263774000000,12,-113749000000,260529000000,Y,0,0,1020833000000,0,3921585000000,0,760304000000,476173000000,МСФО,2016,1352008099622.0999,35725994705,30.9300,35725994705,21.3000,7701998235,32.0700,7701998235,25.2700,-1.4299532581622456,23.50633614153848,-2.373561222191725,1.8799855685893458
1,160181000000,222261000000,43973000000,-290296000000,356084000000,SNGS,0,RUB,1268273000000,0,0,323771000000,66296000000,194718000000,194658000000,246433000000,149604000000,215900000000,3613197000000,3612899000000,MOEX,195903000000,0,,0,15518000000,16027000000,112856000000,96829000000,https://cdn.financemarker.ru/reports/2017/MOEX/S/SNGS_2017_12_Y_МСФО.pdf,0,2971417000000,0,0,302722000000,12,-222261000000,272387000000,Y,0,0,1175019000000,0,4239690000000,0,902632000000,626493000000,МСФО,2017,1206337783749.65,35725994705,27.7300,35725994705,21.3000,7701998235,28.0000,7701998235,25.2700,4.482316285464515,27.056718960588466,4.971447800921559,4.510984430495304
1,42986491000,62235108000,-23773048000,-207523492000,253669105000,SNGS,0,RUB,1203346196000,0,0,131556500000,152000806000,149736588000,149736588000,184499227000,93065141000,245065947000,3485764707000,3485764707000,MOEX,210682614000,0,,325779926000,1736555000,0,91434086000,91434086000,https://cdn.financemarker.ru/reports/2017/MOEX/S/SNGS_2017_12_Y_РСБУ.pdf,0,2495455989000,0,0,81480978000,12,-62235108000,232210019000,Y,0,96120000,1144372835000,93569907000,3698802185000,0,93569907000,213037478000,РСБУ,2017,1206337783749.65,35725994705,27.7300,35725994705,21.3000,7701998235,28.0000,7701998235,25.2700,3.4479278885136524,26.351041287610563,5.643041052774013,4.851309022986131
1,74462000000,207676000000,241000000,-176039000000,166657000000,SNGS,0,RUB,1209492000000,0,0,354637000000,30458000000,390000000000,389988000000,473331000000,424428000000,454886000000,3962557000000,3962267000000,MOEX,92195000000,0,,0,140748000000,9374000000,58277000000,48903000000,https://cdn.financemarker.ru/reports/2018/MOEX/S/SNGS_2018_6_Q_МСФО.pdf,0,3438934000000,0,0,331232000000,6,-207676000000,198666000000,6M,0,0,730194000000,0,4648426000000,0,531528000000,685869000000,МСФО,2018,1259196123733.275,35725994705,28.4550,35725994705,21.3000,7701998235,31.5000,7701998235,25.2700,8.980106461258902,16.81390160049151,10.47448820921725,2.1229394627418396
1,0,743428000000,0,0,0,SNGS,0,RUB,1147397000000,0,0,163682000000,0,309353000000,309353000000,374122000000,374122000000,374122000000,3823347000000,3823347000000,MOEX,0,0,,136719000000,109753000000,0,25554000000,25554000000,https://cdn.financemarker.ru/reports/2018/MOEX/S/SNGS_2018_6_Q_МСФО.pdf,0,2922305000000,0,0,82674000000,6,-743428000000,112930000000,Q,0,0,398727000000,23789000000,4069703000000,0,23789000000,246356000000,МСФО,2018,1259196123733.275,35725994705,28.4550,35725994705,21.3000,7701998235,31.5000,7701998235,25.2700,7.123354754786878,9.181336115414778,8.614766068440831,0
1,76829000000,264620000000,-19806000000,-113179000000,183857000000,SNGS,0,RUB,1354886000000,0,0,372643000000,36185000000,460361000000,460362000000,565564000000,495059000000,531244000000,4426344000000,4426056000000,MOEX,107028000000,0,X,0,3674970000000,7442000000,77947000000,70505000000,https://cdn.financemarker.ru/reports/2018/MOEX/S/SNGS_2018_12_Y_МСФО.pdf,0,3780905000000,0,0,336804000000,12,-264620000000,216528000000,6M,0,0,825765000000,0,5135791000000,0,609237000000,709447000000,МСФО,2018,1261584898544.175,35725994705,26.8500,35725994705,21.3000,7701998235,39.2550,7701998235,25.2700,10.600581994107692,19.01457894084294,12.232755051193946,2.4644933545022356
1,0,71924000000,0,0,0,SNGS,0,RUB,1306800000000,0,0,168831000000,0,229372000000,229372000000,285691000000,285691000000,285691000000,4281346000000,4281346000000,MOEX,0,0,,113174000000,109754000000,0,30326000000,30326000000,https://cdn.financemarker.ru/reports/2018/MOEX/S/SNGS_2018_12_Q_МСФО.pdf,0,3238046000000,0,0,94670000000,12,-71924000000,86376000000,Q,0,0,376275000000,26798000000,4544846000000,0,26798000000,263501000000,МСФО,2018,1261584898544.175,35725994705,26.8500,35725994705,21.3000,7701998235,39.2550,7701998235,25.2700,5.281662459439462,8.66434238671496,6.578498812844285,0
