amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,2935000,1294000,267513999.99999997,-253268000,-18643000,SPBE,0,RUB,0,0,0,0,0,-8241999.999999999,-8241999.999999999,-9804000,0,0,146382000,146382000,MOEX,-21578000,0,,0,233067000,0,10349000,10349000,https://cdn.financemarker.ru/reports/2013/MOEX/S/SPBE_2013_12_Y_МСФО.pdf,0,0,0,0,0,12,0,0,Y,0,0,14849000,23592000,414809000,0,0,268426999.99999997,МСФО,2013,0,0,0,132843907,118.9000,-Infinity,Infinity,NaN,-Infinity
1,21302000,105548000,-5949000,421982000,-312569000,SPBE,0,RUB,0,0,0,0,0,58576000,54921000,48576000,0,0,530488000,468298000,MOEX,-333871000,0,,0,233066000,410000,20376000,19966000,https://cdn.financemarker.ru/reports/2014/MOEX/S/SPBE_2014_12_Y_МСФО.pdf,0,0,0,0,0,12,0,0,Y,0,109506000,31225000,57992000,592392000,0,0,61904000,МСФО,2014,0,0,0,132843907,118.9000,Infinity,Infinity,NaN,-Infinity
1,5415000,147169000,-1750000,24614000,21638000,SPBE,0,RUB,0,0,0,0,0,-31831000,-29061000,-38183000,0,0,415720000,355823000,MOEX,16223000,0,,0,233064000,0,7380000,7380000,https://cdn.financemarker.ru/reports/2015/MOEX/S/SPBE_2015_6_6M_МСФО.pdf,0,0,0,0,0,6,0,0,6M,0,109505000,18571000,56754000,612025000,0,0,196306000,МСФО,2015,0,0,0,132843907,118.9000,-Infinity,Infinity,NaN,Infinity
1,-16000,253315000,9718000,-14921000,83563000,SPBE,0,RUB,0,0,0,0,0,-38349000,-37934000,-45412000,0,0,433415000,373238000,MOEX,83579000,0,X,0,3674980000,0,5421000,5421000,https://cdn.financemarker.ru/reports/2015/MOEX/S/SPBE_2015_12_Y_МСФО.pdf,0,0,0,0,0,12,0,0,6M,0,0,21549000,66961000,649667000,0,0,216252000,МСФО,2015,0,0,0,132843907,118.9000,-Infinity,Infinity,NaN,Infinity
1,5399000,253315000,7968000,9693000,105201000,SPBE,0,RUB,0,0,0,0,0,-70180000,-66995000,-83595000,0,0,433415000,373238000,MOEX,99802000,0,,0,233065000,0,12801000,12801000,https://cdn.financemarker.ru/reports/2015/MOEX/S/SPBE_2015_12_Y_МСФО.pdf,0,0,0,0,0,12,0,0,Y,0,109504000,40120000,123715000,649667000,0,0,216252000,МСФО,2015,0,0,0,132843907,118.9000,-Infinity,Infinity,NaN,Infinity
1,113000,278920000,20100000,27232000,-147000,SPBE,0,RUB,0,0,0,0,0,-33516000,-31382000,-41325000,0,0,415046000,357003000,MOEX,-260000,0,,0,233063000,369000,5513000,5144000,https://cdn.financemarker.ru/reports/2016/MOEX/S/SPBE_2016_6_6M_МСФО.pdf,0,0,0,0,0,6,0,0,6M,0,109503000,16845000,55237000,661093000,0,0,246047000,МСФО,2016,0,0,0,132843907,118.9000,-Infinity,Infinity,NaN,-Infinity
1,2265000,272096000,13500000,3936000,-15550000,SPBE,0,RUB,0,0,0,0,0,-33141000,-29653000,-34445000,0,0,430329000,380616000,MOEX,-17815000,0,X,0,3674981000,697000,4856000,4159000,https://cdn.financemarker.ru/reports/2016/MOEX/S/SPBE_2016_12_6M_МСФО.pdf,0,0,0,0,0,12,0,0,6M,0,0,20129000,53188000,695490000,0,0,265161000,МСФО,2016,0,0,0,132843907,118.9000,-Infinity,Infinity,NaN,-Infinity
1,2378000,272096000,33600000,31168000,-15697000,SPBE,0,RUB,0,0,0,0,0,-66657000,-61035000,-75770000,0,0,430329000,380616000,MOEX,-18075000,0,,0,233034000,1066000,10369000,9303000,https://cdn.financemarker.ru/reports/2016/MOEX/S/SPBE_2016_12_6M_МСФО.pdf,0,0,0,0,0,12,0,0,Y,0,109502000,36974000,108425000,695490000,0,0,265161000,МСФО,2016,0,0,0,132843907,118.9000,-Infinity,Infinity,NaN,-Infinity
1,8000,278034000,13524000,5180000,-7970000,SPBE,0,RUB,0,0,0,0,0,-36111000,-32750000,-44361000,0,0,401724000,355372000,MOEX,-7978000,0,,0,233062000,308000,6084000,5776000,https://cdn.financemarker.ru/reports/2017/MOEX/S/SPBE_2017_6_6M_МСФО.pdf,0,0,0,0,0,6,0,0,6M,0,109501000,23096000,64385000,711032000,0,0,309308000,МСФО,2017,0,0,0,132843907,118.9000,-Infinity,Infinity,NaN,-Infinity
1,1172000,114382000,21676000,-6243000,-164776000,SPBE,0,RUB,0,0,0,0,0,-40045000,-36604000,-49171000,0,0,614303000,569518000,MOEX,-165948000,0,X,0,3674982000,215000,5578000,5363000,https://cdn.financemarker.ru/reports/2017/MOEX/S/SPBE_2017_12_Y_МСФО.pdf,0,0,0,0,0,12,0,0,6M,0,0,36566000,4495000,1027182000,0,0,412879000,МСФО,2017,0,0,0,132843907,118.9000,-Infinity,Infinity,NaN,-Infinity
