amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,1148000000,2957000000,-8035000000,3886000000,4017000000,SVAV,0,RUB,20947000000,10983000000,0,28433000000,1621000000,4694000000,4594000000,6275000000,8556000000,6269000000,13554000000,7377000000,MOEX,2869000000,0,,12212000000,15539000000,2281000000,0,-2281000000,https://cdn.financemarker.ru/reports/2011/MOEX/S/SVAV_2011_12_Y_МСФО.pdf,http://sollers-auto.com/ru/press-center/news/index.php?from35=21&id35=628,28147000000,5851000000,0,7107000000,12,13877000000,8556000000,Y,0,0,69531000000,7560000000,49094000000,16834000000,3656000000,35540000000,МСФО,2011,10353015033.900002,34270159,302.1000,34270159,207.0000,134.0524857208862,2028.908007109042,182.92882738011224,83.71714878825044
1,917000000,2560000000,-6144000000,-687000000,6434000000,SVAV,0,RUB,17110000000,6698000000,0,21666000000,1113000000,5881000000,5843000000,7584000000,8394000000,7652000000,19880000000,12838000000,MOEX,5517000000,0,,14074000000,128000000,810000000,0,-810000000,https://cdn.financemarker.ru/reports/2012/MOEX/S/SVAV_2012_12_Y_МСФО.pdf,http://www.sollers-auto.com/ru/press-center/news/index.php?from35=18&id35=679,29063000000,3742000000,0,4627000000,12,7880000000,7245000000,Y,0,0,65549000000,7756000000,46173000000,10440000000,6829000000,26293000000,МСФО,2012,23296854088.199997,34270159,679.8000,34270159,207.0000,170.49818765066132,1912.713623534691,223.28463664262543,160.98553846802986
1,1162000000,6020000000,-3463000000,760000000,6163000000,SVAV,0,RUB,17480000000,3795000000,0,17613000000,1146000000,3578000000,3625000000,4671000000,5815000000,6387000000,20776000000,15693000000,MOEX,5001000000,0,,11439000000,129000000,1144000000,0,-1144000000,https://cdn.financemarker.ru/reports/2013/MOEX/S/SVAV_2013_12_Y_МСФО.pdf,http://sollers-auto.com/common/img/uploaded/investor_relations/IFRS_Results_2015_rus.pdf,27141000000,5716000000,0,6232000000,12,3491000000,5241000000,Y,0,0,61317000000,6721000000,44621000000,9511000000,6198000000,23845000000,МСФО,2013,28975419434.5,34270159,845.5000,34270159,207.0000,105.7771573222056,1789.2242635932912,186.37205622535922,145.92870724644143
1,1386000000,6484000000,-1225000000,-182000000,1871000000,SVAV,0,RUB,18219000000,8514000000,0,23375000000,994000000,-3736000000,-3739000000,-3212000000,-1264000000,4309000000,13460000000,12368000000,MOEX,485000000,0,,8197000000,130000000,1948000000,0,-1948000000,https://cdn.financemarker.ru/reports/2014/MOEX/S/SVAV_2014_12_Y_МСФО.pdf,http://www.sollers-auto.com/ru/press-center/news/index.php?from35=13&id35=770,22961000000,3396000000,0,4345000000,12,5426000000,3561000000,Y,0,109567000000,47907000000,5318000000,41180000000,11910000000,4636000000,27720000000,МСФО,2014,11857475014,34270159,346.0000,34270159,207.0000,-109.10366654557978,1397.9217312648009,125.73621266245074,14.152254152074404
1,677000000,1024000000,-4156000000,-657000000,-647000000,SVAV,0,RUB,11950000000,4646000000,0,17076000000,549000000,938000000,940000000,862000000,1244000000,1790000000,14201000000,13726000000,MOEX,-1324000000,0,,3184000000,141982000000,382000000,0,-382000000,https://cdn.financemarker.ru/reports/2015/MOEX/S/SVAV_2015_6_6M_МСФО.pdf,http://sollers-auto.com/ru/press-center/news/index.php?from35=13&id35=778,23263000000,3306000000,0,3936000000,6,6928000000,1240000000,6M,0,109566000000,15690000000,1925000000,35213000000,7952000000,1944000000,21012000000,МСФО,2015,15181680437,34270159,443.0000,34270159,207.0000,27.429111140102968,457.832716795974,52.23203078806842,-38.634194839889716
1,629000000,711000000,-1634000000,719000000,602000000,SVAV,0,RUB,10304000000,2386000000,0,13015000000,592000000,2175000000,2192000000,2761000000,3514000000,2221000000,16377000000,15922000000,MOEX,-27000000,0,X,4793000000,3674997000000,753000000,0,-753000000,https://cdn.financemarker.ru/reports/2015/MOEX/S/SVAV_2015_12_Y_МСФО.pdf,http://sollers-auto.com/common/img/uploaded/investor_relations/IFRS_Results_2015_rus.pdf,24064000000,3868000000,0,4976000000,12,5543000000,1777000000,6M,0,0,22659000000,3346000000,34368000000,6254000000,3016000000,17991000000,МСФО,2015,13742333759,34270159,401.0000,34270159,207.0000,63.962352786282665,661.1874780038225,64.80857004486032,-0.7878574476412554
1,1306000000,711000000,-5790000000,62000000,-45000000,SVAV,0,RUB,10304000000,2386000000,0,13015000000,1141000000,3113000000,3132000000,3623000000,4758000000,4011000000,16377000000,15922000000,MOEX,-1351000000,0,,7977000000,131000000,1135000000,0,-1135000000,https://cdn.financemarker.ru/reports/2015/MOEX/S/SVAV_2015_12_Y_МСФО.pdf,http://sollers-auto.com/common/img/uploaded/investor_relations/IFRS_Results_2015_rus.pdf,24064000000,3868000000,0,4976000000,12,5543000000,3017000000,Y,0,109565000000,38349000000,5271000000,34368000000,6254000000,4960000000,17991000000,МСФО,2015,13742333759,34270159,401.0000,34270159,207.0000,91.39146392638564,1119.0201947997966,117.04060083292873,-39.42205228753097
1,551000000,2620000000,481000000,-534000000,1962000000,SVAV,0,RUB,12818000000,2002000000,0,13829000000,542000000,34000000,40000000,169000000,276000000,1456000000,16411000000,15962000000,MOEX,1411000000,0,,3493000000,140935000000,107000000,0,-107000000,https://cdn.financemarker.ru/reports/2016/MOEX/S/SVAV_2016_6_6M_МСФО.pdf,http://sollers-auto.com/common/img/uploaded/investor_relations/IFRS_Results_1H2016_eng.pdf,23086000000,4741000000,0,5664000000,6,4123000000,1316000000,6M,0,109564000000,13426000000,2289000000,35904000000,6743000000,2177000000,19493000000,МСФО,2016,14770438529,34270159,431.0000,34270159,207.0000,1.1671962187277858,391.76941081598136,42.48594236169141,41.172846615622646
1,1019000000,2336000000,360000000,-1140000000,496000000,SVAV,0,RUB,16145000000,3656000000,0,18157000000,539000000,1567000000,1562000000,1568000000,1700000000,2447000000,17978000000,17524000000,MOEX,-523000000,0,X,3777000000,3674998000000,132000000,0,-132000000,https://cdn.financemarker.ru/reports/2016/MOEX/S/SVAV_2016_12_Y_МСФО.pdf,http://sollers-auto.com/common/img/uploaded/investor_relations/IFRS_Results_2016.pdf,25058000000,3420000000,0,5068000000,12,4740000000,953000000,6M,0,0,22195000000,2788000000,41203000000,7076000000,2824000000,23225000000,МСФО,2016,18780047132,34270159,548.0000,34270159,207.0000,45.57901234132004,647.6480018665802,71.4032286806723,-15.261090559865801
1,1570000000,2336000000,841000000,-1674000000,2458000000,SVAV,0,RUB,16145000000,3656000000,0,18157000000,1081000000,1601000000,1602000000,1737000000,1976000000,3903000000,17978000000,17524000000,MOEX,888000000,0,,7270000000,132000000,239000000,0,-239000000,https://cdn.financemarker.ru/reports/2016/MOEX/S/SVAV_2016_12_Y_МСФО.pdf,http://sollers-auto.com/common/img/uploaded/investor_relations/IFRS_Results_2016.pdf,25058000000,3420000000,0,5068000000,12,4740000000,2269000000,Y,0,109563000000,35621000000,5077000000,41203000000,7076000000,5001000000,23225000000,МСФО,2016,18780047132,34270159,548.0000,34270159,207.0000,46.746208560047826,1039.4174126825615,113.88917104236371,25.911756055756847
1,511000000,1041000000,-532000000,-718000000,-45000000,SVAV,0,RUB,13133000000,3846000000,0,15418000000,678000000,575000000,574000000,828000000,1082000000,1687000000,18553000000,18098000000,MOEX,-556000000,0,,3445000000,141763000000,254000000,0,-254000000,https://cdn.financemarker.ru/reports/2017/MOEX/S/SVAV_2017_6_6M_МСФО.pdf,http://sollers-auto.com/common/img/uploaded/investor_relations/IFRS_Results_1H2017_eng.pdf,25139000000,2716000000,0,4301000000,6,5521000000,1012000000,6M,0,109562000000,16012000000,2439000000,38272000000,6562000000,2433000000,19719000000,МСФО,2017,20219393810,34270159,590.0000,34270159,207.0000,16.749265738743727,467.22864635673267,49.22650052484437,-16.224027440316224
