amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,num2,price2,num2_day,price2_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,49929000000,18079000000,-24387000000,-44368000000,77576000000,TATN,0,RUB,151293000000,41997000000,0,91298000000,12223000000,64210000000,62104000000,86117000000,89303000000,96100000000,385427000000,373825000000,MOEX,27647000000,0,,0,15562000000,5842000000,2656000000,-3186000000,https://cdn.financemarker.ru/reports/2011/MOEX/T/TATN_2011_12_Y_МСФО.pdf,https://tatneft.ru/storage/block_editor/files/69a4fc0fdcc58bd732551125c8fcdc3ed4c3a5f5.pdf,456092000000,59747000000,0,130660000000,12,87800000000,97336000000,Y,0,0,417586000000,33986000000,607385000000,101744000000,74760000000,221958000000,МСФО,2011,354303622940,2178690700,156.6500,2178690700,386.5000,147508500,88.2100,147508500,372.8000,26.6976276150383,179.51429095152298,41.31202521263011,11.885052664449374
1,50795000000,14452000000,-45805000000,-48519000000,90637000000,TATN,0,RUB,140332000000,32096000000,0,76550000000,17770000000,78448000000,73473000000,101818000000,104924000000,119400000000,446233000000,429954000000,MOEX,39842000000,0,,0,111000000,6978000000,3872000000,-3106000000,https://cdn.financemarker.ru/reports/2012/MOEX/T/TATN_2012_12_Y_МСФО.pdf,https://tatneft.ru/storage/block_editor/files/32aa47f71039cf0eaf16395409f98f262cedbd16.pdf,490275000000,37991000000,0,107824000000,12,57000000000,103672000000,Y,0,0,444099000000,40910000000,630607000000,70087000000,86675000000,184374000000,МСФО,2012,489779254050,2178690700,217.6500,2178690700,386.5000,147508500,105.6700,147508500,372.8000,31.584999255437797,190.91185312074737,51.32836431205032,17.12750997421029
1,56827000000,30452000000,-44072000000,-57866000000,118149000000,TATN,0,RUB,151998000000,36561000000,0,83173000000,19323000000,78344000000,70832000000,101291000000,104850000000,123700000000,503982000000,481412000000,MOEX,61322000000,0,,0,113000000,6924000000,3365000000,-3559000000,https://cdn.financemarker.ru/reports/2013/MOEX/T/TATN_2013_12_Y_МСФО.pdf,https://tatneft.ru/storage/block_editor/files/d5d20a6206b0dc2669e7c556f0a1d94a87ff0e14.pdf,522091000000,12785000000,0,86934000000,12,19800000000,103200000000,Y,0,0,454983000000,44123000000,674089000000,49346000000,89634000000,170107000000,МСФО,2013,468907289376,2178690700,207.0300,2178690700,386.5000,147508500,121.0300,147508500,372.8000,30.449670862237422,195.59073014899153,53.17687324456134,26.361456920800247
1,45663557000,20649731000,-45758762000,-18698589000,77564681000,TATN,0,RUB,301405865000,29855108000,0,67190874999.99999,14177109000,63850140000,63850140000,83484947000,84539808000,98716917000,421696037000,421696037000,MOEX,31901124000,0,,134991918999.99998,1713609000,4337004000,3282143000,-1054860999.9999999,https://cdn.financemarker.ru/reports/2013/MOEX/T/TATN_2013_12_Y_РСБУ.pdf,0,231911400000,7067728000,0,44430353000,12,16273105000,97737716000,Y,0,96054000,363531273000,37252177000,533317265000,36922836000,37254203000,111621228000,РСБУ,2013,468907289376,2178690700,207.0300,2178690700,386.5000,147508500,121.0300,147508500,372.8000,27.448268402809184,156.27693148548929,42.437000666151036,13.713840156079497
1,62574000000,43183000000,-54192000000,-71858000000,136483000000,TATN,0,RUB,180602000000,15859000000,0,68464000000,21121000000,97677000000,92227000000,123973000000,122511000000,127700000000,582244000000,555965000000,MOEX,73909000000,0,,0,114000000,5482000000,6944000000,1462000000,https://cdn.financemarker.ru/reports/2014/MOEX/T/TATN_2014_12_Y_МСФО.pdf,https://tatneft.ru/storage/block_editor/files/45e56685878cddd04575c17f4b00bafa7d5f2731.pdf,552332000000,12888000000,0,82226000000,12,-12800000000,108332000000,Y,0,109710000000,476360000000,43355000000,732934000000,28747000000,102614000000,150690000000,МСФО,2014,525499253870,2178690700,232.1000,2178690700,386.5000,147508500,134.4000,147508500,372.8000,39.64707751597542,204.78039885836088,54.89641643759485,31.77242946347845
1,46088085000,34916922000,-51627118000,-34529927000,91639254000,TATN,0,RUB,355268267000,8739722000,0,50771082000,16302006000,82061062000,82061062000,104058430000,100903197000,117205203000,485089669000,485089669000,MOEX,45551169000,0,,119181916000,1713608000,3307602000,6462835000,3155233000,https://cdn.financemarker.ru/reports/2014/MOEX/T/TATN_2014_12_Y_РСБУ.pdf,0,224085253000,3144387000,0,43492769000,12,-23032813000,91680340000,Y,0,96053000,392357674000,27499377000,579353520000,11884109000,27501576000,94263851000,РСБУ,2014,525499253870,2178690700,232.1000,2178690700,386.5000,147508500,134.4000,147508500,372.8000,35.276885143800236,168.66899189029039,50.384852251690226,19.581800647167277
1,92872000000,24918000000,-38823000000,-119758000000,140516000000,TATN,0,RUB,179229000000,5281000000,0,68911000000,25052000000,105772000000,98930000000,137628000000,134296000000,155600000000,657658000000,628314000000,MOEX,47644000000,0,,0,115000000,7691000000,11023000000,3332000000,https://cdn.financemarker.ru/reports/2015/MOEX/T/TATN_2015_12_Y_МСФО.pdf,https://tatneft.ru/storage/block_editor/files/45e56685878cddd04575c17f4b00bafa7d5f2731.pdf,619462000000,12880000000,0,72122000000,12,-6400000000,134185000000,Y,0,109706000000,552712000000,48871000000,798691000000,18161000000,108294000000,141033000000,МСФО,2015,725036240030,2178690700,319.4000,2178690700,386.5000,147508500,197.7000,147508500,372.8000,42.528602021701325,237.60303932698454,66.89023020900359,20.481478972222156
1,72922277000,8393083000,-33671918000,-73686570000,80635342000,TATN,0,RUB,174719497000,2396685000,0,51406696000,18357790000,85008738000,85008738000,111508861000,105464154000,123821944000,545328976000,545328976000,MOEX,7713065000,0,,156110742000,1713607000,3801044000,9845751000,6044707000,https://cdn.financemarker.ru/reports/2015/MOEX/T/TATN_2015_12_Y_РСБУ.pdf,0,465672878000,1568072000,0,43656703000,12,-4428326000,119421151000,Y,0,96052000,462962074000,36617097000,640392375000,3964757000,36689591000,95063399000,РСБУ,2015,725036240030,2178690700,319.4000,2178690700,386.5000,147508500,197.7000,147508500,372.8000,36.5440491940673,199.0208207448442,53.229295238344164,3.3157371045437554
1,95669000000,77106000000,-39964000000,-47436000000,141371000000,TATN,0,RUB,332496000000,19288000000,0,286363000000,21626000000,106130000000,107389000000,140971000000,138121000000,165600000000,708904000000,703511000000,MOEX,45702000000,0,,0,888000000,5105000000,7955000000,2850000000,https://cdn.financemarker.ru/reports/2016/MOEX/T/TATN_2016_12_Y_МСФО.pdf,https://tatneft.ru/storage/block_editor/files/7681f3872f80a509bf66a85a98f4ff2aa3bc4e32.pdf,762101000000,34842000000,0,99330000000,12,-22976000000,144084000000,Y,0,109701000000,580127000000,46754000000,1094597000000,54130000000,119480000000,385693000000,МСФО,2016,951825206535,2178690700,421.0500,2178690700,386.5000,147508500,233.8000,147508500,372.8000,46.16500598916894,249.388358486238,71.18908819158737,19.646640752004384
1,73217091000,21949639000,-24285546000,-66957797000,105279299000,TATN,0,RUB,204416748000,4207953000,0,62911407000,21659769000,104824049000,104824049000,133564356000,132158520000,153818289000,624417269000,624417269000,MOEX,32062208000,0,,173651556000,1713606000,3451408000,4857244000,1405836000,https://cdn.financemarker.ru/reports/2016/MOEX/T/TATN_2016_12_Y_РСБУ.pdf,0,523885015000,370000000,0,40973087000,12,-17371686000,136603899000,Y,0,96051000,486176316000,36919888000,728301763000,4577953000,37047657000,103884494000,РСБУ,2016,951825206535,2178690700,421.0500,2178690700,386.5000,147508500,233.8000,147508500,372.8000,45.06236998104032,209.00029369797738,66.12429795350286,13.78308788000615
