amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,1746037000,37351000,-386912000,-1791948000,1847154000,TTLK,0,RUB,1206968000,988619000,4000000,2433790000,1276077000,825753000,825753000,1053530000,1249932000,2526009000,7363199000,7363199000,MOEX,101117000,0,,0,196922000,210431000,14029000,-196402000,https://cdn.financemarker.ru/reports/2011/MOEX/T/TTLK_2011_12_Y_МСФО.pdf,0,11031186000,1614458000,1265000,2441165000,12,2565726000,1259950000,Y,0,58469000,6712122000,0,12238154000,2603077000,-1259950000,4874955000,МСФО,2011,4200061244.6000004,20843976400,0.2015,20843976400,0.4750,0.03961590553326476,0.32201734789912734,0.12118652178094003,0.0048511377128598165
1,1440796000,185973000,-525255000,-1356965000,2030842000,TTLK,0,RUB,1504711000,1772240000,7277000,3101636000,1395420000,798376000,798376000,1014330000,1214739000,2610159000,7958263000,7958263000,MOEX,590046000,0,,0,196921000,203389000,2980000,-200409000,https://cdn.financemarker.ru/reports/2012/MOEX/T/TTLK_2012_12_Y_МСФО.pdf,0,10971722000,525152000,2240000,1416534000,12,2111419000,1208413000,Y,0,58468000,7079528000,0,12476433000,2297392000,-1208413000,4518170000,МСФО,2012,3606007917.2,20843976400,0.1730,20843976400,0.4750,0.03830248051902419,0.3396438311070051,0.12522365933977933,0.02830774650080682
1,1043967000,320008000,-336785000,-1770274000,2241094000,TTLK,0,RUB,1647779000,943745000,7725000,2287445000,1563864000,595984000,595984000,743348000,923093000,2486957000,8345292000,8345292000,MOEX,1197127000,0,,0,139885000,184632000,4887000,-179745000,https://cdn.financemarker.ru/reports/2013/MOEX/T/TTLK_2013_12_Y_МСФО.pdf,0,11245700000,1241491000,3072000,2260742000,12,1865228000,930594000,Y,0,58467000,7173487000,0,12893479000,2185236000,-930594000,4548187000,МСФО,2013,3049473747.32,20843976400,0.1463,20843976400,0.4750,0.0285926249657431,0.3441515602560364,0.11931298291049687,0.05743275548901504
1,2176863000,643878000,630400000,-2131755000,1825225000,TTLK,0,RUB,2399496000,898832000,7760000,3855387000,1627100000,-1989040000,-1989040000,-1836416000,-1768643000,-141543000,6170630000,6170630000,MOEX,-351638000,0,,0,139886000,88955000,21182000,-67773000,https://cdn.financemarker.ru/reports/2014/MOEX/T/TTLK_2014_12_Y_МСФО.pdf,0,10687840000,2169500000,3278000,3061319000,12,2424454000,-1265307000,Y,0,58466000,7464384000,0,13087336000,3068332000,1265307000,6916706000,МСФО,2014,2803514825.8,20843976400,0.1345,20843976400,0.4750,-0.09542517041038293,0.3581074866310058,-0.0067905949077931215,-0.01687000566744069
1,1135728000,58931000,-445738000,-1090741000,951532000,TTLK,0,RUB,1783386000,1329010000,4929000,3558357000,724912000,557647000,557647000,734839000,738470000,1463382000,6626051000,6626051000,MOEX,-184196000,0,,0,141943000,32312000,28681000,-3631000,https://cdn.financemarker.ru/reports/2015/MOEX/T/TTLK_2015_6_6M_МСФО.pdf,0,10673547000,1312833000,1411000,2272525000,6,2582912000,597267000,6M,0,58473000,3890956000,0,12456933000,2641843000,-597267000,5830882000,МСФО,2015,2438745238.8,20843976400,0.1170,20843976400,0.4750,0.026753388571290074,0.18667052415200394,0.07020646981734253,-0.008836893520950254
1,1170276000,135419000,175877000,-1167489000,1068100000,TTLK,0,RUB,1748285000,1498766000,2723000,3239631000,870677000,-819773000,-819773000,-624193000,-518635000,352042000,5793780000,5793780000,MOEX,-102176000,0,X,0,3675163000,111161000,5603000,-105558000,https://cdn.financemarker.ru/reports/2015/MOEX/T/TTLK_2015_12_Y_МСФО.pdf,0,9693860000,1421333000,555000,2408734000,12,2784680000,-314599000,6M,0,0,4012331000,0,11442145000,2920099000,314599000,5648365000,МСФО,2015,2949422660.6,20843976400,0.1415,20843976400,0.4750,-0.03932901209771088,0.1924935493594207,0.01688938776576239,-0.004901943757717937
1,2306004000,135419000,-269861000,-2258230000,2019632000,TTLK,0,RUB,1748285000,1498766000,2723000,3239631000,1595589000,-262126000,-262126000,110646000,219835000,1815424000,5793780000,5793780000,MOEX,-286372000,0,,0,139887000,143473000,34284000,-109189000,https://cdn.financemarker.ru/reports/2015/MOEX/T/TTLK_2015_12_Y_МСФО.pdf,0,9693860000,1421333000,555000,2408734000,12,2784680000,282668000,Y,0,58465000,7903287000,0,11442145000,2920099000,-282668000,5648365000,МСФО,2015,2949422660.6,20843976400,0.1415,20843976400,0.4750,-0.012575623526420804,0.3791640735114246,0.08709585758310492,-0.013738837278668191
1,923027000,171398000,272932000,-923528000,686574000,TTLK,0,RUB,2100778000,830718000,1411000,2719535000,779095000,195716000,195716000,376398000,436690000,1215785000,5757231000,5757231000,MOEX,-236453000,0,,0,140862000,65023000,4731000,-60292000,https://cdn.financemarker.ru/reports/2016/MOEX/T/TTLK_2016_6_6M_МСФО.pdf,0,10057467000,2594333000,0,3681479000,6,3253653000,382040000,6M,0,58472000,4053110000,0,12158245000,3425051000,-382040000,6401014000,МСФО,2016,2803514825.8,20843976400,0.1345,20843976400,0.4750,0.009389571176064083,0.19444994190264003,0.05832788219813951,-0.011343948748665825
1,879861000,183037000,-217762000,-863615000,1093017000,TTLK,0,RUB,1975363000,794942000,555000,2526081000,-610993000,-40291000,-40291000,128498000,374135000,-236858000,5925746000,5925746000,MOEX,213156000,0,X,0,3675164000,251206000,5569000,-245637000,https://cdn.financemarker.ru/reports/2016/MOEX/T/TTLK_2016_12_Y_МСФО.pdf,0,9921273000,2412833000,0,3444809000,12,3024738000,336538000,6M,0,0,4152758000,0,11896636000,3207775000,-336538000,5970890000,МСФО,2016,3147440436.4,20843976400,0.1510,20843976400,0.4750,-0.0019329805036624394,0.19923060361937467,-0.01136337882247842,0.010226263737278075
1,1802888000,183037000,55170000,-1787143000,1779591000,TTLK,0,RUB,1975363000,794942000,555000,2526081000,168102000,155425000,155425000,504896000,810825000,978927000,5925746000,5925746000,MOEX,-23297000,0,,0,140878000,316229000,10300000,-305929000,https://cdn.financemarker.ru/reports/2016/MOEX/T/TTLK_2016_12_Y_МСФО.pdf,0,9921273000,2412833000,0,3444809000,12,3024738000,718578000,Y,0,58464000,8205868000,0,11896636000,3207775000,-718578000,5970890000,МСФО,2016,3147440436.4,20843976400,0.1510,20843976400,0.4750,0.007456590672401644,0.3936805455220147,0.04696450337566108,-0.0011176850113877503
1,569543000,62101000,137677000,-725665000,467052000,TTLK,0,RUB,1843725000,292699000,0,1954948999.9999998,856942000,117176000,117176000,215110000,352678000,1209620000,5856865000,5856865000,MOEX,-102491000,0,,0,141798000,140002000,2434000,-137568000,https://cdn.financemarker.ru/reports/2017/MOEX/T/TTLK_2017_6_6M_МСФО.pdf,0,10182275000,3236079000,0,4214186000,6,3466677000,314924000,6M,0,51057000,4169551000,0,12026000000,3528778000,-314924000,6169135000,МСФО,2017,2980688625.2,20843976400,0.1430,20843976400,0.4750,0.0056215761211474025,0.2000362560379794,0.058032113296769994,-0.004917056037349956
1,697163000,406882000,-346068000,-674416000,1365263000,TTLK,0,RUB,2285738000,4347000,0,2073129000,856969000,87534000,87534000,186480000,276163000,1133132000,5915899000,5915899000,MOEX,668100000,0,X,0,3675165000,97797000,8114000,-89683000,https://cdn.financemarker.ru/reports/2017/MOEX/T/TTLK_2017_12_Y_МСФО.pdf,0,9957784000,3174500000,0,4254495000,12,2771965000,291678000,6M,0,0,4396374000,0,12243522000,3178847000,-291678000,6327624000,МСФО,2017,2991110613.3999996,20843976400,0.1435,20843976400,0.4750,0.004199486620028989,0.2109182008093235,0.05436256394917047,0.03205242546714839
1,1266706000,406882000,-208391000,-1400081000,1832315000,TTLK,0,RUB,2285738000,4347000,0,2073129000,1713911000,204710000,204710000,401590000,628841000,2342752000,5915899000,5915899000,MOEX,565609000,0,,0,141821000,237799000,10548000,-227251000,https://cdn.financemarker.ru/reports/2017/MOEX/T/TTLK_2017_12_Y_МСФО.pdf,0,9957784000,3174500000,0,4254495000,12,2771965000,606602000,Y,0,51048000,8565925000,0,12243522000,3178847000,-606602000,6327624000,МСФО,2017,2991110613.3999996,20843976400,0.1435,20843976400,0.4750,0.009821062741176391,0.4109544568473029,0.11239467724594046,0.027135369429798432
1,566537000,382224000,-468011000,-540957000,984310000,TTLK,0,RUB,2283930000,315566000,0,2305494000,862815000,193508000,193508000,351993000,354393000,1217208000,5696311000,5696311000,MOEX,417773000,0,,0,140535000,62080000,59680000,-2400000,https://cdn.financemarker.ru/reports/2018/MOEX/T/TTLK_2018_6_6M_МСФО.pdf,0,9505072000,2760051000,0,3787197000,6,2693393000,371237000,6M,0,51056000,4469762000,0,11789002000,3075617000,-371237000,6092691000,МСФО,2018,3585163940.7999997,20843976400,0.1720,20843976400,0.4750,0.009283641292167267,0.21443902613514762,0.05839615132168351,0.020042864757801204
1,677170000,332267000,-127757000,-1032228000,1110028000,TTLK,0,RUB,2595044000,319326000,0,2237791000,852303000,208066000,208066000,355103000,465605000,1317908000,5915124000,5915124000,MOEX,432858000,0,X,0,3675166000,166535000,56033000,-110502000,https://cdn.financemarker.ru/reports/2018/MOEX/T/TTLK_2018_12_Y_МСФО.pdf,0,9151040000,2592349000,0,3593169000,12,2579408000,485182000,6M,0,0,4725572000,0,11746084000,2911675000,-485182000,5830960000,МСФО,2018,3610176712.48,20843976400,0.1732,20843976400,0.4750,0.00998206848862101,0.2267116364610737,0.06322728325483999,0.02076657503795677
1,1243707000,332267000,-595768000,-1573185000,2094338000,TTLK,0,RUB,2595044000,319326000,0,2237791000,1715118000,401574000,401574000,707096000,819998000,2535116000,5915124000,5915124000,MOEX,850631000,0,,0,139889000,228615000,115713000,-112902000,https://cdn.financemarker.ru/reports/2018/MOEX/T/TTLK_2018_12_Y_МСФО.pdf,0,9151040000,2592349000,0,3593169000,12,2579408000,856419000,Y,0,51047000,9195334000,0,11746084000,2911675000,-856419000,5830960000,МСФО,2018,3610176712.48,20843976400,0.1732,20843976400,0.4750,0.019265709780788277,0.4411506625962213,0.12162343457652351,0.04080943979575797
