amount,capex,cash_and_equiv,cff,cfi,cfo,code,commission_net,curr,current_assets,current_debt,current_lease,current_liabilities,depr_depl_amort,earnings,earnings_stock_holders,earnings_wo_tax,ebit,ebitda,equity,equity_stock_holders,exchange,fcf,ffo,gen,gross_profit,id,interest_expense,interest_income,interest_net,link,link_press,long_term_assets,long_term_debt,long_term_lease,long_term_liabilities,month,net_debt,operating_income,period,preliminary,ref_id,revenue,sel_gen_adm_expenses,total_assets,total_debt,total_expenses,total_liabilities,type,year,capital,num1,price1,num1_day,price1_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1,5530000000,6322000000,11598000000,-17552000000,7506000000,YNDX,0,RUB,15066000000,0,0,4711000000,1874000000,5773000000,5773000000,7318000000,7096000000,9200000000,28953000000,28953000000,MOEX,1976000000,0,,15326000000,15735000000,0,222000000,222000000,https://cdn.financemarker.ru/reports/2011/MOEX/Y/YNDX_2011_12_Y_МСФО.pdf,https://ir.yandex/index.php/news-releases/news-release-details/yandex-announces-fourth-quarter-and-full-year-2011-financial,19010000000,0,0,412000000,12,-6322000000,7034000000,Y,0,0,20033000000,3294000000,34076000000,0,8292000000,5123000000,МСФО,2011,164370159461.2144,259151342,634.2632,323800479,2083.8000,22.27655838263033,77.30232012458573,35.50049144642284,7.624888162840384
1,3984000000,7425000000,361000000,-10190000000,11529000000,YNDX,0,RUB,18191000000,0,0,6682000000,2951000000,8223000000,8223000000,10574000000,9572000000,13100000000,37047000000,37047000000,MOEX,7545000000,0,,21579000000,26000000,0,1002000000,1002000000,https://cdn.financemarker.ru/reports/2012/MOEX/Y/YNDX_2012_12_Y_МСФО.pdf,https://ir.yandex/index.php/news-releases/news-release-details/yandex-announces-fourth-quarter-and-full-year-2012-financial,26094000000,0,0,556000000,12,-7425000000,9454000000,Y,0,0,28767000000,4900000000,44285000000,0,12125000000,7238000000,МСФО,2012,169544064173.97598,259151342,654.2280,323800479,2083.8000,31.730493604775546,111.00463450426585,50.549612820449916,29.114261735136992
1,4936000000,33394000000,11461000000,-710000000,14705000000,YNDX,0,RUB,38883000000,0,0,6915000000,3719000000,13474000000,13474000000,16712999999.999998,14996000000,17367000000,46597000000,46597000000,MOEX,9769000000,0,,28896000000,27000000,0,1717000000,1717000000,https://cdn.financemarker.ru/reports/2013/MOEX/Y/YNDX_2013_12_Y_МСФО.pdf,https://yandex.gcs-web.com/index.php/static-files/19158224-df9a-4254-8ac7-0d1f3ec94dbc,32428000000,16429000000,0,17799000000,12,-16964999999.999998,12837000000,Y,0,0,39502000000,6537000000,71311000000,16429000000,16059000000,24714000000,МСФО,2013,365990370009.63,259151342,1412.2650,323800479,2083.8000,51.99278497272841,152.42830577354295,67.01489510326364,37.696119667402684
1,9679000000,17645000000,-11707000000,-28589000000,15546000000,YNDX,0,RUB,35579000000,0,0,9791000000,5295000000,17020000000,17020000000,22475000000,21619000000,21052000000,55736000000,55736000000,MOEX,5867000000,0,,36431000000,28000000,0,856000000,856000000,https://cdn.financemarker.ru/reports/2014/MOEX/Y/YNDX_2014_12_Y_МСФО.pdf,https://yandex.gcs-web.com/index.php/static-files/42561456-c094-40aa-9995-c6d1e15c7a72,59015000000,26123000000,0,29067000000,12,8478000000,15323000000,Y,0,0,50767000000,7782000000,94594000000,26123000000,21108000000,38858000000,МСФО,2014,270841315680,260424342,1040.0000,323800479,2083.8000,65.35487377750579,194.93953449251683,80.83729745969752,22.52861600779239
1,13045000000,24238000000,-6023000000,-11676000000,19375000000,YNDX,0,RUB,53229000000,0,0,11669000000,8758000000,9679000000,9679000000,13596000000,11852000000,20969000000,70097000000,70097000000,MOEX,6330000000,0,,42982000000,29000000,1293000000,3037000000,1744000000,https://cdn.financemarker.ru/reports/2015/MOEX/Y/YNDX_2015_12_Y_МСФО.pdf,https://yandex.gcs-web.com/index.php/static-files/70f66f2c-982f-4899-b5db-89ab562e5f46,58589000000,27374000000,0,30052000000,12,3136000000,9593000000,Y,0,0,59792000000,11601000000,111818000000,27374000000,32813000000,41721000000,МСФО,2015,317515811148.8,277161148,1145.6000,323800479,2083.8000,34.921922029273745,215.73009215562925,75.65634704327319,22.83869887853113
1,9625000000,28232000000,-5549000000,-13106000000,25286000000,YNDX,0,RUB,74970000000,0,0,14622000000,10518000000,6783000000,6798000000,11107000000,9452000000,26121000000,77086000000,77086000000,MOEX,15661000000,0,,56093000000,30000000,1208000000,2863000000,1655000000,https://cdn.financemarker.ru/reports/2016/MOEX/Y/YNDX_2016_12_Y_МСФО.pdf,https://yandex.gcs-web.com/index.php/static-files/7a494f4d-2800-4695-a479-d5e98d8abf9f,39138000000,18750000000,0,20894000000,12,-9482000000,12847000000,Y,0,0,75925000000,17885000000,114108000000,18750000000,43324000000,35516000000,МСФО,2016,354862333040,284458784,1247.5000,323800479,2083.8000,23.89801399136966,266.91037250584606,91.827011395788,55.055427643253935
1,12389000000,42662000000,-587000000,-7788000000,23772000000,YNDX,0,RUB,80756000000,17834000000,0,35622000000,11239000000,8656000000,8776000000,13582000000,11570000000,29075000000,82826000000,82826000000,MOEX,11383000000,0,,70117000000,1299000000,897000000,2909000000,2012000000,https://cdn.financemarker.ru/reports/2017/MOEX/Y/YNDX_2017_12_Y_МСФО.pdf,https://yandex.gcs-web.com/index.php/static-files/d4dda674-fd6b-4144-91c7-096890926aed,49788000000,0,0,2275000000,12,-24828000000,13036000000,Y,0,0,94054000000,27081000000,130544000000,17834000000,57260000000,37897000000,МСФО,2017,537892893834,285203019,1886.0000,323800479,2083.8000,30.77106277055223,329.77911780099356,101.94492366155492,39.91191972620739
1,1156000000,46443000000,-452000000,-1605000000,5187000000,YNDX,0,RUB,106579000000,17903000000,0,40034000000,3060000000,1851000000,2380000000,3246000000,2759000000,7704000000,164311000000,141615000000,MOEX,4031000000,0,,19861000000,1316000000,221000000,708000000,487000000,https://cdn.financemarker.ru/reports/2018/MOEX/Y/YNDX_2018_3_Q_МСФО.pdf,https://yandex.gcs-web.com/index.php/static-files/459b77ad-d351-46b9-b5d5-cbe2fbbc8bf3,106326000000,0,0,2546000000,3,-28540000000,3159000000,Q,0,0,26573000000,8009000000,212905000000,17903000000,16702000000,42580000000,МСФО,2018,661342489328.5,289364467,2285.5000,323800479,2083.8000,8.22492141027115,91.83228430047701,26.623863254087794,13.930528657480256
1,10161000000,35930000000,-821000000,-20235000000,12009000000,YNDX,0,RUB,113472000000,19809000000,0,39804000000,8544000000,34426000000,35670000000,37889000000,36828000000,16546000000,201475000000,179475000000,MOEX,1848000000,0,,41273000000,140746000000,464000000,1525000000,1061000000,https://cdn.financemarker.ru/reports/2018/MOEX/Y/YNDX_2018_6_6M_МСФО.pdf,https://yandex.gcs-web.com/index.php/static-files/b57bd65f-2b31-4b50-91ac-081793d4cdda,136540000000,0,0,2094000000,6,-16121000000,7421000000,6M,0,0,56245000000,16847000000,250012000000,19809000000,33852000000,41898000000,МСФО,2018,653730964752.5,292431655,2235.5000,323800479,2083.8000,121.97721891633107,192.33553905099637,56.58074191728662,6.319425302982332
1,9005000000,35930000000,-369000000,-18630000000,6822000000,YNDX,0,RUB,113472000000,19809000000,0,39804000000,5484000000,32575000000,33290000000,34643000000,34069000000,8842000000,201475000000,179475000000,MOEX,-2183000000,0,X,21412000000,3675377000000,243000000,817000000,574000000,https://cdn.financemarker.ru/reports/2018/MOEX/Y/YNDX_2018_6_6M_МСФО.pdf,https://yandex.gcs-web.com/index.php/static-files/b57bd65f-2b31-4b50-91ac-081793d4cdda,136540000000,0,0,2094000000,6,-16121000000,4262000000,Q,0,0,29672000000,8838000000,250012000000,19809000000,17150000000,41898000000,МСФО,2018,653730964752.5,292431655,2235.5000,323800479,2083.8000,113.83856511703564,101.46644350113192,30.23612474511352,-7.464992119269715
