,id,file,type,betta,rm,rf,country_risk,invest_horizont
0,GAZP,GAZP.csv,МСФО,0.588176159456975,26.22,8.35,16.78,2024
1,NVTK,NVTK.csv,МСФО,0.903744547137512,26.22,8.35,16.78,2024
2,LKOH,LKOH.csv,МСФО,0.90618071777151,26.22,8.35,16.78,2024
3,ROSN,ROSN.csv,МСФО,1.32348459392033,26.22,8.35,16.78,2024
4,SNGS,SNGS.csv,МСФО,1.17801035087605,26.22,8.35,16.78,2024
5,TATN,TATN.csv,МСФО,0.774101892919538,26.22,8.35,16.78,2024
6,CHMF,CHMF.csv,МСФО,1.4495993761001,26.22,8.35,16.78,2024
7,NLMK,NLMK.csv,МСФО,1.61807727651386,26.22,8.35,16.78,2024
8,ALRS,ALRS.csv,МСФО,0.854299532194222,26.22,8.35,16.78,2024
9,AGRO,AGRO.csv,МСФО,0.425776492948584,26.22,8.35,16.78,2024
10,NKHP,NKHP.csv,МСФО,0.250362270585877,26.22,8.35,16.78,2024
11,GCHE,GCHE.csv,МСФО,0.636220541199268,26.22,8.35,16.78,2024
12,MTSS,MTSS.csv,МСФО,0.772348659469057,26.22,8.35,16.78,2024
13,YNDX,YNDX.csv,МСФО,1.04653992885179,26.22,8.35,16.78,2024
14,SBER,SBER.csv,МСФО,1.37316618769796,26.22,8.35,16.78,2024
15,FESH,FESH.csv,МСФО,0.654257040989114,26.22,8.35,16.78,2024
16,FIVE,FIVE.csv,МСФО,0.719897100131313,26.22,8.35,16.78,2024
17,MGNT,MGNT.csv,МСФО,0.917802377411508,26.22,8.35,16.78,2024
18,MDMG,MDMG.csv,МСФО,0.779759952189185,26.22,8.35,16.78,2024
19,POSI,POSI.csv,МСФО,0.882545278204238,26.22,8.35,16.78,2024
20,SVAV,SVAV.csv,МСФО,0.458504487015116,26.22,8.35,16.78,2024
21,IRKT,IRKT.csv,МСФО,0.89824366922598,26.22,8.35,16.78,2024
22,DZRD,DZRD.csv,РСБУ,0.331167280184469,26.22,8.35,16.78,2024
23,PIKK,PIKK.csv,МСФО,0.740806130058894,26.22,8.35,16.78,2024
24,OZON,OZON.csv,МСФО,1.20587367842449,26.22,8.35,16.78,2024
25,ETLN,ETLN.csv,МСФО,0.906151301536673,26.22,8.35,16.78,2024
26,FIXP,FIXP.csv,МСФО,0.721324451636481,26.22,8.35,16.78,2024
27,MOEX,MOEX.csv,МСФО,0.715681651538742,26.22,8.35,16.78,2024
28,BISVP,BISVP.csv,МСФО,-1.05987082358792,26.22,8.35,16.78,2024
29,SPBE,SPBE.csv,МСФО,1.00437023253789,26.22,8.35,16.78,2024
30,GLTR,GLTR.csv,МСФО,0.452984353651392,26.22,8.35,16.78,2024
31,TTLK,TTLK.csv,МСФО,0.41985895593991,26.22,8.35,16.78,2024
32,BSPB,BSPB.csv,МСФО,1.05375159585323,26.22,8.35,16.78,2024
33,QIWI,QIWI.csv,МСФО,0.626292957770259,26.22,8.35,16.78,2024
